"PASSENGERS","ORIGIN_COUNTRY","DEST_COUNTRY","MONTH",
0.00,"US","HK",1,
0.00,"US","KR",1,
0.00,"US","AU",1,
0.00,"US","HK",1,
0.00,"US","HK",1,
0.00,"US","KR",1,
0.00,"US","CN",1,
0.00,"US","CN",1,
0.00,"US","JP",1,
0.00,"US","JP",1,
0.00,"HK","US",1,
0.00,"KR","US",1,
0.00,"CN","US",1,
0.00,"AU","US",1,
0.00,"CN","US",1,
0.00,"TW","US",1,
0.00,"JP","US",1,
0.00,"JP","US",1,
0.00,"US","CA",1,
0.00,"US","CA",1,
0.00,"CA","US",1,
0.00,"CA","US",1,
0.00,"CA","US",1,
0.00,"CA","US",1,
0.00,"CA","US",1,
0.00,"CA","US",1,
0.00,"CA","US",1,
0.00,"US","CA",1,
0.00,"US","CA",1,
0.00,"US","CA",1,
0.00,"US","CA",1,
0.00,"US","CA",1,
0.00,"US","CA",1,
0.00,"US","DE",1,
0.00,"US","DE",1,
0.00,"US","GB",1,
0.00,"US","FR",1,
0.00,"US","GB",1,
0.00,"DE","US",1,
0.00,"DE","US",1,
0.00,"DE","US",1,
0.00,"AE","US",1,
0.00,"GB","US",1,
0.00,"FR","US",1,
0.00,"GB","US",1,
0.00,"GB","US",1,
0.00,"US","DE",1,
0.00,"US","AE",1,
0.00,"US","GB",1,
0.00,"US","FR",1,
0.00,"US","GB",1,
0.00,"US","SV",1,
0.00,"US","DO",1,
0.00,"US","GT",1,
0.00,"US","NI",1,
0.00,"US","HN",1,
0.00,"US","EC",1,
0.00,"US","CO",1,
0.00,"US","PA",1,
0.00,"US","CR",1,
0.00,"US","EC",1,
0.00,"US","BR",1,
0.00,"US","MX",1,
0.00,"US","MX",1,
0.00,"MX","US",1,
0.00,"DO","US",1,
0.00,"GT","US",1,
0.00,"NI","US",1,
0.00,"HN","US",1,
0.00,"CO","US",1,
0.00,"PA","US",1,
0.00,"CR","US",1,
0.00,"US","DO",1,
0.00,"US","MX",1,
0.00,"MX","US",1,
0.00,"EC","US",1,
0.00,"MX","US",1,
0.00,"US","MX",1,
0.00,"US","MX",1,
0.00,"US","CA",1,
0.00,"CA","US",1,
0.00,"CA","US",1,
0.00,"DO","US",1,
0.00,"US","MX",1,
0.00,"US","JM",1,
0.00,"US","MX",1,
0.00,"US","BS",1,
0.00,"US","JM",1,
0.00,"US","JM",1,
0.00,"JM","US",1,
0.00,"JM","US",1,
0.00,"JM","US",1,
0.00,"JM","US",1,
0.00,"MX","US",1,
0.00,"MX","US",1,
0.00,"MX","US",1,
0.00,"MX","US",1,
0.00,"US","DO",1,
0.00,"US","MX",1,
0.00,"US","JM",1,
0.00,"US","CO",1,
0.00,"GT","US",1,
0.00,"US","MX",1,
0.00,"HN","US",1,
0.00,"MX","US",1,
0.00,"PA","US",1,
0.00,"US","SX",1,
0.00,"US","PA",1,
0.00,"US","MX",1,
0.00,"SX","US",1,
0.00,"US","MX",1,
0.00,"US","AG",1,
0.00,"TT","US",1,
0.00,"BZ","US",1,
0.00,"KY","US",1,
0.00,"US","MX",1,
0.00,"US","MX",1,
0.00,"MX","US",1,
0.00,"MX","US",1,
0.00,"US","MX",1,
0.00,"CR","US",1,
0.00,"US","TT",1,
0.00,"US","JM",1,
0.00,"US","PA",1,
0.00,"US","MX",1,
0.00,"US","KY",1,
0.00,"US","BS",1,
0.00,"MX","US",1,
0.00,"MX","US",1,
0.00,"MX","US",1,
0.00,"MX","US",1,
0.00,"MX","US",1,
0.00,"TC","US",1,
0.00,"AG","US",1,
0.00,"US","AW",1,
0.00,"US","JM",1,
0.00,"MX","US",1,
0.00,"BS","US",1,
0.00,"BS","US",1,
0.00,"BS","US",1,
0.00,"BS","US",1,
0.00,"BS","US",1,
0.00,"BS","US",1,
0.00,"IT","US",1,
0.00,"IT","US",1,
0.00,"PE","US",1,
0.00,"ES","US",1,
0.00,"CO","US",1,
0.00,"US","MX",1,
0.00,"US","DE",1,
0.00,"US","GB",1,
0.00,"US","KR",1,
0.00,"BR","US",1,
0.00,"US","NZ",1,
0.00,"US","AU",1,
0.00,"US","HK",1,
0.00,"US","AU",1,
0.00,"US","AU",1,
0.00,"US","NZ",1,
0.00,"US","AU",1,
0.00,"US","ES",1,
0.00,"US","DE",1,
0.00,"US","PA",1,
0.00,"US","KR",1,
0.00,"US","JP",1,
0.00,"US","KR",1,
0.00,"US","JP",1,
0.00,"US","HK",1,
0.00,"US","KR",1,
0.00,"US","JP",1,
0.00,"US","CN",1,
0.00,"US","JP",1,
0.00,"MX","US",1,
0.00,"DE","US",1,
0.00,"HK","US",1,
0.00,"HK","US",1,
0.00,"KR","US",1,
0.00,"KR","US",1,
0.00,"CN","US",1,
0.00,"CN","US",1,
0.00,"GB","US",1,
0.00,"EC","US",1,
0.00,"CA","US",1,
0.00,"ES","US",1,
0.00,"JP","US",1,
0.00,"JP","US",1,
0.00,"CL","US",1,
0.00,"CA","US",1,
0.00,"US","MX",1,
0.00,"US","LU",1,
0.00,"US","GB",1,
0.00,"US","IT",1,
0.00,"US","LU",1,
0.00,"US","CL",1,
0.00,"US","CA",1,
0.00,"CN","US",1,
0.00,"LU","US",1,
