"PASSENGERS","ORIGIN_COUNTRY","DEST_COUNTRY","YEAR",
0.00,"US","GT",2019,
0.00,"US","SV",2019,
0.00,"US","HN",2019,
0.00,"US","DO",2019,
0.00,"US","GT",2019,
0.00,"US","HN",2019,
0.00,"US","GT",2019,
0.00,"GT","US",2019,
0.00,"GT","US",2019,
0.00,"GT","US",2019,
0.00,"GT","US",2019,
0.00,"CU","US",2019,
0.00,"US","GT",2019,
0.00,"US","HN",2019,
0.00,"US","SV",2019,
0.00,"US","KY",2019,
0.00,"US","GT",2019,
0.00,"US","CU",2019,
0.00,"SV","US",2019,
0.00,"SV","US",2019,
0.00,"HN","US",2019,
0.00,"HN","US",2019,
0.00,"HN","US",2019,
0.00,"HN","US",2019,
0.00,"DO","US",2019,
0.00,"US","DE",2019,
0.00,"BE","US",2019,
0.00,"US","BE",2019,
0.00,"US","GB",2019,
0.00,"US","DE",2019,
0.00,"US","DE",2019,
0.00,"GB","US",2019,
0.00,"DE","US",2019,
0.00,"DE","US",2019,
0.00,"DE","US",2019,
0.00,"HK","US",2019,
0.00,"US","DE",2019,
0.00,"US","NO",2019,
0.00,"DE","US",2019,
0.00,"US","DE",2019,
0.00,"CA","US",2019,
0.00,"US","LU",2019,
0.00,"HU","US",2019,
0.00,"CN","US",2019,
0.00,"CN","US",2019,
0.00,"US","LU",2019,
0.00,"US","GB",2019,
0.00,"HK","US",2019,
0.00,"HK","US",2019,
0.00,"HK","US",2019,
0.00,"HK","US",2019,
0.00,"HK","US",2019,
0.00,"HK","US",2019,
0.00,"US","LU",2019,
0.00,"US","GB",2019,
0.00,"US","LU",2019,
0.00,"US","LU",2019,
0.00,"US","MX",2019,
0.00,"JP","US",2019,
0.00,"MY","US",2019,
0.00,"US","LU",2019,
0.00,"US","IT",2019,
0.00,"US","GB",2019,
0.00,"US","CA",2019,
0.00,"US","LU",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"LU","US",2019,
0.00,"US","LU",2019,
0.00,"US","CN",2019,
0.00,"US","LU",2019,
0.00,"US","IT",2019,
0.00,"GB","US",2019,
0.00,"US","LU",2019,
0.00,"US","GB",2019,
0.00,"SG","US",2019,
0.00,"GB","US",2019,
0.00,"US","CA",2019,
0.00,"AI","US",2019,
0.00,"US","BB",2019,
0.00,"BM","US",2019,
0.00,"US","BS",2019,
0.00,"MX","US",2019,
0.00,"BS","US",2019,
0.00,"US","SX",2019,
0.00,"US","CA",2019,
0.00,"US","MX",2019,
0.00,"US","CA",2019,
0.00,"BS","US",2019,
0.00,"BS","US",2019,
0.00,"BS","US",2019,
0.00,"US","BS",2019,
0.00,"US","TC",2019,
0.00,"US","CA",2019,
0.00,"US","BS",2019,
0.00,"TC","US",2019,
0.00,"TC","US",2019,
0.00,"DO","US",2019,
0.00,"MX","US",2019,
0.00,"CR","US",2019,
0.00,"CR","US",2019,
0.00,"US","BS",2019,
0.00,"SX","US",2019,
0.00,"SX","US",2019,
0.00,"SX","US",2019,
0.00,"US","CA",2019,
0.00,"US","MX",2019,
0.00,"US","CA",2019,
0.00,"CA","US",2019,
0.00,"CA","US",2019,
0.00,"CA","US",2019,
0.00,"CA","US",2019,
0.00,"BS","US",2019,
0.00,"BS","US",2019,
0.00,"US","BS",2019,
