country,year,gwno,ccode,ifscode,ifs,iso,gwabbrev,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,pop_WDI,pop_den_WDI,pop_urb_WDI,pop0_14_WDI,workingpop_WDI
United States of America,2015,2,2,111,USA,,USA,321418820,1.66E+13,51638.0652,2.596148041,321418820,35.1376475,81.61,18.9503455,66.2635851
Canada,2015,20,20,156,CAN,,CAN,35848610,1.80E+12,50108.065,0.941675857,35848610,3.94221923,81.82,15.972058,67.8921635
Bahamas,2015,31,31,313,BHS,,BHM,388019,8025734039,20683.8686,-1.6636441,388019,38.7631368,82.87,20.9211404,70.7983371
Cuba,2015,40,40,928,CUB,,CUB,11389562,73868812486,6485.65875,4.438333589,11389562,109.493962,77.07,16.3053329,69.7218207
Haiti,2015,41,41,263,HTI,,HAI,10711067,7795333632,727.783108,1.185463497,10711067,388.645391,58.64,33.7413723,61.6277724
Dominican Republic,2015,42,42,243,DOM,,DOM,10528391,68989328535,6552.69438,7.040936189,10528391,217.933988,78.98,29.9588417,63.3884987
Jamaica,2015,51,51,343,JAM,,JAM,2793335,13631636809,4880.05799,0.996498915,2793335,257.925669,54.78,23.5783391,67.2827641
Trinidad and Tobago,2015,52,52,369,TTO,,TRI,1360088,22708070511,16696.0303,-0.57852156,1360088,265.124366,8.445,20.7799054,69.8082771
Barbados,2015,53,53,316,BRB,,BAR,284215,4539201914,15971.0146,0.882405907,284215,660.965116,31.47,19.3659729,66.4701018
Dominica,2015,54,54,321,DMA,,DMA,72680,502716709.1,6916.8507,-1.762145,72680,96.9066666,69.53,,
Grenada,2015,55,55,328,GRD,,GRN,106825,896385144.7,8391.15511,6.228710462,106825,314.191176,35.59,26.483501,66.3571261
Saint Lucia,2015,56,56,362,LCA,,SLU,184999,1262175299,6822.60606,2.370013159,184999,303.277049,18.5,23.1255304,67.8771236
Saint Vincent and the Grenadines,2015,57,57,364,VCT,,SVG,109462,719761378.4,6575.44516,1.603083784,109462,280.671794,50.55,24.5290603,68.1387148
