geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Belgium,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,13,23,50,109,169,200,239,267,314,314,559,689,886,1058,1243,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431,19691,20814,22194,23403,24983,26667,28018,29647,30589,31119,33573,34809,36138,37183,38496,39983,40956,41889,42797,44293,45325,46134,46687,47334,47859,48519,49032,49517,49906,50267,50509,50781,51420,52011,52596,53081,53449,53779,53981,54288,54644,54989,55280,55559,55791,55983,56235,56511,56810,57092,57342,57455,57592,57849,58061,58186,58381,58517,58615,58685,58767,58907,59072,59226,59348,59437,59569,59711,59819,59918,60029,60100,60155,60244,60348,60476,60550,60550,60550,60810,60898,61007,61106,61209,61295,61361,61427,61509,61598,61727,61838,62016,62058,62058,62123,62210,62357,62469,62707,62707,62781,62872,63238,63499,63706,63706,64094,,,
country/region,Belgium,driving,100,101.19,107.49,107.67,117.38,119.32,102.68,103.67,107.83,110,108.65,116.76,120.76,104.16,105.12,106.85,111.21,112.96,127.96,122.89,104.88,106.02,109.17,111.05,111.1,123.19,129.25,97.76,109.52,111.55,115.6,118.19,131.29,135.91,110.6,115.29,120.26,121.9,123.29,133.24,123.59,105.29,116.44,116.56,118.01,117.4,125.62,119.54,103.95,107.71,108.25,115.66,118.33,127.52,129.93,107.09,108.15,105.81,105.97,87.63,81.16,63.44,56.86,60.42,56.34,44.1,38.45,36.98,32.06,32.36,36.3,38.73,38.62,39.03,40.38,35.25,29.76,37.08,39,40.52,39.51,41.05,38.02,38.44,43.29,46.58,48.56,49.18,51.57,47.49,37.88,37.2,46.52,49.42,51.74,50.94,41.76,44.35,50.04,51.51,54.36,54.25,52.29,49.02,49.02,52.77,51.69,54.59,54.06,48.03,50.82,54.76,61.76,64.06,66.62,68.02,70.58,71.02,63.67,,,78.93,80.15,82.62,76.8,75.06,85.65,89.42,90.23,81.12,90.63,84.03,80.06,93.93,95.87,98.57,98.64,103.37,93.69,84.35,98.12,105.19,106.83,104.7,106.04,100.57,97.59,104.7,107.53,111.9,113.06,115.65,114.56,106.48,121.23,119.6,125.46,124.57,133.13,128.44,121.02,130.49,136.45,138.14,139.5,140.74,136.03,133.61,139.47,145.47,151.89,151.08,157.23,145.87,142.79,147.94,147.02,149.99,147.44,169.29,152.95,152.03,149.62,148.86
country/region,Belgium,transit,100,98.67,105.01,105.87,113.55,110.73,100.53,105.62,110.39,114.35,111.03,116.9,116.25,106.64,113.29,115.8,117.19,118.26,126.13,122.24,115.06,119.32,117.23,121.7,121.67,134.02,134.78,119.52,132.55,130.72,130.33,131.96,139.68,142.1,123.14,134.04,139.53,141.82,138.11,137.78,126.99,118.46,136.73,135.58,136.45,137.36,133.34,114.62,108.56,120.18,123.09,127.58,132.54,138.6,134.85,114.29,118.1,112.37,115.74,91.05,71.94,52.67,46.28,44.63,37.76,27.77,23,21.03,21.05,21.57,22.47,22.29,21.31,21.7,22.19,21.64,18.76,21.45,21.28,20.24,19.84,21.43,23.19,25.02,23.97,25.85,26.39,26.7,26.55,27.17,26.24,23.95,26.06,27.54,26.97,26.15,22.72,26.48,26.57,26.91,27.99,27.93,26.32,28.81,29.93,28.2,25.95,26.25,28.09,27.73,27.1,33.19,32.5,32.93,35.82,36.1,35.53,35.21,35.31,,,42.2,43.37,40.9,41.03,46.06,52.08,50.94,49.39,47.07,47.46,46.17,47.36,54.74,54.93,55.41,54.72,54.77,52.75,49.48,59.77,62.84,64.59,60.76,57.62,57.63,61.39,65.29,68.22,69.27,72.78,68.38,67.9,64.48,75.84,77.05,79.21,80.07,79.94,75.48,76.74,89.22,95.21,96.3,94.62,91.66,82.2,84.83,98.04,102.78,101.76,103.38,98.06,88.51,89.22,101.33,99.65,98.16,96.85,97.98,91.4,90.72,99.95,98.22
country/region,Belgium,walking,100,101.46,110.44,118.86,139.1,174.99,111.72,105.08,113.37,119.64,118.63,141.59,174.68,119.37,115.72,119.7,127.83,132.95,160.33,178.82,118.45,118.08,117.56,131.86,137.37,166.1,195.81,107.52,125.29,136.11,141.76,144.84,195.2,235.37,135.03,146.08,156.85,160.02,163.25,168.21,189.77,125.25,145.88,155.27,147.4,144.5,159.23,169.08,113.57,112.05,129.9,137.21,136.47,162.68,209.67,115.49,118.11,116.42,119.12,108.4,91.05,68.37,59.68,55.93,55.2,49.46,41.63,35.99,47.51,53.95,44.24,46.66,48.17,48.13,51.28,56.67,34.5,39.4,45.78,47.55,41.01,46.98,62.98,71.96,53.38,64.11,66.82,66.84,73.06,87.01,73.26,51.46,53.49,65.45,70.6,68.34,53.51,72.05,59.11,61.02,66.65,67.61,65.62,76.05,83.69,60.73,42.77,50.36,51.45,51.8,60.18,74.43,61.5,64.98,71.65,73.34,76.81,92.44,58.24,,,71.3,73.78,79.51,85.02,85.14,80.88,86.21,91.32,90.34,85.3,86.66,73.35,83.01,89.03,91.35,89.95,93.75,99.06,89.26,93.11,91.66,89.93,79.65,78.25,87.16,84.34,79.41,88.98,94.5,96.06,104.81,122.85,87.32,100.72,101.52,95.02,108.94,121.8,141.92,106.89,117.53,132.21,131.34,134.41,130.82,144.19,116.37,124.38,123.89,130.84,139.06,148.33,157.52,126.16,135.2,142.22,125.64,137,148.76,178.92,148.91,154.39,140.89
country/region,Belgium,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-7,1,3,3,-2,0,-4,-7,7,10,-1,-2,-1,-4,0,-4,2,1,-4,-1,5,-1,-1,-4,-4,-7,-8,-70,-66,-32,-36,-61,-75,-79,-84,-79,-74,-74,-76,-77,-78,-83,-84,-76,-75,-76,-77,-79,-82,-76,-74,-72,-73,-73,-75,-79,-75,-86,-73,-74,-73,-75,-80,-76,-66,-66,-68,-67,-71,-75,-70,-63,-68,-68,-60,-83,-71,-69,-57,-56,-57,-57,-60,-65,-62,-41,-40,-44,-47,-50,-54,-59,-34,-33,-26,-65,-38,-47,-58,-29,-29,-32,-32,-37,-41,-48,-57,-22,-29,-36,-41,-39,-45,-14,-14,-15,-15,-18,-20,-21,-7,-8,-17,-12,-13,-17,-18,-2,2,-5,-6,-15,-19,-12,2,2,-5,-3,-8,-17,-13,2,5,-10,-4,-12,-18,-4,,
country/region,Belgium,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-3,2,3,1,-1,3,0,-7,0,2,-5,-2,3,2,6,7,6,4,1,5,3,1,4,4,4,23,40,-8,-18,16,30,-12,-23,-22,-39,-45,-25,-21,-29,-25,-21,-36,-53,-30,-25,-31,-27,-21,-32,-36,-27,-19,-25,-18,-14,-25,-40,-76,-11,-24,-20,-19,-35,-43,-28,-22,-25,-19,-19,-28,-33,-26,-23,-21,-1,-69,-19,-36,-19,-16,-19,-13,-12,-18,-25,-18,-11,-15,-8,-7,-14,-14,-9,-1,11,-52,5,-13,-19,-9,-4,-7,1,3,-1,4,-55,14,-2,-2,-5,-6,-9,-11,-5,-9,-3,-3,-6,-4,-7,0,-9,-2,-2,-9,-5,-4,4,-1,3,-1,-7,-4,-1,0,-6,-1,-3,-10,-6,-4,-1,-10,-4,-4,-14,-3,,
country/region,Belgium,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,-30,8,18,13,4,15,0,-27,7,29,-4,-15,3,-7,-2,-12,11,7,-16,2,33,-21,6,-5,-3,4,-5,0,20,7,31,7,-19,-50,-34,-20,-20,-8,-19,-25,-27,-38,-66,-35,-18,-18,-38,-38,-30,-13,-19,4,-3,-7,-12,-20,-24,-31,-26,-12,-4,-14,-54,-29,-9,0,-1,2,-17,-25,-3,4,-38,-31,-28,-37,-36,-13,-4,17,21,19,11,17,-39,-18,6,-7,-1,1,-6,26,22,35,34,80,-5,-3,4,29,47,41,33,33,35,60,125,48,35,-19,-28,-10,22,-9,18,25,27,27,60,48,53,47,3,33,49,70,55,70,102,93,89,56,43,56,51,38,35,58,77,39,49,77,111,19,67,70,98,124,,
country/region,Belgium,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-3,4,6,5,3,7,2,-2,-11,-8,-11,-15,-10,-2,5,0,1,1,-2,3,8,-2,-1,-4,-4,-7,-16,-34,-34,-43,-46,-56,-67,-71,-67,-63,-70,-69,-69,-72,-70,-67,-76,-72,-71,-69,-73,-72,-64,-60,-69,-67,-66,-67,-67,-60,-61,-80,-70,-66,-67,-66,-67,-63,-65,-64,-63,-63,-64,-58,-54,-62,-68,-64,-64,-76,-60,-55,-59,-58,-55,-56,-56,-46,-51,-54,-50,-50,-49,-45,-36,-32,-41,-39,-38,-54,-49,-36,-37,-40,-39,-38,-39,-37,-24,-22,-51,-34,-34,-41,-43,-31,-29,-36,-34,-33,-33,-31,-18,-20,-29,-29,-33,-31,-27,-15,-20,-27,-23,-24,-25,-25,-16,-16,-25,-26,-27,-27,-24,-15,-16,-28,-24,-32,-29,-27,-9,-3,,
country/region,Belgium,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-3,4,4,4,3,2,-2,-4,-24,-23,-21,-23,-23,-5,-1,3,4,4,2,2,2,-1,2,1,1,-1,-7,-27,-29,-36,-45,-52,-61,-62,-51,-48,-65,-66,-65,-66,-65,-51,-52,-66,-66,-64,-66,-65,-50,-46,-66,-66,-64,-66,-66,-47,-45,-88,-66,-64,-65,-63,-45,-41,-60,-60,-58,-60,-59,-39,-36,-58,-58,-56,-57,-83,-37,-33,-53,-53,-51,-52,-51,-28,-17,-48,-47,-46,-47,-44,-18,-13,-43,-43,-43,-80,-62,-13,-11,-42,-39,-39,-40,-38,0,0,-78,-37,-36,-37,-36,-2,1,-36,-35,-34,-35,-33,7,17,-34,-33,-33,-34,-32,7,9,-35,-34,-31,-33,-32,2,13,-33,-32,-34,-36,-36,0,5,-40,-39,-37,-38,-38,2,10,,
country/region,Belgium,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,0,0,0,0,0,0,0,4,4,3,6,5,1,0,0,0,0,2,1,0,0,0,2,2,3,5,12,8,14,16,20,27,31,22,15,26,27,26,29,31,22,17,27,28,26,30,32,22,15,26,26,24,27,30,20,15,35,27,25,27,30,22,15,24,25,23,25,28,19,13,23,24,23,25,37,19,13,21,21,19,22,24,15,10,19,19,18,19,21,13,9,16,16,13,25,23,13,9,15,15,13,16,16,8,5,22,12,12,16,17,10,7,12,12,11,12,12,5,2,10,11,11,11,10,3,2,9,8,7,8,9,4,1,8,9,7,9,8,3,1,8,7,8,8,8,1,-2,,
