geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Luxembourg,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,5,7,19,34,51,59,77,140,203,335,484,670,798,875,1099,1333,1453,1605,1831,1950,1988,2178,2319,2487,2612,2729,2804,2843,2970,3034,3115,3223,3270,3281,3292,3307,3373,3444,3480,3537,3550,3558,3618,3654,3665,3695,3711,3723,3729,3741,3769,3784,3802,3812,3824,3828,3840,3851,3859,3871,3877,3886,3888,3894,3904,3915,3923,3930,3945,3947,3958,3971,3980,3981,3990,3992,3993,3995,4001,4008,4012,4016,4018,4019,4020,4024,4027,4032,4035,4039,4040,4046,4049,4052,4055,4063,4070,4072,4075,4085,4091,4099,4105,4120,4121,4133,4140,4151,4173,4217,4242,4256,4299,4345,4395,4447,4476,4522,4542,4603,4650,4719,4777,4842,4925,4956,5056,5122,5285,5409,5483,5605,5639,,,
country/region,Luxembourg,driving,100,98.06,95.12,103.03,100.71,87.19,75.75,96.94,96.91,95.07,97.63,100.48,84.33,73.95,95.47,95.18,95.32,95.53,98.69,87.22,77.85,96.56,95.01,99.11,100.32,100.54,87.95,69.59,96.96,102.13,103.62,101.41,110.86,89.15,74.07,89.04,91.02,87.1,88.19,100.62,82.6,72.98,92.77,94.01,91.08,137.89,98.98,89.82,76.01,96.58,93.73,96.23,105.27,97.48,87.76,73.26,88.76,89.18,83.72,74.98,77.71,53.82,46.81,57.07,43.03,33.2,28.48,26.93,18.2,18.43,23.72,23.6,24.68,24.33,25.91,22.38,18.85,24.77,25.34,26.12,25.73,26.81,24.12,23.27,27.85,28.18,29.56,30.05,31.95,27.54,21.48,22.79,30.44,30.74,31.88,33.99,29.02,30.16,35.24,38.63,38.65,39.6,40.1,34.56,35.22,47.34,44.67,44.89,41.54,30.43,35.52,40.15,48.78,50.49,51.95,51.33,51.42,41.66,44.65,,,64.53,65.51,71.05,64.65,61.12,68.68,72.96,73.18,66.3,72.7,60.91,61.52,74.35,79.28,77.52,79.8,83.91,75.79,67.58,84.57,95.7,90.58,91.82,89.58,75.85,72.34,82.45,86.52,87.45,91.53,96.96,84.46,78.41,97.58,98.71,101.91,99.87,109.38,101.52,83.51,92.65,87.51,103.76,108.89,109.69,97.79,89.15,107.34,108.93,111.35,112.97,119.96,101.64,94.36,108.72,110.17,117.88,117.03,123.72,107.26,101.98,114.42,119.6
country/region,Luxembourg,transit,100,96.05,92.65,97.1,100.71,94.58,88.16,94.54,92.1,95.55,94.96,106.51,83.87,83.96,89.71,87.61,91.73,93.95,93.11,99.03,95.67,96.56,105.29,94.96,88.87,97.1,95.93,76.27,91.14,90.21,94.58,95.63,96.35,96.14,82.15,106.05,97.31,94.29,89.58,94.88,86.48,85.59,105.38,97.1,97.98,109.37,106.17,104.49,105.12,114.95,115.71,118.14,112.01,115.08,121.13,98.03,99.58,87.15,98.24,75.85,71.1,57.03,47.92,41.96,28.39,20.29,20.37,18.56,14.28,13.31,16.42,13.65,15.96,12.81,15.29,16.8,13.99,16.55,16.3,14.95,14.7,12.31,16.34,13.36,16.63,17.14,19.49,21.08,20.12,20.24,16.34,14.57,18.4,20.83,19.07,18.73,17.18,17.05,18.52,20.62,19.28,17.47,21.25,23.27,21.38,22.43,22.13,22.13,18.19,18.56,21.67,24.02,28.01,27.47,26.67,27.26,22.81,22.34,23.98,,,32.72,37.42,35.07,33.52,30.87,36.04,42.5,35.32,38.43,45.02,37.38,33.64,49.18,45.82,44.81,42.13,51.49,48.85,39.61,54.85,65.56,53.46,56.11,51.41,50.4,42.17,56.82,52.67,54.26,57.87,59.26,49.39,48.59,52.62,58,63.84,61.95,65.1,59.47,55.82,65.94,61.11,75.43,72.62,69.68,59.39,52.2,77.03,75.18,82.91,82.15,82.44,69.93,68.96,82.61,84.25,79.5,83.58,85.01,75.18,74.72,91.26,91.6
country/region,Luxembourg,walking,100,108.38,113.36,118.44,125.5,115.08,81.05,104.85,114.33,109.12,108.7,129.82,118.57,74.39,96.62,101.59,115.01,110.65,128.01,124.01,83.73,108.15,109.55,122.46,120.8,135.64,134.92,70.42,91.2,106.02,109.12,109.8,137.84,127.75,82.18,101.19,104.38,109.57,97.53,117.2,115.97,71.61,102.4,107.15,103.06,104.47,128.56,121.63,82.5,98.07,108.4,108.17,107.17,120.69,136.3,73.74,93.87,92.22,99.23,89.39,88.05,76.54,56.91,60.87,45.98,38.24,41.54,38.77,25.16,33.05,34.96,33.47,32.97,32.41,38.37,40.6,24.14,30.73,32.3,35.69,31.77,34.6,41.24,45.66,38.01,43.41,46.34,47.32,47.4,51.15,42.75,38.79,41,41.28,43.41,44.11,45.85,48.53,40.58,39.18,43.66,44.58,43.13,49.21,49.28,42.07,36.49,39.75,38.66,28.92,37.41,49.89,47.83,48.04,54.55,53.08,54.7,46.45,45.58,,,62.63,66.16,73.25,68.48,69.03,76.41,78.82,79.09,74.82,82.35,57.25,62.34,80.12,85.26,89.75,81.43,90.79,84.16,72.9,91.53,104.27,100.72,86.54,88.88,78.52,68.59,84.65,81.33,86.92,107.93,106.27,98.79,73.05,96.02,102.85,91.28,98.55,112.82,106.47,78.86,105.36,84.14,110.85,115.06,107.61,109.29,74.88,111.19,113.4,128.2,117.14,132.18,134.45,86.69,113.48,125.78,125.63,132.52,125.48,141.17,111.04,131.9,144.24
country/region,Luxembourg,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-7,-3,-3,-6,-7,-8,-8,-8,-2,-1,-4,-14,1,-1,-3,-3,-2,-4,-5,-1,2,0,-2,-6,-7,-7,-12,-30,-29,-50,-62,-71,-77,-80,-87,-87,-80,-81,-82,-82,-82,-84,-90,-79,-81,-81,-81,-82,-84,-85,-77,-78,-78,-77,-78,-82,-86,-93,-76,-77,-81,-81,-85,-85,-70,-72,-73,-71,-73,-75,-81,-66,-69,-70,-62,-92,-69,-79,-60,-62,-62,-62,-61,-87,-77,-45,-47,-51,-50,-51,-53,-65,-43,-43,-40,-80,-46,-52,-69,-39,-39,-36,-36,-32,-31,-33,-59,-21,-27,-29,-32,-29,-37,-25,-26,-27,-18,-24,-23,-25,-18,-18,-24,-19,-19,-19,-17,-6,-58,-19,-17,-20,-14,-3,-11,-12,-12,-13,-14,-14,-15,-8,-10,-15,-12,-15,-16,-11,,
country/region,Luxembourg,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-3,-5,-6,-8,-2,-1,1,4,7,6,-10,14,8,17,7,8,6,0,7,7,10,6,6,10,23,51,6,-1,17,3,-14,-29,-29,-49,-62,-35,-38,-38,-38,-32,-44,-70,-36,-38,-36,-38,-32,-41,-78,-32,-33,-31,-27,-22,-32,-82,-94,-24,-30,-26,-20,-40,-81,-42,-39,-39,-38,-32,-33,-75,-35,-35,-31,-20,-94,-24,-73,-30,-30,-31,-29,-16,-86,-39,-18,-19,-21,-22,-17,-20,-33,-20,-11,6,-80,-4,-18,-34,-17,-15,-13,-11,-5,-7,-8,-76,0,-8,-10,-12,-12,-21,-16,-13,-11,-4,-7,-7,-11,-11,-8,-10,-8,-5,-8,-9,1,-79,0,-5,-6,-2,13,-6,-4,-3,-4,-3,-6,-6,-4,-2,-2,-4,-1,-6,-2,,
country/region,Luxembourg,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,18,-1,1,-4,-7,11,32,-13,12,14,-3,4,17,5,-4,0,6,-2,-7,3,44,7,9,-4,-5,2,3,3,51,13,-6,-35,-36,-40,-70,-34,-48,-43,-50,-46,-39,-28,-66,-44,-44,-42,-39,-56,-31,-7,-31,-27,-32,-35,-26,-20,-21,-41,-34,-34,-26,-21,-26,-14,-24,-20,-24,-15,-17,-5,20,-3,-34,-34,-43,-52,-34,0,-20,-9,-7,-2,0,-15,-22,-27,7,-7,-5,19,43,72,21,35,25,95,34,-14,38,18,38,28,39,68,87,143,134,59,20,-8,-7,12,48,21,14,12,70,68,73,60,50,58,-5,54,78,93,136,87,109,59,78,63,84,83,51,51,40,49,93,107,90,70,91,52,94,84,151,193,,
country/region,Luxembourg,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-11,-13,-12,-12,-5,12,5,-3,-1,0,0,4,12,12,1,0,0,-2,1,8,0,-3,-5,-4,-6,-12,-16,-8,-32,-44,-56,-64,-68,-72,-68,-74,-73,-74,-75,-74,-67,-78,-74,-73,-72,-73,-76,-67,-65,-71,-71,-70,-72,-73,-65,-68,-85,-71,-69,-68,-68,-64,-65,-65,-64,-62,-62,-62,-57,-58,-59,-61,-60,-61,-84,-61,-60,-56,-54,-52,-52,-54,-62,-61,-49,-43,-45,-45,-45,-35,-40,-43,-40,-38,-66,-48,-49,-46,-36,-35,-35,-34,-33,-25,-24,-60,-32,-34,-38,-40,-33,-35,-33,-33,-33,-29,-32,-26,-32,-26,-25,-30,-27,-24,-17,-15,-31,-58,-24,-23,-24,-13,-14,-23,-21,-18,-20,-14,-4,-9,-17,-15,-18,-17,-14,4,5,,
country/region,Luxembourg,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-3,-22,-22,-23,-23,-23,-4,-5,-4,0,0,-1,-1,1,-2,0,1,0,0,1,1,-3,0,-1,-3,-3,-7,-8,-14,-44,-54,-62,-68,-70,-63,-58,-75,-76,-77,-76,-76,-61,-60,-76,-76,-76,-76,-75,-60,-57,-75,-75,-76,-76,-77,-58,-57,-92,-73,-74,-73,-71,-52,-51,-66,-66,-65,-65,-64,-45,-45,-62,-63,-63,-62,-90,-44,-41,-58,-58,-58,-57,-56,-54,-35,-49,-49,-49,-49,-48,-20,-25,-46,-46,-47,-86,-55,-23,-23,-40,-37,-37,-36,-35,1,0,-83,-44,-44,-44,-43,-1,-5,-34,-34,-35,-35,-33,6,9,-33,-32,-33,-33,-32,5,5,-47,-82,-33,-32,-32,3,9,-29,-28,-28,-29,-27,3,1,-30,-30,-28,-28,-27,3,5,,
country/region,Luxembourg,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-1,4,3,3,3,4,-1,0,2,1,1,3,1,1,0,1,0,1,1,1,0,1,2,2,2,2,6,8,5,19,22,28,31,37,25,,35,35,36,36,39,23,,35,34,35,35,40,23,15,34,33,34,33,38,22,15,41,32,34,33,37,22,14,29,29,29,28,32,18,12,27,26,28,27,44,19,13,26,24,25,24,27,20,12,22,20,21,20,22,10,7,19,18,16,28,23,13,7,17,15,15,15,15,5,2,25,13,15,16,18,7,5,14,13,13,12,13,5,3,12,11,13,10,10,2,0,10,19,10,9,11,3,2,10,9,9,9,8,2,2,9,8,9,8,9,1,0,,
