geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Netherlands,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,18,24,38,82,128,188,265,321,382,503,503,806,962,1138,1416,1711,2058,2467,3003,3640,4217,4764,5580,6438,7468,8647,9819,10930,11817,12667,13696,14786,15819,16725,17951,18924,19707,20680,21901,23247,24569,25743,26707,27577,28313,29380,30616,31763,32833,33583,34312,35027,35916,36724,37379,38035,38435,38607,38993,39507,39983,40428,40763,40962,41280,41512,41967,42286,42575,42820,42981,43177,43404,43674,43874,44064,44189,44335,44443,44641,44894,45082,45259,45431,45641,45774,45964,46146,46322,46454,46639,46742,46845,46932,47141,47351,47534,47773,47938,48102,48287,48451,48661,48840,48983,49148,49288,49405,49520,49627,49703,49794,49859,49923,50005,50115,50206,50275,50348,50426,50476,50538,50616,50691,50754,50827,50863,50900,50952,51006,51048,51129,51230,51301,51355,51462,51563,51672,51799,51945,52132,,,
country/region,Netherlands,driving,100,103.22,103.86,103.99,104.6,98.09,91.46,101.94,107.74,105.82,104.79,106.71,102.15,93.28,103.13,105.18,103.2,108.34,110.37,104.67,93.48,103.73,106.01,103.7,103.94,113.46,105.38,85.26,110.01,107.62,107.78,113.83,115.13,104.1,90.25,103.31,105.4,107.01,108.99,112.11,96.06,82.67,98,97.72,100.9,104.21,108.37,97.85,90.24,103.68,104.03,104.96,106.67,110.76,105.36,91.72,97.44,94.05,92.55,79.19,72.71,64.97,48.64,51.11,50.11,49.11,48.39,50.67,46.13,39,43.76,45.23,47.52,48.49,52.28,46.08,39.1,46.02,49.34,50.44,51.58,53.67,48.4,46.06,51.96,54.64,58.08,59.73,61.7,52.61,38.99,47.64,53.81,58.3,60.18,61.96,54.33,53.46,58.88,60.3,64.27,66.56,67.43,59.55,53,56.93,61.86,65.49,67.31,69.38,62.34,60.4,63.65,66.65,70.98,73.52,78.17,72.17,64.89,,,74.41,76.56,81.07,75.51,72.95,78.1,82.09,88.92,87.4,93.26,82.33,76.01,86.57,90.23,91.88,95.4,104.16,92.57,82.36,96.14,97.77,97.44,95.98,97.77,91.31,86.11,92.83,95.94,99.6,106.28,112.38,102.42,95.59,101.42,102.97,104.36,108.15,117.37,107.87,101.76,108.44,113.17,122.32,121.82,125.57,110.19,109.41,111.53,115.4,119.45,123.66,133.5,120.96,112.64,120.55,122.36,125.46,127.53,137.03,128.02,121.61,127.84,129.37
country/region,Netherlands,transit,100,100.13,101.53,102.6,111.68,111.47,101.94,100.32,101.05,101.38,103.56,116.13,115.33,105.83,103.27,104.24,104.94,112.14,123.18,122.75,113.56,110.63,109.12,108.95,111.71,125.36,121.21,107.59,113.55,110.37,106.84,117.97,128.68,131.35,124.8,124.77,122.8,120.26,122.46,124.53,125.87,113.82,118.06,112.27,112.03,117.38,125.76,116.19,102.7,105.51,101.49,102.39,108.89,122.02,119.53,101.4,98.01,94.36,90.51,77.33,69.44,61.84,43.19,32.44,27.85,24.39,22.51,22.32,21.25,18.55,19.1,19.48,20.08,20.37,20.62,19.38,17.62,20.2,20.92,20.01,20.18,20.15,19.57,21.01,22.29,22.87,22.99,23.53,23.4,21.61,19.9,22.26,23.22,24.5,24.49,23.6,21.68,23.8,25.58,24.69,26.53,27.01,25.83,23.55,25.04,25.21,25.1,26.87,27.51,27.21,24.39,26.69,28.04,29.16,30.91,31.04,31.21,30.07,27.15,,,31.46,31.75,31.74,30.31,32.58,34.27,35.32,38.22,40.42,37.22,32.57,32.14,39.73,41.16,40.46,40.17,42.49,40.48,40.2,45.57,45.67,44.14,41.87,41.13,38.27,40.65,44.15,44.86,46.59,49.52,53.52,49,45.86,49.95,48.93,49.07,50.58,53.3,51.23,49.83,57.07,61.8,63.08,64.04,62.45,55.33,55.44,60.78,60.23,62.19,64.48,67.43,63.41,63.17,69.41,70.22,70.34,69.72,72.67,71.21,70.4,76.5,76.24
country/region,Netherlands,walking,100,101.71,104.92,115.64,132.95,149.99,109.48,101.92,103.35,106.14,114.19,137.95,155.52,111.74,102.96,101.59,109.04,122.62,149.04,164.12,108.16,110.42,108.42,115.65,123.51,150.22,163.1,84.16,100.49,102.8,107.44,115.03,159.45,173.3,107.28,121.14,123.59,122.76,125.42,151.38,162.91,108.58,109.45,116.34,112.23,119.4,141.52,151.18,102.77,96.27,106.79,110.59,113.29,143.41,167.19,103.37,97.6,92.04,99.58,90.87,92.53,99.74,58.43,49.53,48.93,47,44,46.25,49.64,40.46,38.98,42.29,45.95,46.73,53.62,48.68,33.84,38.51,46.83,47.29,46.78,51.5,55.91,52.63,50.98,56.45,61.26,62.25,68.38,63.14,46.45,42.18,46.84,57.84,60.64,62.05,56.28,58.16,55,57.65,64.8,68.2,70.59,65.35,63.36,61.03,48.79,58.45,59.81,61.28,61.65,64.81,64.46,70.34,70.17,72.87,81.33,82.85,60.29,,,65.6,69.41,78.18,76.86,73.01,70.47,77.5,88.11,93.87,94.06,84.58,60.22,79.85,85.7,88.14,87.62,99.48,102.43,84.22,92.87,92.33,91.28,82.7,85.32,90.56,74.62,80.92,88.44,94.45,103.02,116.98,120.45,84.25,90.86,92.78,95.78,101.38,119.02,128.51,96.56,105.56,115.75,119.6,123.32,130.5,129.77,102.6,102.09,104.37,115.68,120.86,136.46,131.24,107.01,114.29,125.53,120.65,122.22,143.57,158.99,129.42,138.03,137.87
country/region,Netherlands,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-10,0,5,3,1,8,1,1,9,16,3,-1,2,-3,3,-6,2,2,-5,1,2,-1,-3,-7,-2,-9,-12,-19,-32,-25,-29,-35,-41,-45,-49,-60,-38,-42,-45,-47,-48,-54,-65,-44,-40,-44,-47,-48,-51,-54,-36,-35,-37,-38,-39,-46,-71,-57,-40,-38,-40,-41,-49,-51,-31,-32,-34,-35,-36,-41,-43,-34,-35,-34,-37,-40,-43,-45,-20,-30,-27,-30,-31,-35,-47,-29,-27,-30,-32,-32,-36,-37,-21,-19,-11,-35,-22,-32,-45,-14,-13,-16,-20,-22,-28,-43,-2,-7,-11,-23,-25,-23,-25,-11,-8,-10,-12,-11,-17,-20,-5,-7,-6,-11,-8,-11,-12,1,6,0,-3,-10,-16,-4,-2,-2,1,-1,-2,-17,-10,2,9,-1,-5,-4,-10,1,,
country/region,Netherlands,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-8,-1,4,0,-1,4,-2,-11,-7,8,0,-2,2,1,4,-2,6,3,-1,4,2,1,2,2,4,12,24,8,11,16,11,3,1,-3,-9,-17,-9,-9,-15,-14,-14,-19,-29,-21,-13,-16,-16,-13,-16,-16,-16,-8,-10,-4,-3,-4,-51,-46,-10,-13,-11,-10,-14,-17,-13,-6,-10,-6,-5,-6,-6,-19,-7,-9,-7,-9,-9,-13,-9,-7,-6,-3,0,2,-11,-9,-2,-6,-4,-3,-5,-6,-6,3,15,-13,3,-4,-12,-2,5,1,3,4,5,-16,-16,9,0,-3,-5,-3,-7,-4,3,-1,1,-1,-3,-5,-1,3,-1,0,1,2,-4,2,9,3,4,-1,-3,0,0,3,1,1,-1,-6,-4,0,6,-2,-2,-1,-5,-3,,
country/region,Netherlands,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-31,8,21,20,-5,22,-2,-26,4,35,9,-9,11,-6,2,-12,20,21,-11,10,39,-5,6,-6,18,-5,-2,21,15,33,51,34,3,-6,24,15,4,25,27,11,22,1,-30,-8,41,16,-4,1,13,41,30,61,65,34,40,33,33,14,16,47,43,38,-1,52,37,52,63,64,47,20,62,107,-3,22,13,2,5,53,58,123,74,69,86,92,11,10,33,28,27,48,39,86,64,90,134,246,86,67,7,75,114,96,74,122,129,154,248,153,102,12,14,21,27,53,83,88,61,129,126,71,99,90,99,63,116,123,105,129,185,192,161,181,86,98,82,72,91,85,124,50,69,106,146,88,60,118,133,162,,
country/region,Netherlands,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-5,-3,-3,-3,-3,1,10,2,-4,-4,-7,-8,-5,-3,2,-1,-2,-1,-3,-1,3,-3,-4,-6,-8,-12,-26,-28,-33,-49,-54,-55,-61,-61,-54,-57,-65,-65,-64,-66,-64,-61,-68,-68,-64,-64,-67,-65,-57,-52,-63,-61,-58,-61,-60,-51,-54,-75,-64,-59,-60,-59,-57,-49,-60,-60,-56,-56,-56,-51,-46,-63,-63,-58,-60,-60,-53,-46,-58,-61,-52,-55,-51,-39,-47,-57,-55,-54,-55,-51,-46,-40,-52,-51,-44,-53,-54,-43,-51,-49,-47,-46,-49,-44,-33,-31,-52,-44,-44,-53,-50,-43,-45,-48,-47,-45,-48,-40,-31,-38,-45,-46,-42,-46,-39,-28,-30,-42,-40,-37,-40,-37,-33,-30,-44,-45,-39,-40,-35,-36,-33,-42,-39,-40,-43,-37,-24,-19,,
country/region,Netherlands,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-5,-5,-5,-6,-9,-4,-3,-21,-17,-13,-13,-13,-2,1,2,2,3,2,2,0,0,1,-1,-2,-3,-11,-6,-11,-38,-44,-44,-47,-45,-26,-31,-50,-52,-51,-53,-49,-30,-35,-52,-52,-50,-52,-49,-28,-29,-51,-51,-48,-50,-53,-24,-29,-85,-49,-46,-48,-45,-21,-21,-48,-47,-44,-47,-44,-18,-19,-79,-48,-45,-47,-44,-16,-15,-52,-70,-40,-43,-39,-8,-1,-40,-39,-37,-38,-35,-6,-3,-38,-37,-35,-78,-54,-2,-5,-38,-36,-34,-35,-32,10,6,-76,-34,-31,-34,-30,8,6,-34,-33,-31,-33,-29,13,11,-33,-33,-30,-33,-29,13,24,-34,-33,-31,-33,-30,7,14,-33,-32,-30,-31,-28,5,8,-36,-35,-33,-35,-31,8,12,,
country/region,Netherlands,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,1,1,0,0,0,3,2,2,3,2,1,0,1,0,0,1,1,0,1,1,2,2,4,6,6,5,14,16,16,19,19,12,10,18,20,18,21,20,13,11,19,19,18,21,20,13,8,18,18,16,18,19,11,8,27,18,16,18,17,12,8,17,17,15,16,16,10,7,22,16,15,17,17,11,7,16,21,13,15,13,6,5,15,15,13,14,13,8,5,13,13,9,19,16,7,6,12,11,10,12,10,4,2,16,9,9,12,11,6,5,11,10,9,11,8,3,3,9,10,8,10,7,2,0,8,8,6,8,6,3,1,9,9,7,8,6,4,2,8,8,7,9,6,1,-1,,
