geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Philippines,confirmed_cases,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,10,20,33,49,52,64,111,140,142,187,202,217,230,307,380,462,552,636,707,803,1075,1418,1546,2084,2311,2633,3018,3094,3246,3660,3764,3870,4076,4195,4428,4648,4932,5223,5453,5660,5878,6087,6259,6459,6599,6710,6981,7192,7294,7579,7777,7958,8212,8488,8772,8928,9223,9485,9684,10004,10343,10463,10610,10794,11086,11350,11618,11876,12091,12305,12513,12718,12942,13221,13434,13597,13777,14035,14319,14669,15049,15588,16634,17224,18086,18638,18997,19748,20382,20626,21340,21895,22474,22992,23732,24175,24787,25392,25930,26420,26781,27238,27799,28459,29400,30052,30682,31825,32295,33069,34073,34803,35455,36438,37514,38511,38805,40336,41830,44254,46333,47873,50359,51754,52914,54222,56259,57006,57545,58850,61266,63001,65304,67456,68898,,,
country/region,Philippines,driving,100,100.24,103.21,103.05,118.16,106.21,102.14,96.36,99.39,98.52,107.16,133.99,112.1,102.12,92.9,91.66,91.15,90.35,102.45,95.24,86.73,83.64,82.17,81.29,87.72,107.52,96.73,88.15,83.01,84.3,84.8,90.36,114.94,100.02,91.69,86.92,88.97,86.9,90.84,108.61,102,93.46,95.18,86.95,83.34,84.11,105.69,94.34,85.29,78.76,78.13,77.74,82.83,102.67,93.65,80.64,71.25,67.78,60.2,53.63,63.58,48.06,36.39,35.76,30.72,26.86,23.55,21.6,20.26,19.89,19.51,18.94,18.71,18.52,18.06,17.67,17.98,17.56,17.71,17.1,17.45,17.31,17.06,19.37,19.05,20.37,18.2,17.37,18.34,18.02,19.83,19.55,20.04,19.37,19.94,19.23,17.85,18.39,18.03,18.95,18.37,18.43,18.18,18.09,19.46,19.93,20.3,19.99,21.36,20.64,19.64,21.42,21.75,20.81,20.99,21.67,22.01,20.7,21.78,,,24.49,24.31,26.21,27.27,29.98,29.94,29.5,30.12,31.07,30.9,27.71,29.73,31.65,31.7,32.85,32.72,31.6,32.03,37.82,40.42,40.96,40.34,40.37,41.09,38.03,41.37,42.99,42.05,41.86,43.09,42.17,38.83,42.44,44.04,44.29,43.91,43.34,45.65,41.69,43.14,46.78,45.57,46.65,45.57,47.38,44,44.65,46.77,46.84,45.9,47.34,49.55,45.98,48.21,47.41,47.97,46.8,46.85,54.58,46.18,46.54,46.28,50.19
country/region,Philippines,transit,100,98.82,101.03,97.04,104.79,96.78,101.63,100.43,101.46,106.43,107.95,116.78,95.34,91.41,93.62,87.09,90.46,84.23,89.9,82.7,79.31,81.99,84.64,82.75,89.09,91.32,88.25,84.16,82.32,80.73,86.53,85.97,99.05,91.34,88.61,85.04,84.55,84.49,83.67,91.19,82.81,86.92,86.12,85.2,78.3,79.57,91.83,79.89,78.3,75.4,74.41,74.41,77.72,85.69,78.15,77.24,67.45,62.03,54.84,47.18,50.51,37.9,33.11,28.6,29.01,25.55,23.08,19.98,22.88,20.46,19.72,18.16,19.47,20.59,18.67,17.92,19.15,19.7,18.54,17.49,19.49,18.69,17.47,22.3,20.16,34.53,20.13,20.95,20.99,20.35,21.7,22.47,21.04,19.47,20.52,20.09,19.96,18.69,18.65,19.49,20.48,18.56,18.61,17.92,19.66,19.4,19.49,20.09,21.27,21.25,20.76,19.79,21.1,19.64,18.41,19,18.48,18.26,19,,,19.94,21.55,21.36,23.25,22.65,23.91,22.56,23.25,24.04,25.93,21.74,23.48,23.42,23.55,22.41,24.47,23.38,23.63,27.37,28.15,30.51,28.11,28.04,28.49,28.88,28.15,28.58,28.19,27.09,27.2,28.6,25.98,26.52,29.87,28.47,27.46,29.5,28.99,26.13,28.36,32.72,34.46,36.05,33.54,32.9,32.59,33.2,31.61,30.58,32.53,31.74,31.41,29.91,32.08,29.22,30.53,33.73,29.52,31.69,29.95,29.76,31.37,34.1
country/region,Philippines,walking,100,105.29,110.42,113.7,126.92,117.15,115.68,112.73,116.09,118.54,126.51,156.07,131.56,116.85,108.88,108.25,108.9,106.76,112.81,106.03,98.37,93.63,92.65,91.46,93.74,112.94,103,93.6,89.2,92.04,91.49,98.33,126.68,110.69,95.59,93.09,96.74,92.38,97.79,108.2,102.15,97.81,94.48,88.54,86.74,88.01,106.72,97.38,85.61,82.84,81.11,83.5,86.4,102.51,87.42,81.13,73.01,66.03,64.8,56.67,53.41,43.03,37.48,47.09,47.76,41.32,35.21,31.85,31.04,27.38,26.77,25.16,26.74,24.79,25.66,23.84,25.53,23.1,21.88,21.93,21.6,23.04,20.77,25.51,24.65,29.2,22.79,21.3,22.28,21.03,22.53,22.32,22.14,21.67,22.49,22.08,20.19,21.09,21.35,21.07,20.99,21,20.66,20.28,20.92,20.84,21.3,21.97,23,22.56,21.29,21.99,23.24,22.43,22.75,23.06,24.84,22.65,23.07,,,26.77,25.88,27.69,29.08,32.69,31.69,31.82,32.37,32.18,32.4,29.79,31.31,33.39,31.95,35.02,34.01,31.27,33.13,38.33,43.39,41.82,40.88,40.82,39.68,37.53,40.31,41,38.79,39.71,38.85,39.34,37.14,41.25,41.3,41.07,41.32,40.53,42.08,37.28,41.4,45.46,43.16,43.5,41.24,44.56,39.82,40.74,45.7,42.33,45.16,45.39,44.44,41.28,43.98,44.54,43.87,43.51,44.34,45.87,40.65,40.6,43.16,46.22
country/region,Philippines,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,-1,0,-3,-2,-2,1,-3,1,0,-3,-2,-1,5,2,0,1,-1,0,-3,0,-4,-3,-4,-8,-8,-12,-18,-40,-34,-57,-66,-69,-73,-75,-79,-75,-76,-76,-76,-77,-78,-81,-79,-79,-79,-80,-80,-80,-82,-78,-77,-76,-85,-90,-82,-82,-76,-76,-76,-77,-79,-81,-83,-78,-79,-80,-80,-81,-81,-84,-78,-77,-77,-82,-84,-84,-87,-81,-81,-80,-80,-80,-79,-81,-78,-78,-78,-78,-80,-75,-79,-70,-71,-70,-70,-72,-73,-78,-70,-68,-69,-69,-70,-69,-74,-62,-62,-62,-62,-60,-60,-65,-55,-56,-58,-56,-61,-58,-63,-51,-51,-53,-53,-56,-52,-57,-50,-50,-52,-51,-53,-53,-61,-48,-45,-48,-49,-51,-52,-57,-47,-47,-49,-50,-51,-50,-56,,
country/region,Philippines,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,1,-3,-2,-2,0,0,-1,-2,-1,-1,1,6,7,2,2,2,2,-1,2,2,1,3,5,8,9,5,-10,-4,-21,-36,-41,-45,-48,-53,-50,-51,-51,-52,-51,-53,-59,-59,-57,-58,-58,-58,-58,-62,-57,-54,-50,-65,-78,-60,-62,-53,-52,-53,-54,-56,-61,-66,-58,-60,-62,-62,-63,-62,-69,-60,-58,-57,-50,-53,-53,-63,-51,-48,-47,-47,-47,-45,-51,-45,-44,-44,-44,-50,-38,-48,-33,-35,-34,-34,-37,-38,-47,-34,-33,-34,-34,-33,-32,-40,-21,-22,-22,-22,-24,-23,-32,-19,-22,-24,-22,-27,-23,-31,-17,-14,-18,-26,-29,-23,-30,-24,-23,-25,-24,-25,-25,-36,-22,-18,-20,-22,-24,-26,-30,-22,-20,-23,-25,-24,-18,-29,,
country/region,Philippines,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-2,-3,-3,-4,-5,-8,-1,0,6,11,0,-4,-6,-1,0,-2,-2,-1,-3,-9,-1,-2,-1,-5,-6,-8,-16,-20,-29,-18,-30,-36,-39,-47,-52,-56,-45,-47,-46,-47,-52,-56,-59,-48,-49,-48,-49,-54,-57,-60,-48,-48,-47,-51,-59,-59,-60,-47,-48,-48,-48,-53,-60,-63,-50,-51,-51,-53,-57,-60,-63,-50,-50,-48,-54,-59,-62,-66,-53,-53,-52,-52,-56,-59,-61,-50,-51,-51,-52,-56,-58,-61,-47,-49,-48,-48,-54,-57,-59,-47,-47,-46,-48,-52,-55,-57,-43,-43,-42,-43,-46,-49,-52,-39,-40,-41,-41,-48,-49,-50,-37,-36,-37,-29,-36,-37,-36,-25,-26,-25,-29,-34,-38,-42,-26,-26,-26,-28,-33,-38,-38,-26,-26,-27,-27,-34,-35,-36,,
country/region,Philippines,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-3,-2,0,-6,-5,-6,-1,-7,-4,-18,-3,-6,-6,0,-5,-5,-4,-7,-6,-8,-4,-9,-7,-11,-17,-17,-17,-15,-42,-42,-63,-72,-75,-79,-78,-79,-81,-81,-81,-81,-83,-82,-82,-84,-83,-84,-84,-85,-84,-84,-84,-83,-83,-86,-90,-86,-84,-83,-82,-83,-84,-85,-84,-85,-84,-84,-85,-85,-86,-85,-85,-84,-83,-83,-79,-82,-79,-81,-78,-77,-76,-77,-78,-75,-76,-75,-75,-76,-76,-79,-72,-74,-68,-69,-70,-70,-72,-70,-73,-72,-67,-68,-68,-69,-67,-69,-59,-59,-59,-59,-61,-59,-62,-56,-56,-58,-56,-65,-58,-60,-54,-53,-55,-59,-62,-57,-60,-56,-55,-58,-57,-59,-57,-62,-55,-55,-57,-58,-59,-59,-62,-56,-56,-58,-58,-59,-57,-61,,
country/region,Philippines,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,8,5,5,6,8,7,2,4,-43,6,6,8,9,5,9,7,6,7,8,7,3,7,-4,-5,-6,-9,-6,-10,-31,-55,-62,-65,-66,-57,-50,-69,-71,-72,-72,-72,-62,-54,-73,-74,-74,-74,-73,-63,-54,-72,-74,-74,-80,-82,-67,-55,-71,-73,-72,-72,-71,-62,-54,-71,-72,-72,-72,-71,-61,-53,-69,-71,-70,-69,-74,-58,-51,-66,-67,-67,-67,-65,-53,-45,-63,-65,-64,-65,-64,-49,-40,-55,-58,-57,-57,-55,-42,-37,-65,-54,-54,-54,-51,-36,-30,-45,-48,-48,-48,-46,-31,-24,-43,-46,-46,-47,-58,-30,-21,-41,-44,-44,-45,-44,-26,-17,-42,-45,-45,-44,-42,-28,-21,-41,-43,-43,-44,-41,-27,-20,-41,-44,-43,-44,-42,-26,-19,,
country/region,Philippines,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,1,0,1,1,11,0,0,0,0,1,0,0,1,0,1,1,1,1,3,4,5,7,6,11,15,24,28,30,33,27,24,33,33,34,34,37,30,26,35,35,35,36,39,31,26,35,35,34,38,43,32,26,35,35,35,36,39,30,26,35,35,35,36,38,31,27,35,35,34,34,39,30,26,33,33,33,33,36,28,24,33,33,33,32,35,26,23,29,29,30,30,32,25,23,32,28,28,29,31,23,21,25,25,25,26,27,21,20,24,24,25,24,31,21,19,23,23,24,24,27,19,18,23,24,24,24,25,20,18,22,22,23,23,25,20,18,23,23,23,23,25,19,18,,
