iso,year,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,pop_WDI,pop_den_WDI,pop_urb_WDI,pop0_14_WDI,workingpop_WDI
ARE,2015,9156963.0,359990000000.0,39313.2744,3.757642853,9156963.0,109.53305,85.54,13.937470300000001,84.92465240000001
ARG,2015,43416755.0,455948000000.0,10501.6602,2.647271419,43416755.0,15.864695999999999,91.75,25.1941974,63.87924889999999
AUS,2015,23789752.0,1301020000000.0,54688.4459,2.240028575,23789752.0,3.09669656,89.42,18.698089399999997,66.2570357
AUT,2015,8638366.0,411219000000.0,47603.7968,0.963058399,8638366.0,104.678283,65.96,14.2076397,67.0332301
BEL,2015,11249420.0,508265000000.0,45181.4382,1.5002308009999998,11249420.0,371.51321,97.85,16.9444416,64.8307418
BGR,2015,7177991.0,54639046567.0,7612.02494,3.617442633,7177991.0,66.120035,73.94,14.1440157,65.82850649999999
BRA,2015,207847528.0,2330360000000.0,11211.8911,-3.76925266,207847528.0,24.8676772,85.68,23.027646,69.127679
CAN,2015,35848610.0,1796300000000.0,50108.065,0.941675857,35848610.0,3.94221923,81.82,15.972057999999999,67.8921635
CHE,2015,8281430.0,625927000000.0,75582.0542,0.842236938,8281430.0,209.571565,73.91,14.775355900000001,67.18279799999999
CHL,2015,17948141.0,263129000000.0,14660.5053,2.305566995,17948141.0,24.1390296,89.53,20.1469333,68.8500552
COL,2015,48228704.0,359201000000.0,7447.87725,3.0832859669999997,48228704.0,43.4688634,76.43,24.2867732,68.67422140000001
CZE,2015,10546059.0,223836000000.0,21224.5758,4.535628699,10546059.0,136.58928899999998,72.99,15.0418953,66.88211700000001
DEU,2015,81679769.0,3696830000000.0,45260.0814,1.7207335,81679769.0,234.106532,75.3,12.885824099999999,65.8735239
DNK,2015,5683483.0,341012000000.0,60000.5442,1.606086132,5683483.0,134.482111,87.67,16.881007699999998,64.1595524
EGY,2015,91508084.0,247720000000.0,2707.08625,4.2,91508084.0,91.9263488,43.13,33.1602801,61.6194586
ESP,2015,46443994.0,1414940000000.0,30465.6048,3.204680464,46443994.0,92.84899140000002,79.57,14.8816785,66.3288553
EST,2015,1314608.0,23141668874.0,17603.4748,1.444213103,1314608.0,31.012219800000004,67.53,16.0878224,65.1524732
FIN,2015,5479531.0,247754000000.0,45214.3883,0.268556389,5479531.0,18.0312975,84.22,16.3383306,63.1844856
FRA,2015,66538391.0,2774810000000.0,41702.3999,1.274180325,66538391.0,121.51865600000001,79.52,18.4835332,62.3959557
GBR,2015,65128861.0,2682180000000.0,41182.6195,2.194229035,65128861.0,269.205394,82.59,17.774220800000002,64.4654096
GRC,2015,10820883.0,244329000000.0,22579.3597,-0.21914717,10820883.0,83.9478898,78.0,14.602326999999999,64.0011147
HRV,2015,4203604.0,58327812721.0,13875.6678,1.644613259,4203604.0,75.1180128,58.96,14.8906555,66.17226959999999
HUN,2015,9843028.0,142912000000.0,14519.1279,3.148083829,9843028.0,108.726698,71.22,14.5587077,67.6233936
IDN,2015,257563815.0,987514000000.0,3834.0562200000004,4.7939213039999995,257563815.0,142.177125,53.74,27.6923872,67.13388359999999
IND,2015,1311050527.0,2296630000000.0,1751.7457100000001,7.933744292999999,131105052.0,440.957532,32.74,28.7881273,65.5957625
IRL,2015,4643740.0,303003000000.0,65249.6816,26.27605727,4643740.0,67.40804179999999,63.24,21.780561399999996,65.0799355
ISR,2015,8380100.0,277532000000.0,33117.9652,2.507836062,8380100.0,387.250462,92.14,27.833457,60.9275305
ITA,2015,60730582.0,2058110000000.0,33889.2453,0.7317305609999999,60730582.0,206.468287,68.96,13.710381900000002,63.879742099999994
JPN,2015,126958472.0,5986140000000.0,47150.3658,1.219438139,126958472.0,348.251239,93.49,12.8554961,60.8024906
KHM,2015,15577899.0,15903594934.0,1020.90756,7.036087179,15577899.0,88.2500509,20.72,31.6022783,64.2797786
KOR,2015,50617045.0,1266580000000.0,25022.8023,2.611935409,50617045.0,519.255693,82.47,13.992699900000002,72.880381
LTU,2015,2904910.0,44581135003.0,15346.8214,1.778576184,2904910.0,46.3672785,66.5,14.5148789,66.6373217
LUX,2015,569604.0,60968109934.0,107035.95800000001,3.532357385,569604.0,219.924324,90.16,16.433672400000003,69.5849129
LVA,2015,1977527.0,28333749338.0,14327.8697,2.7383702000000003,1977527.0,31.8032647,67.38,14.922129,65.710075
MAR,2015,34377511.0,113223000000.0,3239.5520300000003,4.508487465,34377511.0,77.02780859999999,60.19,27.2220609,66.6097001
MEX,2015,127017224.0,1208010000000.0,9510.59625,2.464955925,127017224.0,65.3397587,79.24,27.6054364,65.9275745
MYS,2015,30331007.0,329953000000.0,10878.3892,4.968785216000001,30331007.0,92.3177811,74.7,25.0179863,69.0905512
NLD,2015,16939923.0,868309000000.0,51258.1714,1.9517109819999998,16939923.0,502.817542,90.49,16.523271599999998,65.2462589
NOR,2015,5190239.0,464998000000.0,89590.8135,1.611027108,5190239.0,14.210294400000002,80.47,17.9685459,65.6985354
NZL,2015,4595700.0,169128000000.0,36801.3956,3.392999933,4595700.0,17.4535718,86.28,20.2069061,64.9315914
PHL,2015,100699395.0,265833000000.0,2639.86843,5.905014562000001,100699395.0,337.724771,44.37,31.9485355,63.471819200000006
POL,2015,37986412.0,556697000000.0,14655.1615,3.9409107619999997,37986412.0,124.06156899999999,60.53,14.946280400000001,69.52039570000001
PRT,2015,10358076.0,227558000000.0,21969.1478,1.595563469,10358076.0,113.07326,63.46,14.053320600000001,65.1552111
RUS,2015,144096870.0,1631640000000.0,11144.5912,-2.82824081,144096870.0,8.79880404,74.0,16.7519185,69.8822387
SAU,2015,31540372.0,672214000000.0,21312.8071,3.485616792,31540372.0,14.6720559,83.13,28.582012199999998,68.55568149999999
SGP,2015,5535002.0,287018000000.0,51855.0794,2.008372345,5535002.0,7806.77292,100.0,15.542958800000001,72.7763243
SRB,2015,7095383.0,40183938020.0,5663.392379999999,0.7577151529999999,7095383.0,81.1271781,55.55,16.3003172,66.6173161
SVK,2015,5423801.0,101121000000.0,18644.0026,3.83108478,5423801.0,112.793765,53.59,15.123645000000002,71.0312889
SVN,2015,2063531.0,49073433775.0,23781.2922,2.316644859,2063531.0,102.459334,49.65,14.784433100000001,67.2471833
SWE,2015,9799186.0,540559000000.0,55163.6353,4.084960074,9799186.0,24.0582995,85.81,17.284879500000002,62.773101399999994
THA,2015,67959359.0,392475000000.0,5775.13676,2.8283352880000003,67959359.0,133.021509,50.37,17.7107718,71.8173577
TUR,2015,78665830.0,906443000000.0,11522.7051,3.97194515,78665830.0,102.21253,73.39,25.670507699999998,66.7907946
UKR,2015,45154029.0,121073000000.0,2825.85009,-9.86978436,45154029.0,77.9471922,69.69,14.927617000000001,69.7661921
URY,2015,3431555.0,47849274689.0,13943.9043,0.982258643,3431555.0,19.6066449,95.31,21.4149853,64.150509
USA,2015,321418820.0,16597400000000.0,51638.0652,2.5961480409999997,321418820.0,35.1376475,81.61,18.950345499999997,66.2635851
VNM,2015,91713300.0,154509000000.0,1684.69149,6.679288789,91713300.0,295.782565,33.59,23.0896874,70.1698056
ZAF,2015,55011976.6,417308000000.0,7585.75805,1.264651378,55011976.0,45.3486358,64.8,29.239229700000003,65.7274089
