geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Czech Republic,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,12,18,19,31,31,41,91,94,141,189,253,298,396,464,694,833,995,1120,1236,1394,1654,1925,2279,2631,2817,3001,3308,3508,3858,4091,4472,4587,4822,5017,5312,5569,5732,5831,5991,6059,6111,6216,6433,6549,6606,6746,6900,7033,7132,7187,7273,7352,7404,7445,7504,7579,7682,7737,7755,7781,7819,7896,7974,8031,8077,8095,8123,8176,8221,8269,8351,8406,8455,8475,8586,8647,8721,8754,8813,8890,8955,9002,9050,9086,9140,9196,9230,9268,9302,9364,9438,9494,9529,9567,9628,9697,9751,9824,9855,9938,9991,10024,10064,10111,10162,10280,10406,10448,10498,10523,10650,10777,10870,11038,11298,11603,11805,11954,12046,12178,12319,12440,12515,12566,12685,12814,12919,13001,13115,13174,13238,13341,13475,13612,13742,13855,13945,14098,,,
country/region,Czech Republic,driving,100,101.17,106.68,109.34,123.54,112.54,105.38,99.26,101.99,107.94,108.64,119.07,111.51,102.61,101.47,105.2,107.57,109.63,117.92,113.7,109.45,108.48,109.26,109.62,111.94,128.92,125.16,115.82,106.97,114.42,118.95,122.99,142.36,135.66,120.36,115.34,116.58,119.7,120.49,137.04,130.49,116.86,114.4,116.85,115.37,118,125.78,117.44,112.31,107.43,107.64,117.5,114.66,129.65,114.79,111.5,106.7,99.23,100.34,92.35,84.13,62.63,63.56,48.85,46.98,48.38,47.62,45.95,32.7,37.56,45.6,48.07,49.53,49.05,54.62,51.82,44.6,50.82,51.43,55.58,57.43,54.6,48.59,60.85,62.78,68.46,72.04,74.78,66.1,67.07,65.41,54.2,67.89,75.47,82.81,82.59,75.66,68.55,77.91,82.2,84.55,85.59,87.52,74.46,84.81,87.33,89.54,86.2,90.76,83.87,76.66,81.52,87.99,90.37,95.35,111.14,105.77,97.63,95.86,,,96.44,96.87,102.89,98.78,102.26,102.57,105.96,109.34,112.22,108.29,83.74,99.48,102.44,106.63,113.83,107.61,126.31,107,101.02,112.47,113.47,118.67,120.93,132.2,114.76,119.51,118.17,119.75,128.53,136.9,160.43,132.51,131.01,130.97,137.72,143.9,146.19,161.03,130.13,142.98,142.27,149.35,152.82,158.25,178.25,158.27,160.71,150.99,160.76,163.06,163.83,195.4,184.49,171.38,168.82,170.01,170.46,175.2,197.24,175.3,186.7,172.55,177.6
country/region,Czech Republic,transit,100,98.02,101.88,103.3,107.22,101.48,92.46,97.34,100.71,107.19,110.59,108.15,98.9,95,98.53,102.76,106.37,105.84,111.99,107.65,105.53,113.82,108.92,112.78,112.95,124.36,116.18,104.74,112.94,119.33,125.96,126.84,138.83,129.78,120.25,132.3,130.94,132.73,132.5,127.66,129.48,115.25,130.3,134.87,133.55,133.47,125.72,116.89,112.91,116.96,121.02,127.75,123.83,127.78,113.1,107.2,108.91,99.73,96.06,76,55.28,36.99,30.44,20.11,17.32,15.85,17.13,16.06,14.69,15.1,15.86,17.38,17.9,16.83,17.97,17.74,16.13,18.04,17.23,18.65,19.31,17.43,17.76,22.11,21.14,23.39,24.89,27.48,26.01,26.47,25.43,21.2,24.47,27.28,28.19,27.52,27.4,26.27,30.12,28.87,29.66,30.75,30.75,27.4,32.68,36.04,34.44,33.64,35.42,34.18,30.2,33.17,38.92,38.26,38.83,42.21,41.44,39.08,39.13,,,46.88,45.03,45.4,46.9,47.8,54.12,54.23,55.35,55.13,50.62,37.9,47.46,53.89,58.77,61.71,56.73,59.22,52.38,49.9,63.33,66.41,66,63.97,64.51,56.83,59.28,67.7,71.99,72.04,74.2,80.95,63.31,59.09,76.5,83.38,87.13,82.3,80.14,65.13,70.51,88.42,96.94,94.02,93.95,90.34,78.66,79.95,93.99,94.95,98.63,91.42,89,85.5,79.11,86.51,99.43,100.46,99.5,96.67,79.2,87.61,98.83,101.1
country/region,Czech Republic,walking,100,99.92,103.24,107.32,136.65,139.38,99.77,98.55,98.78,107.31,110.07,132.94,141.48,103.78,107.72,106.75,108.07,111.73,144.4,158.48,112.81,118.53,110.04,113.82,118.77,155.45,166.52,123.72,110.92,118.46,125.25,137.26,185.6,195.4,140.22,142.74,142.46,137.55,141.99,162.88,183.22,125.01,138.05,141.77,134.97,134.91,155.47,158.14,123.3,121.16,109.33,122.69,125.02,149.8,147.64,119.83,107.93,98.78,95.15,91.76,69.24,47.48,38.08,25.5,24.76,27.42,26.05,24.97,16.13,17.5,22.13,23.98,23.88,23.19,30.46,34.24,21.29,24.69,22.79,28.7,29.93,27.1,29.85,39.6,35.9,40.01,41.79,42.94,42.24,45.52,46.37,24.99,31.2,39.91,45.89,46.11,49.73,36.61,42.91,42.79,47.88,46.28,45.89,41.32,47.72,49.35,49.29,41.11,46.81,46.3,40.08,38.75,46.42,46.44,48.14,54.42,61.68,59.9,41.21,,,51.68,51.57,52.99,59.67,55.2,60.81,61.01,61.92,61.96,60.42,38.3,44.66,51.3,60.56,66.46,55.6,71.11,65.88,44.46,67.36,65.68,69.92,65.86,66.63,68.11,53.49,68.63,71.92,69.13,83.9,99.09,85.4,52.56,79.76,87.13,90.54,79.66,86.55,76.51,69.89,91.84,98.15,96.42,100.99,107.79,105.14,78.66,93.26,100.75,106.27,95,115.57,124.02,99.18,96.93,112.66,104.73,114.78,117.25,109.43,106.24,118.97,126.1
country/region,Czech Republic,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,4,9,4,4,2,9,3,3,6,3,3,0,1,8,0,0,3,2,0,0,13,0,3,-6,-5,-20,-56,-57,-61,-65,-65,-67,-68,-79,-77,-64,-64,-64,-65,-64,-71,-73,-61,-62,-61,-60,-63,-70,-63,-54,-63,-62,-54,-74,-67,-63,-89,-64,-62,-56,-58,-61,-64,-55,-54,-54,-54,-56,-63,-55,-45,-45,-50,-41,-66,-55,-53,-44,-45,-44,-31,-68,-40,-42,-34,-28,-32,-36,-38,-31,-22,-26,-24,-19,-17,-24,-40,-26,-18,-13,-9,-18,-15,-19,-24,-4,-8,-8,-12,-15,-14,-10,-8,-4,-8,1,-3,-8,-6,2,6,4,-4,-7,-13,-2,2,10,4,7,0,-6,2,0,17,7,1,-2,-2,14,-21,9,2,6,-3,-5,17,,
country/region,Czech Republic,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,2,5,1,2,3,6,3,2,6,6,11,6,4,9,4,1,2,2,4,6,17,3,18,8,21,13,16,13,-13,-24,-21,-22,-16,-22,-29,-22,-20,-20,-20,-16,-19,-26,-19,-18,-16,-15,-12,-16,-13,-12,-1,7,23,-22,4,1,-90,1,-7,-6,-2,-3,-11,-6,-4,-4,-2,-2,-4,-6,-3,-1,5,17,-31,-3,-5,-2,1,8,34,-77,24,12,4,13,7,2,2,0,-1,-3,-1,4,5,3,3,2,0,2,1,3,3,-1,0,2,1,0,2,7,2,3,5,5,6,11,9,4,7,7,11,9,7,7,4,6,5,10,10,11,9,3,7,8,13,6,9,9,10,13,-17,17,7,9,6,13,15,,
country/region,Czech Republic,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,28,17,22,6,16,4,30,-17,13,13,10,9,0,0,29,18,-9,17,21,2,-6,45,8,6,-11,12,-2,21,37,-20,-17,-1,-11,-26,-62,-39,-27,-17,-15,-24,2,18,-24,-20,-28,0,5,-24,-6,45,18,1,2,2,11,9,35,-35,-39,-16,19,8,28,-6,2,12,19,23,14,4,43,23,32,-12,19,33,10,9,2,-1,4,38,95,73,27,-25,4,-10,-39,-39,1,13,-14,-9,-9,-1,-6,-48,-10,-39,-19,4,-33,-5,15,-35,3,-8,-3,-16,-15,21,1,-8,6,-24,26,52,61,6,27,42,39,-1,7,-4,24,39,64,28,53,49,83,69,17,88,84,50,79,127,156,128,102,62,86,90,44,120,,
country/region,Czech Republic,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9,1,2,-2,0,-1,11,1,1,2,0,-1,0,2,9,0,-6,0,-1,-1,-1,9,-2,-2,-17,-18,-26,-26,-31,-50,-56,-55,-58,-59,-66,-65,-60,-59,-58,-60,-56,-49,-61,-58,-59,-55,-56,-58,-51,-46,-51,-45,-44,-42,-58,-37,-38,-73,-50,-44,-43,-43,-31,-47,-44,-42,-41,-41,-41,-35,-32,-37,-34,-39,-34,-55,-35,-38,-37,-37,-33,-27,-46,-19,-30,-32,-24,-25,-20,-20,2,-3,-12,-11,-14,-14,-17,-28,-16,-19,-14,-7,-17,-11,0,-23,-6,-7,-5,-10,-15,-3,-14,-11,-8,-12,-6,-4,4,-14,-6,-1,0,-10,-10,-12,-6,-4,1,-2,-1,-2,8,0,-11,2,-5,-12,-10,5,-2,-37,-9,-13,-11,-11,-8,5,,
country/region,Czech Republic,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,-2,-2,-2,-3,-3,5,1,0,0,-1,-1,-1,5,4,0,-1,-1,-1,-1,4,5,0,-1,-14,-15,-18,-6,-12,-30,-39,-41,-44,-44,-32,-32,-44,-45,-45,-46,-45,-27,-31,-44,-45,-44,-45,-44,-27,-27,-43,-44,-44,-46,-78,-27,-24,-85,-41,-39,-39,-39,-14,-22,-38,-38,-37,-37,-37,-14,-14,-33,-34,-35,-35,-76,-17,-14,-30,-31,-30,-32,-75,-7,-1,-25,-24,-24,-25,-25,7,7,-21,-21,-21,-22,-23,-1,6,-20,-18,-17,-19,-18,11,5,-14,-15,-15,-16,-18,10,8,-16,-15,-16,-16,-17,13,10,-15,-14,-15,-17,-19,3,9,-17,-16,-16,-16,-19,9,14,-20,-18,-20,-22,-25,5,2,-74,-28,-27,-26,-27,0,10,,
country/region,Czech Republic,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-1,0,0,0,0,0,-3,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,-1,1,1,5,5,8,5,4,15,18,19,20,22,15,12,21,21,21,22,22,11,11,20,21,20,20,22,11,7,18,17,16,14,27,7,5,30,18,17,15,16,5,7,15,15,14,14,14,6,3,12,11,14,9,24,6,4,12,12,12,8,20,0,-1,11,10,10,9,10,0,-1,7,7,7,7,7,5,1,8,7,5,8,5,-1,1,5,5,4,5,6,-1,-1,6,5,6,4,1,-4,-3,3,3,2,4,4,0,-2,3,2,3,1,1,-6,-7,4,1,0,2,1,-8,-7,12,2,3,2,0,-3,-6,,
