geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Estonia,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,10,10,10,10,12,16,16,79,115,171,205,225,258,267,283,306,326,352,369,404,538,575,645,679,715,745,779,858,961,1039,1097,1108,1149,1185,1207,1258,1304,1309,1332,1373,1400,1434,1459,1512,1528,1535,1552,1559,1592,1605,1635,1643,1647,1660,1666,1689,1694,1699,1700,1703,1711,1713,1720,1725,1733,1739,1741,1746,1751,1758,1766,1770,1774,1784,1791,1794,1800,1807,1821,1823,1824,1834,1840,1851,1859,1865,1869,1870,1870,1880,1890,1910,1931,1939,1940,1947,1958,1965,1970,1973,1973,1974,1975,1977,1977,1979,1981,1981,1981,1982,1983,1984,1986,1986,1987,1987,1989,1989,1990,1991,1993,1993,1994,1995,2003,2011,2013,2014,2014,2014,2015,2016,2016,2020,2021,2021,2021,,,
country/region,Estonia,driving,100,106.93,106.41,115.22,132.85,128.75,107.61,101.66,107.16,104.49,109.24,135.75,138.89,108.16,98.57,98.34,104.21,107.67,127.29,135.4,113.7,102.21,104.19,105.88,118.7,152.49,146.04,118.64,105.78,110.9,115.29,125.22,158.9,156.51,132.21,121.16,120.55,126.22,134.37,150.88,141.36,122.6,121.06,127.19,123.42,123.3,133.53,129.93,103.6,100.78,101.86,109.48,116.67,144.04,146.29,125.54,106.44,105.48,103.96,86.54,87.46,81.09,71.3,60.41,63.05,55.28,64.73,71.37,64.32,67.7,62.64,61.09,62.33,61.88,63.68,71.24,56.55,52.04,56.81,59.1,60.72,61.06,71.44,71.46,72.4,80.76,80.47,77.54,81.8,75.42,56.71,71.93,68.59,70.41,70.06,82.2,89.02,80.05,83.79,93.81,98.3,99.72,98.27,92.93,84.26,86.85,76.74,86.56,95.88,104.01,87.57,88.61,91.44,101.65,105.08,103.29,113.12,115.38,113.91,,,94.79,108.22,123.28,108.14,98.2,108.8,116.15,120.73,120.34,144.69,143.67,116.81,121.34,131.24,131.19,130.02,156.13,148.1,139.21,133.48,140.92,138.31,141.7,166.01,160.08,158.14,142.86,156.23,169.52,174.86,205.58,197.97,181.75,172,175.5,180.52,197.47,217.64,213.17,211.44,223.82,210.72,219.3,213.32,248.61,250.13,232.37,182.14,180.63,198.29,215.5,262.18,243.43,223.68,218.11,233.28,230.62,244.71,310.48,249.84,256.51,245.71,260.26
country/region,Estonia,transit,100,99.03,99.77,100.6,127.37,109.89,87.07,102.85,102.71,101.79,102.3,120.98,107.59,95.86,101.66,105.38,107.18,105.52,112.93,111.45,100.46,103.96,114.77,115.55,113.34,132.93,117.3,113.16,117.25,120.1,120.33,122.13,136.25,122.03,111.45,135.19,124.33,128.38,131.65,136.75,113.11,103.17,122.95,148.39,137.03,140.98,131.46,112.47,94.34,112.28,113.75,113.85,125.62,142.82,114.67,100.09,111.36,104.23,110.53,84.68,74.33,56.95,41.08,39.19,38.22,34.77,38.59,39.14,34.22,34.82,37.4,37.17,37.03,32.75,27.32,30.27,26.49,26.77,27.64,30.04,30.22,29.76,30.73,29.71,35.74,32.38,35.46,34.91,39.74,31.88,26.36,35.05,31.65,29.02,30.45,32.75,33.21,33.99,43.51,47.15,45.26,40.8,41.49,37.99,40.29,41.31,37.12,42.09,44.43,48.99,39.51,40.43,53.04,57.87,63.89,52.85,51.66,51.89,52.9,,,60.95,63.43,64.9,56.35,60.3,77.28,65.09,68.4,75.34,78.52,73.78,66.84,86.2,83.49,84.82,78.61,90.98,75.34,87.26,107.91,95.72,103.73,92.18,96.32,84.31,85.28,101.66,111.82,117.71,110.53,113.71,100.55,94.66,118.68,120.61,120.1,124.15,121.34,90.71,99.36,97.98,89.1,93.65,119.69,121.71,106.49,107.73,109.25,117.66,125.48,137.17,138.09,100.78,117.3,146.78,151.06,138.32,137.07,138.27,107.08,113.2,146.41,143.05
country/region,Estonia,walking,100,103.31,104.45,110.69,155.25,171.56,112.09,112.74,115.92,108.77,118.56,175.98,219.43,121.61,108.12,108.84,128.6,135.55,161.36,192.75,114.59,108.64,119.53,120.6,127.69,196.82,220.8,123.63,119.17,130.58,134.71,150.6,229.51,219.01,154.76,171.89,167.24,171.89,189.11,194.57,169.81,164.25,146.77,175.53,154.53,175.07,188.3,185.28,109.68,117.16,115.63,108.64,137.73,186.29,214.04,143.26,121.16,120.7,110.63,95.06,100.32,82.78,64.93,48.13,56.22,44.75,62.43,71.92,57.43,67.11,54.79,56.87,53.1,57.36,61.33,64.54,46.86,39.42,42.93,46.77,45.17,44.85,59.18,67.08,68.22,71.63,70.69,62.95,65.19,66.62,36.01,52.03,50.7,48.52,44.39,70.95,67.08,62.63,74.13,84.21,91.42,87.88,77.58,72.54,70,66.95,47.25,70.65,78.62,91.55,59.18,76.34,78.91,93.18,92.98,84.99,95.91,90.12,85.67,,,71.17,83.1,90.64,68.02,69.29,87.23,94.18,98.67,99.29,121.94,119.37,84.82,104.09,127.36,110.27,112.38,122.03,115.53,106.34,127.69,125.09,129.67,107.44,152.06,134.55,124.44,127.75,146.54,159.08,162.43,174.39,167.99,143,154.53,168.7,167.83,184.3,220.67,171.47,151.15,155.51,149.66,144.1,185.86,213.55,224.34,181.38,153.72,152.32,179.66,203.51,273.35,210.95,179.46,230.91,250.02,234.06,242.25,281.57,263.86,210.95,241.4,284.04
country/region,Estonia,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,4,5,6,1,-7,12,-22,2,-1,0,-3,-6,-2,1,0,0,6,8,10,29,5,4,2,1,-13,-35,-33,-34,-40,-45,-40,-44,-50,-43,-40,-43,-41,-44,-55,-62,-60,-53,-53,-52,-54,-56,-59,-54,-45,-44,-41,-39,-60,-57,-61,-43,-47,-45,-46,-46,-54,-52,-41,-40,-39,-40,-44,-51,-47,-39,-43,-40,-33,-54,-51,-43,-33,-28,-27,-28,-28,-34,-24,-24,-16,-21,-20,-23,-30,-27,-12,-13,-12,-13,-16,-26,-20,-7,-7,-8,-9,-12,-23,-14,-1,-3,-3,-7,-3,-12,-5,5,3,8,6,-1,-10,1,8,8,11,9,3,-6,5,19,-27,-43,5,-3,-12,-2,6,2,8,8,7,-3,6,15,16,18,14,7,-2,13,,
country/region,Estonia,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,-1,1,1,1,2,-5,12,-7,0,-4,-1,0,1,0,2,2,-1,6,10,14,25,3,6,4,19,22,-4,-4,-5,-15,-20,-15,-16,-17,-14,-18,-19,-18,-22,-23,-24,-28,-29,-25,-24,-28,-25,-23,-22,-22,-16,-12,-6,-23,-20,-28,-21,-21,-18,-21,-16,-21,-22,-23,-18,-17,-18,-19,-17,-17,-20,-22,-17,-7,-20,-19,-13,-15,-6,-6,-7,-2,3,9,-11,-2,-5,-5,-3,-5,-6,-3,-1,-1,-1,0,0,-2,0,1,1,1,3,0,2,3,3,2,0,8,3,6,7,7,10,8,8,6,10,9,10,13,12,12,9,15,34,16,-12,14,8,7,12,9,7,9,9,13,7,11,14,16,16,14,12,6,15,,
country/region,Estonia,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8,-17,-3,3,15,22,-5,-30,33,155,27,8,12,12,15,-4,13,-3,-7,3,22,18,91,17,-1,-10,-5,-11,-4,51,-21,20,-27,52,19,13,75,27,12,13,23,8,28,4,-9,-11,4,-15,-40,7,49,38,51,61,13,42,11,-39,5,-19,6,-14,-2,7,45,48,75,90,66,18,22,49,40,-24,28,37,77,10,63,40,79,87,46,45,62,122,-18,37,8,36,25,-5,14,47,63,50,51,76,96,65,89,115,109,65,78,80,109,63,88,93,22,86,48,118,65,69,137,103,103,131,164,110,99,179,163,150,116,196,248,300,309,205,203,220,236,87,30,74,87,133,71,71,116,129,128,123,111,66,165,,
country/region,Estonia,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0,4,4,6,3,-7,7,-13,4,2,1,-3,0,1,2,0,0,4,7,7,22,3,2,-2,-3,-17,-26,-23,-38,-39,-47,-38,-43,-39,-35,-43,-44,-44,-44,-48,-41,-51,-52,-51,-49,-52,-57,-44,-43,-43,-39,-38,-42,-53,-43,-58,-47,-50,-46,-49,-46,-37,-37,-39,-34,-34,-37,-42,-33,-35,-39,-47,-39,-33,-45,-33,-29,-35,-26,-24,-30,-28,-16,-7,-38,-25,-30,-25,-26,-23,-25,-21,-18,-19,-20,-15,-6,-12,-14,-11,-11,-16,-12,-8,-6,-13,-10,-7,-18,-7,-8,1,-9,-7,0,-5,-6,3,6,-3,-3,5,0,2,6,11,7,-11,-20,-1,-4,4,9,-7,-15,-8,-6,0,-2,0,-3,0,0,-1,-3,-3,14,,
country/region,Estonia,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,-1,0,-1,-77,-18,-18,-18,-19,0,2,0,1,1,1,1,4,6,0,0,-1,-2,-12,-11,-14,-40,-45,-47,-46,-45,-24,-24,-46,-48,-48,-49,-50,-30,-32,-51,-51,-51,-51,-51,-32,-31,-51,-51,-50,-51,-80,-35,-36,-50,-50,-50,-50,-48,-26,-28,-47,-47,-47,-47,-47,-25,-25,-45,-46,-45,-45,-78,-27,-19,-42,-41,-41,-41,-40,-16,-9,-40,-38,-39,-38,-38,-13,-10,-32,-32,-32,-33,-32,-3,-2,-32,-30,-30,-30,-31,1,4,-28,-27,-27,-28,-27,2,7,-28,-27,-27,-27,-27,9,11,-28,-27,-27,-28,-28,11,12,-53,-78,-80,-38,-36,4,10,-33,-34,-34,-33,-32,0,3,-37,-37,-36,-36,-36,-5,7,,
country/region,Estonia,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,0,-2,16,2,3,3,4,0,0,1,0,1,0,-1,-1,-4,1,1,1,2,7,7,5,16,17,20,18,20,10,7,18,19,19,19,21,10,10,21,20,20,22,24,12,8,18,17,17,17,27,10,10,19,20,19,21,20,9,7,16,15,14,15,17,7,4,15,17,16,13,22,7,3,14,12,12,13,11,1,-5,14,12,13,11,11,4,2,9,9,9,10,7,-3,-3,7,6,6,7,5,-3,-5,5,4,4,7,3,-2,-6,4,4,3,3,1,-6,-8,3,3,1,1,0,-6,-8,2,3,1,1,2,-7,-9,4,6,5,4,1,-4,-4,4,3,3,3,2,-3,-9,,
