geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Finland,confirmed_cases,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,6,6,6,6,12,15,15,23,30,40,59,59,155,225,244,277,321,336,400,450,523,626,700,792,880,958,1041,1167,1240,1352,1418,1446,1518,1615,1882,1927,2176,2308,2487,2605,2769,2905,2974,3064,3161,3237,3369,3489,3681,3783,3868,4014,4129,4284,4395,4475,4576,4695,4740,4906,4995,5051,5176,5254,5327,5412,5573,5673,5738,5880,5962,5984,6003,6054,6145,6228,6286,6347,6380,6399,6443,6493,6537,6568,6579,6599,6628,6692,6743,6776,6826,6859,6885,6887,6911,6911,6941,6964,6981,7001,7025,7040,7064,7073,7087,7104,7108,7112,7117,7119,7133,7142,7143,7144,7155,7167,7172,7191,7198,7198,7209,7214,7236,7241,7242,7248,7253,7257,7262,7265,7273,7279,7291,7294,7295,7301,7296,7293,7301,7318,7335,7340,,,
country/region,Finland,driving,100,102.42,105.41,104.46,117.78,120.16,112.58,100.97,103.11,103.27,103.37,119.02,119.09,110.2,97.3,102.31,103.05,103.3,121.3,118.69,112.36,101.01,103.31,103.1,105.07,125.1,125.04,112.75,102.38,104.23,108.16,114.97,135.6,138.63,117.3,108.23,111.13,115.39,116.04,134.8,141.73,122.31,111.17,111.63,115.06,116.1,134.01,135.92,114.53,106.14,107.21,107.62,109.68,127.47,127.69,114.36,99.3,99.82,98.53,86.92,91.48,91.77,79.93,69.2,66.72,67.71,71.84,81,75.7,72.88,66.03,66.46,68.8,73.21,75.92,72.23,68.49,67.71,68.26,71.48,70.79,71.94,73.12,73.74,73.07,75.52,80.18,83.39,76.81,76.06,54.91,74.72,72.53,75.78,76.8,88.83,87.21,86.59,84.52,93.02,90.86,90.33,98.01,84.5,90.16,88.14,89.67,93.91,103.51,86.23,91.21,102.18,97.25,102.01,101.68,104.04,115.6,110.85,98.92,,,101.51,104.33,116.65,104.6,108.7,108.66,110.13,121.05,123.53,134.41,120.79,122.93,117.73,122.6,122.49,124.8,136.84,137.72,141.29,139.17,141.61,141.69,139.25,153.56,143.49,151.85,142.46,152.29,157.3,164.47,180.13,167.28,174.56,166.33,167,176.57,200.17,156.1,140.82,193.18,180.99,185.51,187.23,187.39,203.51,192.06,195.44,173.94,176.91,187,192.24,212.73,188.71,200.64,200.58,200.86,205.9,207.86,223.15,199.95,217.43,213.18,221.95
country/region,Finland,transit,100,98.58,99.52,101.67,104.5,101.66,98.45,101.21,101.75,99.77,102.42,104.24,98.82,95.71,99.14,104.02,100.54,97.82,103.22,98.45,94.66,101.87,101.12,100.18,103.84,103.94,108.63,96.66,102.2,103.67,99.12,105.19,109.69,106.41,101.88,104.08,102.87,108.97,101.71,109.29,109.47,102.06,105.78,104.75,110.93,106.48,111.4,106.69,98.55,104.77,98.28,101.41,98.89,109.1,101.52,96.95,91.68,94.49,89.5,76.09,73.06,66.01,58.61,59.47,47.36,44.37,45.37,43.31,37.65,41.99,38.71,39.38,35.61,36.88,34.97,35.76,38.39,38.45,38.27,36.03,36.93,36.16,34.47,36.11,39.23,36.31,38.51,35.48,37.96,34.02,32.26,41.28,39.78,39.22,36.5,40.39,37.89,42.44,46.86,49.01,44.39,47.3,41.18,41.4,47.09,45.52,48,44.04,45.14,43.14,43.37,51.97,54.31,55.89,55.71,53.56,52.87,51.51,50.07,,,53.56,52.16,51.61,49.46,54.59,58.3,54.81,55.57,60.23,62.26,57.42,60.85,64.25,68.99,78.4,65.38,63.78,71.39,78.14,80.36,76.82,82.27,74.76,73.42,73.55,77.35,77.66,82.14,84.57,90.76,93.97,86.14,86.72,90.91,88.62,86.65,80.6,70.39,61.28,79.11,93.76,96.06,98.29,93.45,96.02,89.82,88.11,85.47,85.25,91.44,92.7,97.56,84.93,83.82,99.07,96.81,99.75,100.93,101.93,87.54,94.64,99.15,100.72
country/region,Finland,walking,100,96.91,101.01,104.8,112.42,112.51,90.11,99.27,99.25,100.64,102.29,112.82,118.59,88.15,88.29,93.69,96.89,96.88,113.66,110.28,88.05,95.61,98.57,101.36,99.76,112.11,119.42,85.15,92.14,103.36,102.25,120.51,121.65,111.39,79.1,95.11,103.72,106.41,100.89,109.28,103.71,94.74,102.21,107.1,107.46,105.78,116.57,120.73,80.62,97.4,99.25,90.1,97.26,120.2,120,92.45,91.69,86.45,84.57,82.82,78.52,79.46,61.04,59.95,55.71,59.53,64.98,65.1,59.87,59.37,56.94,60.08,59.56,64.57,66.85,69.55,61.07,59.04,55.83,65.26,59.47,57.82,70.28,71.09,69.57,70.32,75.25,70.02,68.27,70.36,40.75,66.49,59.72,61.18,61.08,70.16,77.97,80.01,78.78,96.17,83.97,83.75,73.4,69.58,77.01,79.51,70.97,70.35,83.1,70.98,69.88,91.61,88.39,99.02,96.71,92.43,93.74,104.24,76.08,,,81.56,83.9,81.99,73.93,78,92.68,87.74,88.38,99.98,107.93,103.64,87.14,102.84,114.27,107.8,105.27,107.77,130.04,121.03,127.71,132.81,128.29,110.39,110.15,106.93,113.04,110.87,132.33,139.69,143.5,145.96,143.18,123.78,138.61,127.72,127.37,111.08,112.19,90.85,96.89,136.17,148.37,150.98,140.22,152.88,156.47,121.86,117.18,113.85,137.07,136.59,158.73,126.88,110.65,134.7,141.64,147.93,142.71,157.12,133.48,130.46,141.29,159.3
country/region,Finland,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-3,3,2,4,0,1,-2,5,5,4,5,3,4,2,-3,3,2,-1,0,3,3,7,-2,-3,-3,-4,-9,-22,-24,-19,-29,-36,-38,-38,-47,-44,-41,-43,-43,-44,-45,-51,-52,-47,-49,-45,-47,-48,-49,-47,-41,-41,-37,-31,-67,-51,-62,-62,-45,-42,-43,-42,-47,-45,-39,-38,-39,-39,-41,-46,-45,-37,-39,-35,-30,-69,-47,-41,-31,-31,-32,-32,-33,-31,-37,-40,-35,-36,-35,-34,-40,-37,-28,-30,-24,-47,-29,-37,-34,-24,-23,-25,-27,-26,-27,-26,-6,-11,-11,-17,-18,-24,-18,-12,-11,-7,-7,-9,-14,-8,4,0,4,3,-48,-58,-20,3,-1,0,-4,-6,-11,-6,0,-2,4,1,-2,-12,-5,6,3,2,-1,-3,-14,-3,,
country/region,Finland,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,2,2,1,0,-1,-3,6,3,3,2,1,1,1,-1,5,3,-1,3,3,4,8,3,1,1,11,15,0,-4,5,1,-10,-12,-13,-15,-15,-16,-15,-16,-15,-16,-16,-21,-20,-18,-13,-16,-15,-13,-13,-15,-9,1,11,-38,-17,-27,-30,-13,-12,-13,-12,-15,-16,-16,-11,-11,-10,-12,-16,-14,-13,-10,2,15,-44,-20,-11,-5,-5,-5,-3,-3,4,-7,-16,-7,-8,-6,-5,-9,-8,-6,-4,14,-14,-1,-4,1,3,6,4,4,2,6,9,7,5,6,2,-1,-4,5,1,3,7,7,2,2,12,13,12,22,33,-18,-37,3,12,9,9,8,2,1,9,7,4,7,5,0,-3,4,8,7,5,5,-1,-6,6,,
country/region,Finland,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11,-24,10,22,34,30,0,-23,32,24,45,40,37,37,28,-6,15,14,12,8,27,28,41,5,-7,1,0,-1,18,25,11,0,32,45,41,42,77,33,36,45,52,46,45,48,32,-2,38,14,0,45,73,48,60,78,64,124,89,-9,96,11,37,28,32,44,81,62,121,110,84,49,56,56,60,38,54,105,152,68,94,80,129,118,96,89,96,81,13,68,78,77,78,38,73,86,73,71,149,157,130,80,76,114,86,66,91,118,122,114,124,145,81,100,73,113,92,130,214,204,240,239,221,223,192,241,290,517,330,256,255,275,323,298,298,263,219,173,93,155,194,207,98,137,176,184,249,202,235,115,194,,
country/region,Finland,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-8,-10,-9,-8,-10,-12,-7,1,-4,-1,-3,-3,-5,4,-4,-4,-7,-8,-6,-6,1,0,-7,-9,-10,-13,-26,-27,-32,-34,-44,-47,-48,-52,-51,-52,-54,-54,-54,-55,-58,-54,-59,-57,-59,-56,-59,-62,-55,-57,-56,-56,-54,-54,-69,-54,-70,-68,-58,-57,-58,-59,-52,-55,-53,-50,-51,-53,-57,-52,-56,-53,-54,-52,-48,-68,-54,-52,-49,-47,-48,-49,-50,-42,-46,-54,-48,-49,-44,-48,-51,-51,-43,-44,-34,-53,-41,-34,-40,-35,-30,-34,-36,-36,-21,-31,-27,-26,-26,-33,-37,-32,-29,-35,-30,-26,-30,-31,-19,-24,-27,-27,-24,-26,-52,-46,-31,-29,-27,-26,-28,-30,-16,-21,-31,-35,-29,-29,-29,-26,-25,-29,-30,-28,-32,-30,-28,-20,,
country/region,Finland,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-3,-13,-13,-13,-14,-15,-4,-1,-12,-12,-12,-12,-14,-2,-3,-7,-7,-8,-8,-8,0,1,-1,-1,-3,-3,-10,-8,-10,-23,-32,-41,-43,-43,-21,-21,-45,-47,-47,-47,-47,-24,-25,-48,-49,-49,-49,-49,-26,-25,-49,-50,-50,-52,-83,-30,-33,-84,-50,-49,-49,-48,-21,-20,-47,-47,-46,-47,-47,-21,-20,-46,-46,-46,-49,-82,-23,-16,-45,-44,-44,-44,-44,-13,-9,-45,-43,-43,-32,-32,-15,-10,-31,-32,-31,-76,-45,-8,-5,-31,-30,-29,-29,-28,32,4,-40,-40,-40,-41,-41,-4,3,-41,-40,-39,-40,-40,5,8,-41,-41,-41,-45,-78,-23,2,-47,-46,-44,-45,-45,1,8,-47,-48,-47,-47,-47,-3,4,-53,-53,-51,-52,-51,-5,5,,
country/region,Finland,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,2,1,2,3,0,-1,1,2,1,2,2,-1,0,1,2,2,2,1,-1,-1,1,2,2,2,5,5,4,9,13,15,15,16,8,7,15,16,16,16,18,9,9,16,18,17,18,19,9,8,16,16,15,14,26,8,11,23,17,17,17,17,8,7,14,13,14,14,15,6,6,14,13,14,10,23,7,4,12,12,12,12,12,3,2,14,13,13,9,10,6,4,9,10,6,17,9,1,-1,7,6,7,7,7,-2,-2,5,6,5,7,7,1,-2,6,6,4,4,2,-5,-6,3,4,2,-1,5,-5,-13,2,4,3,3,2,-6,-7,5,8,6,5,4,-1,-3,5,6,5,5,3,-1,-5,,
