geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Italy,confirmed_cases,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,62,155,229,322,453,655,888,1128,1694,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,15113,17660,21157,24747,27980,31506,35713,41035,47021,53578,59138,63927,69176,74386,80589,86498,92472,97689,101739,105792,110574,115242,119827,124632,128948,132547,135586,139422,143626,147577,152271,156363,159516,162488,165155,168941,172434,175925,178972,181228,183957,187327,189973,192994,195351,197675,199414,201505,203591,205463,207428,209328,210717,211938,213013,214457,215858,217185,218268,219070,219814,221216,222104,223096,223885,224760,225435,225886,226699,227364,228006,228658,229327,229858,230158,230555,231139,231732,232248,232664,232997,233197,233515,233836,234013,234531,234801,234998,235278,235561,235763,236142,236305,236651,236989,237290,237500,237828,238159,238011,238275,238499,238720,238833,239410,239706,239961,240136,240310,240436,240578,240760,240961,241184,241419,241611,241819,241956,242149,242363,242639,242827,243061,243230,243344,243506,243736,243967,244216,244434,244624,,,
country/region,Italy,driving,100,102.63,105.41,106.18,114.69,127.45,110.65,102.59,103.94,106.67,107.02,119.01,126.85,109.51,99.61,102.59,104.68,105.67,114.35,125.55,111.41,100.52,101.89,103.77,105.58,119.19,129.46,117.1,104.55,108.02,112.5,116.51,139.93,145.29,132.32,110.43,112.72,118.28,120.67,135.58,139.43,114.78,98.2,92.5,89.15,90.16,97.78,100.27,83.48,81.65,85.76,84.99,82.37,84.73,84.19,68.71,54.84,37.32,30.97,23.12,21.55,16.85,15.92,19.58,19.4,19.1,19.82,19.94,16.88,13.22,17.28,17.79,17.69,17.16,17.89,16.53,13.89,17.83,18.85,18.92,19.69,20.08,18.14,15.64,19.96,21.51,23.02,23.97,25.06,22,12.66,15.13,21.84,23.68,24.21,24.65,22.42,19.4,22.62,24.26,25.1,26.26,27.09,21.75,22.82,26.3,27.48,28.7,28.34,22.26,26.67,28.53,43.63,44.31,45.04,45.91,47.45,43.9,39.72,,,47.23,48.9,49.59,46.15,46.84,59.52,60.08,63.26,67.38,71.32,75.06,73.59,67.43,70.24,72.31,73.3,76.91,83.23,82.99,88.54,102.93,86.08,84.73,96.16,103.88,91.62,85.54,91.03,92.61,96.06,107.81,110.15,114.33,97.67,99.24,102.06,108.34,124.81,139.92,148.53,111.02,117.36,119.93,124.01,146.91,155.9,157.62,128.78,124.8,128.26,131.66,151.56,160.01,161.84,133.75,134.55,140.4,144.98,169.25,171.7,175.16,144.5,146.61
country/region,Italy,transit,100,100.82,100.4,99.52,107.35,113.33,108.25,102.14,99.04,100.05,102.72,107.54,116.79,110.36,101.6,101.95,102.49,100.8,101.93,107.43,106.2,98.79,99.71,98.91,103.67,114.12,117.08,113.16,108.57,109.4,110.36,117.55,127.08,130.72,125.6,119.01,118,120.44,124.06,126.36,126.83,113.18,96.25,81.28,74.29,74.11,76.73,76.34,69.12,67.14,65.83,61.44,59.45,57.32,52,46.69,37.69,23.02,19,13.06,11.93,10.96,11.13,10.88,10.76,10.22,10.35,10.17,9.51,9.23,9.7,9.29,9.31,8.86,8.43,8.59,9.18,9.5,9.76,9.22,9.61,8.57,8.58,9.25,9.68,11.43,10.18,10.3,10.05,9.27,8.71,10.25,11.23,11.32,11.2,11.22,10.6,11.38,12.05,11.96,12.25,11.41,11.36,10.93,13.16,13.35,12.98,13.31,13.21,13.1,13.96,17.69,20.52,21.63,21,21.18,21.48,21.79,21.56,,,20.1,20.93,20.55,21.57,25.92,26.67,26,27.17,28.73,28.41,30.02,31.71,32.26,31.21,31.19,30.82,29.44,31.77,34.43,37.59,38.91,38.68,36.89,40.07,42.99,40.9,42.38,44.74,43.48,42.42,46.23,43.82,47.66,48.74,49.23,47.9,50.57,51.78,53.03,55.63,58.05,58.86,58.65,58.36,61.25,61.36,60.44,60.49,62.58,63.31,64.49,65.29,65.65,68.59,71.11,69.16,69.76,70.65,72.42,71.18,72.3,75.76,75.09
country/region,Italy,walking,100,102.1,104.86,107.32,122.71,142.38,109.49,99.19,102.26,105.19,109.44,126.34,150.68,111.59,101.22,104.22,109.74,110.64,127.71,149.16,118.22,108.19,108.79,108.09,111.82,131.64,160.32,118.67,108.86,117.98,122.37,132.34,170.85,194.34,144.17,123.94,131.03,132.99,142.68,158.11,181.74,129.3,107.66,94.26,82.94,83.27,92.59,100.06,65.47,63.94,70.14,71.71,66.63,71.88,76,51.9,39.86,29.4,27.09,18.21,18.09,16.08,15.86,15.68,15.33,15.07,15.84,17.33,16.08,11.41,13.05,13.67,12.87,12.67,14.16,14.86,10.97,12.89,13.93,14.45,14.92,16.03,16.48,13.05,14.64,16.42,17.47,19.14,21.25,20.58,11.43,12.05,15.41,17.06,17.77,18.86,19.21,15.37,14.46,16.56,17.21,18.54,20.51,19.33,20.11,19.86,18.61,20.08,21.15,19.86,24.94,25.42,34.51,34.45,34.86,36.22,38.28,42.35,34.23,,,30.8,35.04,34.84,37.25,37.99,40.36,39.54,42.65,46.43,49.45,53.83,48.04,45.13,46.35,48.22,47.96,48.79,58.87,54.05,59.08,59.11,52.58,49.06,61.23,74.85,49.72,53.27,59.4,58.8,60.82,73.74,76.82,65.16,62.58,66.03,66.41,72.11,80.93,100.85,76.8,72.52,79.63,80.01,81.99,92.76,108.71,82.65,79.13,81.59,84.93,85.99,95.15,117.41,90.13,90.75,96.53,97.63,99.57,110.13,123.75,100.48,103.32,109.55
country/region,Italy,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,0,2,1,-1,-5,-4,-6,-13,-10,-8,-10,-19,-13,-7,-7,-12,-15,-19,-32,-30,-43,-52,-70,-75,-83,-90,-75,-77,-79,-79,-80,-86,-95,-80,-81,-83,-84,-83,-87,-94,-81,-90,-90,-90,-85,-89,-95,-83,-81,-82,-81,-81,-86,-96,-96,-81,-80,-79,-79,-85,-94,-79,-79,-79,-78,-75,-93,-92,-72,-75,-75,-71,-92,-78,-89,-58,-60,-61,-60,-60,-63,-74,-58,-56,-59,-56,-58,-61,-68,-38,-40,-40,-37,-38,-38,-43,-32,-32,-32,-32,-35,-34,-37,-15,-32,-29,-33,-28,-25,-34,-25,-21,-23,-21,-19,-24,-23,-18,-16,-17,-15,-16,-17,-22,-13,-11,-12,-13,-14,-18,-22,-10,-8,-9,-10,-14,-15,-18,-8,-5,-8,-8,-10,-16,-16,,
country/region,Italy,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2,1,1,-1,1,1,3,16,23,5,-5,-3,-2,-2,-5,-7,-1,1,0,0,1,3,-1,-2,-14,-23,-28,-43,-60,-37,-41,-43,-44,-40,-51,-85,-45,-48,-51,-52,-46,-54,-85,-47,-42,-41,-40,-37,-48,-82,-39,-38,-37,-32,-27,-42,-94,-93,-41,-38,-37,-34,-48,-82,-48,-45,-45,-40,-27,-86,-74,-34,-39,-36,-23,-90,-37,-71,-25,-27,-28,-27,-23,-28,-61,-31,-24,-27,-24,-22,-26,-56,-19,-18,-18,-15,-13,-17,-38,-17,-14,-13,-12,-11,-13,-31,4,-44,-7,-11,-10,-12,-28,-14,-11,-11,-8,-8,-14,-21,-11,-8,-9,-9,-8,-12,-21,-9,-7,-8,-6,-6,-12,-21,-8,-6,-5,-6,-7,-11,-17,-6,-3,-7,-6,-6,-13,-16,,
country/region,Italy,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,26,7,16,11,18,19,30,23,22,20,-6,-1,11,2,-30,-26,-9,8,-12,-8,2,1,-24,-32,-32,-61,-64,-78,-81,-67,-68,-71,-74,-77,-85,-91,-81,-80,-82,-84,-82,-86,-90,-79,-78,-77,-77,-78,-84,-90,-76,-75,-76,-76,-76,-83,-91,-86,-76,-75,-75,-75,-82,-88,-79,-76,-75,-73,-71,-83,-85,-68,-71,-68,-67,-74,-71,-75,-30,-31,-32,-28,-29,-31,-43,-45,-27,-39,-28,-34,-37,-24,-11,-22,-13,0,4,11,13,4,6,8,5,-6,7,15,53,119,6,-24,1,31,-4,-7,9,2,3,35,29,30,19,27,24,36,41,64,47,46,59,60,51,60,71,53,62,60,55,55,47,65,56,70,77,78,74,77,69,63,,
country/region,Italy,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,3,4,3,5,5,8,6,-15,-18,-23,-22,-20,-16,-26,-25,-21,-19,-28,-29,-24,-27,-42,-51,-57,-67,-71,-76,-80,-74,-76,-77,-78,-78,-80,-87,-81,-81,-82,-83,-82,-82,-87,-81,-79,-79,-79,-79,-80,-86,-78,-78,-78,-78,-77,-78,-88,-91,-77,-76,-76,-76,-77,-84,-79,-77,-76,-75,-73,-83,-81,-72,-74,-72,-71,-86,-70,-76,-57,-58,-58,-58,-58,-52,-57,-61,-56,-59,-56,-58,-53,-52,-48,-50,-48,-46,-46,-35,-35,-45,-44,-43,-43,-45,-32,-32,-37,-46,-37,-44,-40,-25,-36,-42,-38,-39,-39,-34,-26,-23,-36,-34,-34,-33,-31,-16,-16,-31,-29,-30,-29,-27,-15,-14,-31,-29,-28,-28,-29,-15,-12,-27,-26,-26,-26,-25,-15,-9,,
country/region,Italy,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,1,-14,-15,-12,-12,-12,-9,-5,-9,-8,-8,-16,-17,-15,-10,-24,-31,-37,-47,-53,-58,-55,-58,-61,-61,-63,-63,-63,-63,-68,-69,-70,-72,-71,-65,-63,-69,-70,-70,-70,-69,-63,-62,-66,-67,-67,-67,-68,-62,-66,-90,-65,-64,-63,-63,-58,-58,-61,-61,-61,-60,-60,-72,-54,-57,-58,-57,-57,-86,-52,-46,-45,-46,-46,-45,-45,-39,-28,-43,-42,-42,-42,-42,-34,-21,-36,-37,-37,-37,-36,-24,-9,-34,-34,-33,-33,-34,-20,-2,-44,-72,-31,-33,-32,-17,-3,-31,-30,-30,-30,-30,-15,4,-28,-28,-28,-28,-28,-12,6,-29,-28,-28,-27,-28,-14,8,-29,-26,-26,-26,-27,-14,7,-27,-27,-25,-26,-27,-13,9,,
country/region,Italy,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-2,0,0,0,0,-1,-1,0,4,5,6,6,5,3,4,5,4,4,7,8,6,6,11,16,19,24,28,25,22,27,29,30,31,32,26,24,32,32,34,35,36,27,24,32,33,33,34,35,27,24,31,31,31,32,33,26,25,40,30,30,31,32,25,23,29,29,30,30,29,28,22,26,26,27,26,41,23,21,18,19,20,20,21,15,13,19,19,19,18,20,15,12,14,15,15,15,14,8,5,12,12,12,13,13,7,5,11,16,10,12,11,4,4,10,9,10,9,7,2,0,7,8,8,7,6,-1,-3,5,5,5,5,4,-2,-5,4,4,4,4,4,-2,-6,3,3,3,3,2,-2,-6,,
