geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Japan,confirmed_cases,2,2,2,2,4,4,7,7,11,15,20,20,20,22,23,23,23,24,24,26,27,28,33,43,54,60,67,79,85,95,112,137,149,160,173,192,218,236,245,259,278,298,333,365,420,466,499,527,585,640,696,733,795,826,843,893,928,968,1022,1059,1104,1144,1217,1314,1416,1530,1728,1907,2001,2255,2535,2818,3154,3525,3876,4110,4485,5020,5614,6250,6951,7473,7773,8277,8835,9398,9958,10548,10914,11258,11641,12037,12469,12854,13186,13405,13576,13860,14076,14284,14558,14861,15061,15229,15354,15455,15553,15640,15755,15824,15861,15948,15998,16096,16148,16202,16226,16259,16287,16321,16362,16385,16410,16451,16472,16502,16528,16598,16673,16716,16751,16787,16837,16867,16911,16958,17000,17039,17060,17111,17146,17187,17250,17293,17369,17439,17484,17530,17588,17658,17725,17780,17820,17879,17963,18055,18162,18254,18366,18476,18615,18838,19055,19185,19461,19668,19848,20055,20261,20617,21044,21430,21841,22125,22437,23172,23510,24104,24946,25446,25706,,,
country/region,Japan,driving,100,97.94,99.14,103.16,123.15,130.54,104.44,100.01,99.73,99.02,102.76,129.78,131.34,101.47,94.7,99.11,101.33,101.75,128.05,132.95,106.91,103.28,103.66,103.12,105.07,132.39,148.54,120.49,128.3,112.01,109.2,110.99,134.71,131.54,114.42,111.43,111.19,112.58,116.79,140.56,161.69,142.83,116.21,107.01,107.46,103.29,112.22,114.58,103.92,105.91,103.24,106.01,110.8,122.87,115.69,113.65,108.76,116.12,117.83,115.47,123.4,133.14,120.19,119.97,123.25,127.56,152.83,161.59,148.75,127.72,124.82,128.24,128.82,121.43,122.59,111.03,111.53,105.3,97.79,98.41,99.61,107.26,97.79,91.93,87.35,83.74,81.2,79.75,85.41,69.08,67.85,74.14,78.43,77.49,73.73,67.08,72.91,67.95,70.73,70.45,69.58,70.42,74.9,67.8,68.85,70.05,69.1,73.08,75.34,78.43,72.08,69.96,76.4,64.72,71.45,77.03,77.83,68.89,73.03,,,73.09,74.44,73.52,81.28,73.58,69.88,73.45,74.2,77.35,91.1,95.19,81.58,79.49,80.33,83.78,86.22,105.79,99.1,83.25,83.19,85.19,85.98,91.36,112.68,116.44,94.55,90.52,90.19,87.54,92.61,110.02,108.47,95.16,94.7,96.43,94.47,97.04,130.22,135.4,101.84,97.99,98.56,97.69,101.92,132.5,127.66,103.91,94.46,93.68,99.89,101.75,119.11,125.1,101.65,97.98,99,98.47,102.46,124.23,129.81,106.37,99.6,107.56
country/region,Japan,transit,100,99.33,101.16,107.02,128.61,131.7,104.9,102.13,102.41,101.15,105.97,131.96,132.99,101.53,96.58,100.7,102.45,103.5,129.82,131.35,109.27,106.53,108,105.15,108.17,132.29,155.72,120.26,127.42,113.31,112.26,114.08,133.01,128.41,114.64,112.88,112.02,112.54,116.33,134.17,146.81,130.41,112.61,104.56,102.38,97.64,102.82,104.61,98.18,100.79,97.95,100.36,104.22,109.49,101.58,106,102.41,109.49,111.98,110.47,108.61,113.41,110.5,112.5,115.65,118.04,127.64,131.95,123.18,116.13,116.35,118.84,117.95,109.55,102.47,91.71,99.29,95.23,93.59,92.36,91.56,91.22,81.07,82.91,78.3,73.88,70.69,68.03,69.34,56.65,57.7,61.63,64.82,63.57,60.27,53.55,58.82,55.07,58.05,57.19,55.69,56.41,59.08,54.49,55.12,55.81,56.2,58.62,60.87,62.19,57.57,55.51,60.04,51.43,58.79,62.88,63.21,56.43,61.66,,,64.64,67.25,65.1,72.77,68.91,65.39,68.86,69.42,72.92,82.62,85.96,78.43,77.05,77.82,81.08,83.43,97.75,92.1,86.08,85.1,86.42,86.96,91.55,107.88,108.77,95.01,91.21,91.12,89.11,92.95,106.3,103.12,95.4,95.43,97.14,95.54,97.41,124.78,125.86,101.06,98.46,101.09,100.89,104.78,132.11,125.68,106.07,98.47,97.78,103.61,105.5,120.65,123.36,105.63,101.31,102.84,101.77,104.82,124.42,126.65,106.73,101.37,108.77
country/region,Japan,walking,100,96.07,102.01,108.67,135.81,148.78,105.94,101.99,103.65,97.98,108.94,147.47,148.88,99.96,90.56,103.86,110.98,109.17,145.33,148.04,115.13,113.98,116.67,109.4,111.67,143.57,154.39,121.72,138.39,119.7,121.38,124.99,150.75,138.76,119.97,122.2,122.62,124.25,127,145.9,163.51,145.52,121.18,112.83,111.53,104.84,112.22,116.77,101.49,113.27,103.49,109.96,117.33,121.2,102.85,118.47,108.01,126.08,132.61,130.25,112.95,124.7,122.39,129.51,136.79,138.72,142.88,149.4,140.39,133.79,134.98,141.1,142,123.41,105.55,84.38,105.3,105.72,94.47,98.5,101.04,100.06,82.85,88.32,84.77,79.34,75.52,72.25,75.47,56.71,46.81,63.73,72.88,70.81,64.34,47.9,71.4,52.6,63.57,62.52,60.37,60.29,68.62,65.01,57.34,58.12,69.03,69.07,70.43,74.47,69.19,61.93,71.02,53.24,63.34,71.61,74.12,60.73,64.15,,,64.79,65.73,53.19,71.52,61.52,52.52,59.46,59.53,62.64,74.78,81.99,69.94,65.66,66.56,71.61,72.96,90.1,83.45,71.41,73.26,75.32,75.31,77.86,96.06,96.21,79.89,76.79,76.58,69.47,71.6,82.61,82.3,75.91,78.44,80.6,77.68,70.11,107.11,109.57,76.74,77.98,82.19,79.96,83.53,113.11,105.32,85.84,74.66,73.64,83.69,83.36,95.32,103.62,77.41,73.36,76.93,77.58,79.01,101.41,105.91,81.31,72.77,83.94
country/region,Japan,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-9,-2,1,0,1,-1,-5,1,18,0,-4,-3,-2,-10,-10,-10,-2,-12,-9,-9,-12,-17,-7,-9,-3,-3,-5,-14,-7,-7,-1,-3,4,7,-6,-9,-4,0,2,0,-10,-18,-26,-7,-4,-20,-12,-14,-21,-25,-13,-12,-22,-24,-26,-30,-40,-38,-23,-24,-27,-31,-48,-40,-37,-31,-36,-36,-37,-41,-45,-35,-28,-30,-30,-35,-43,-45,-28,-23,-36,-31,-34,-39,-38,-32,-30,-31,-30,-32,-40,-32,-32,-29,-26,-27,-29,-27,-27,-22,-22,-20,-20,-21,-20,-22,-21,-16,-19,-18,-18,-17,-15,-17,-13,-14,-20,-16,-18,-16,-12,-9,-11,-16,-15,-7,-9,-16,-8,-11,-11,-11,-8,-12,-9,-11,-13,-9,-14,-13,-12,-20,-12,-12,-14,-13,-12,-11,,
country/region,Japan,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-6,1,2,2,4,2,1,3,4,7,3,6,14,9,9,3,9,-2,3,2,2,-4,2,-3,4,5,3,-4,5,0,4,3,6,6,5,1,0,3,8,13,3,1,-7,4,7,-5,6,6,6,2,7,6,2,2,4,4,-9,-15,5,7,5,4,-14,-3,-8,1,-4,-3,-1,-3,-9,-5,2,-5,4,1,-5,-9,-6,0,-12,1,0,-5,-7,-2,0,-1,-1,0,-12,-1,-7,-4,1,-1,-2,0,-1,2,-1,2,1,2,3,0,-2,2,1,2,1,1,2,-1,2,2,-6,0,-6,-2,3,3,2,-4,-5,6,2,-5,3,1,2,1,3,-1,0,-2,-2,3,-4,-1,2,-9,-1,-1,-2,0,1,2,,
country/region,Japan,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-35,-5,1,8,4,7,-10,16,54,0,-5,-4,-4,-22,-1,-15,11,-21,-8,5,-8,-35,11,-28,13,16,10,-39,9,-7,14,20,17,40,34,18,11,14,31,26,-9,-23,-25,-2,9,-29,13,26,26,3,15,17,16,8,0,3,-35,-45,10,17,9,-1,-47,1,-33,8,-3,-4,-8,-9,-16,-9,4,23,8,4,-11,-19,4,29,-17,3,6,-20,-35,0,6,4,6,-4,-52,-2,-20,-20,-6,-8,-5,-8,8,2,-8,5,5,5,1,-16,-13,5,5,2,1,-2,10,1,7,-1,-26,-10,-40,-30,-3,6,10,-14,-26,10,11,-14,6,6,-13,-7,0,-20,1,-22,-12,2,-14,-28,-7,-31,-18,-12,-20,-17,-22,-3,,
country/region,Japan,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-10,-1,-2,-3,-3,-2,-3,2,-27,-2,-5,-7,-10,-21,-23,-15,-15,-19,-18,-18,-24,-31,-15,-18,-16,-15,-17,-27,-21,-15,-15,-14,-10,-34,-15,-18,-13,-13,-11,-13,-19,-33,-41,-20,-20,-25,-23,-25,-35,-43,-24,-27,-34,-36,-38,-48,-58,-45,-41,-41,-43,-46,-60,-53,-47,-46,-48,-48,-48,-53,-58,-47,-46,-64,-47,-50,-55,-58,-67,-65,-69,-44,-45,-51,-56,-42,-43,-44,-44,-44,-55,-48,-42,-43,-41,-41,-41,-43,-42,-35,-36,-35,-34,-34,-34,-39,-26,-27,-28,-28,-29,-31,-32,-26,-26,-26,-28,-27,-35,-36,-23,-23,-23,-25,-26,-21,-24,-22,-20,-21,-20,-21,-20,-28,-19,-21,-21,-19,-21,-27,-28,-22,-22,-22,-21,-22,-27,-27,,
country/region,Japan,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-2,0,0,0,0,0,-1,0,-55,1,1,0,1,3,1,-2,-2,-4,-4,-4,-4,-5,-3,-5,-4,-4,-4,-7,-3,-3,-4,-4,-4,-54,-7,-3,-3,-4,-4,-5,-7,-8,-9,-8,-7,-10,-10,-11,-12,-13,-11,-13,-16,-17,-18,-22,-22,-20,-20,-21,-22,-23,-26,-23,-23,-25,-26,-26,-26,-26,-27,-26,-27,-64,-32,-35,-30,-30,-73,-73,-72,-26,-27,-20,-24,-22,-23,-23,-23,-23,-23,-20,-20,-22,-21,-21,-21,-20,-17,-18,-18,-18,-18,-17,-14,-14,-11,-13,-13,-13,-15,-15,-13,-11,-12,-13,-14,-15,-19,-13,-11,-11,-12,-13,-15,-12,-10,-11,-11,-11,-12,-13,-15,-12,-9,-10,-9,-10,-11,-13,-11,-11,-12,-12,-11,-12,-15,-10,,
country/region,Japan,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0,0,1,2,0,14,1,1,1,2,4,4,4,4,5,4,5,5,6,4,6,3,3,5,7,3,4,4,3,2,17,3,3,3,4,2,3,6,7,7,5,5,7,6,7,8,8,7,8,9,10,12,12,12,13,12,11,12,14,16,11,14,14,14,15,16,14,12,15,14,22,16,19,15,12,29,29,30,14,16,13,12,12,13,13,12,15,14,9,13,14,12,12,13,11,8,10,11,10,10,11,8,7,8,8,8,8,9,7,5,7,8,7,9,9,9,6,6,7,6,7,9,4,4,7,6,6,6,7,5,5,6,7,6,5,7,7,5,7,7,6,7,7,7,5,,
