geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Mexico,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,6,6,7,7,7,8,12,26,41,53,82,93,118,164,203,251,316,367,405,475,585,717,848,993,1094,1215,1378,1510,1688,1890,2143,2439,2785,3181,3441,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,8772,9501,10544,11633,12872,13842,14677,15529,16752,17799,19224,20739,22088,23471,24905,26025,27634,29616,31522,33460,35022,36327,38324,40186,42595,45032,47144,49219,51633,54346,56594,59567,62527,65856,68620,71105,74560,78023,81400,84627,87512,90664,93435,97326,101238,105680,110026,113619,117103,120102,124301,129184,133974,139196,142690,146837,150264,154863,159793,165455,170485,175202,180545,185122,191410,196847,202951,208392,212802,216852,220657,226089,231770,238511,245251,252165,256848,261750,268008,275003,282283,289174,295268,299750,304435,311486,317635,324041,331298,338913,344224,349396,,,
country/region,Mexico,driving,100,100.53,102.35,106.06,127.97,134.25,93.02,99.86,98.24,98.54,103.06,125.88,132.98,91.64,95.34,95.59,97.85,103.95,131.82,138.16,97.29,92.83,97.7,96.65,102.16,123.82,132.78,91.93,98.9,101.42,103.35,114.35,152.62,148.02,103.95,104.15,103.08,104.29,109.57,135.59,146.51,104.9,101.38,99.87,100.1,103.94,131.15,141.72,96.36,94.55,96.33,98.55,103.76,129.77,142.61,96.45,82.96,98.22,99.53,102.63,132.65,142.31,97.35,80.27,75.86,68.46,65.28,69.84,62.58,41.83,46.66,44.21,42.82,44.2,49.05,49.65,35.04,41.52,41.5,41.39,41.34,46.09,45.68,33.35,39.47,40.31,42.44,38.8,35.13,37.77,32.18,39.94,40.05,41.18,41.56,47.31,47.11,35.21,41.68,40.67,41.72,42.08,46.53,47.25,35.53,41.58,42.99,45.62,51.32,47.31,51.89,39.33,46.3,46.64,48.16,48.71,55.16,63.08,50.81,,,49.45,51.54,62.6,63.6,46.5,53.13,53.81,54.64,56.37,64.38,68.41,49.27,57.53,56.18,55.59,58.44,67.38,71.86,52.05,58.82,60.1,61.98,63.68,73.07,77.49,56.63,64.28,64.53,65.13,66.51,78.55,85.44,61.5,70.52,71.29,72.88,75.33,87.91,94.38,62.76,70.38,70.8,72.55,75.6,86.84,93.1,68.09,75.24,76.69,79.24,83.09,99.75,104.38,82.15,92.73,93.04,90.23,92.06,104.3,106.77,80.8,87.61,92.5
country/region,Mexico,transit,100,100.05,100.15,101.98,110.88,96.82,77.79,99.28,98.72,98.51,101.45,109.94,97.91,76.61,95.72,96.48,96.5,98.53,111.68,93.02,68.97,77.51,94.93,96.12,99.74,111.23,101.97,79.59,96.97,97.32,98.71,103.8,115.75,106.37,82.76,99.33,98.87,99.54,101.83,118.52,118.07,89.77,98.62,97.37,94.41,101.61,113.27,103.91,76.32,93,95.62,94.23,97.72,111.96,103.79,76.99,74.38,93.47,99.59,96.81,105.55,87.97,60.9,61.03,68.63,58.78,54.03,49.89,40.13,31.55,35.65,34.12,32.68,31.48,31.83,29.4,25.33,28.12,28.1,27.32,25.55,25.87,24.4,22.13,24.66,24.84,24.9,22.66,21.23,21.08,22.5,26.55,25.44,25,24.36,24.24,22.67,21.71,24.57,24.48,23.46,23.74,22.97,21.8,21.89,24.9,24.65,24.38,22.8,23.26,22.65,22.58,25.45,25.05,24.95,24.16,24.93,24.25,20.99,,,26.62,26.35,26.58,27.23,24.78,28.96,28.53,28.06,28.24,29.54,28.48,25.62,29.22,29.29,29.36,29.78,29.57,28.48,26.83,31.17,31.97,32.48,32.65,33.22,30.76,29.11,34.79,34.18,34.1,33.3,34.35,32.21,30.06,37.53,36.91,35.45,35.94,36.71,33.1,27.21,38.26,37.08,38.74,36.87,37.18,36.12,31.83,40.25,40.5,40.79,40.23,42.41,41.7,39.14,48.94,48.29,45.91,45.5,46.33,42.05,38.32,56.44,115.44
country/region,Mexico,walking,100,102.15,105.42,107.62,127.85,135.02,87.85,100.97,101.37,101.64,105.31,125.38,136.68,90.47,97.69,97,97.43,103.85,125.87,136.75,98.29,84.11,98.39,97.86,104.94,125.62,135.29,90.55,99,102.93,105.61,115.16,152.47,154.55,107,108.47,105.64,106.04,113.14,138.41,155.14,109.27,103.58,101.79,100.35,108.48,132.13,145.41,96.7,100.09,101.21,102.31,108.38,131.06,144.5,105.88,87.91,101.1,104.8,109.64,130.03,138.81,96.3,72.48,79.45,70.54,64.42,63.61,54.03,35.34,42.18,39.17,37.89,38.09,41.23,40.9,27.96,35.99,36.18,35.03,34.98,37.98,37.09,26.25,33.99,34.79,35.21,30.98,27.94,30.28,25.26,34.44,34.91,36.02,35.14,39.2,38.2,27.75,35.34,34.81,35.61,35.85,38.31,38.83,28.24,35.63,36.51,38.11,45.98,38.18,42.25,30.67,39.53,40.21,41,40.47,45.64,52.87,46.63,,,43.33,45.93,54.49,53.35,37.68,47.23,48.08,48.28,49.8,55.02,57.26,39.38,49.68,48.82,49.15,50.62,58.22,60.87,41.15,52.22,52.64,53.89,54.95,63.04,65.34,44.92,55.46,56.56,57.22,57.59,66.06,71.58,47.78,60.37,62.8,64.26,64.87,75.76,78.92,51.21,61.6,61.25,64.4,65.89,74.15,77.17,53.19,66.6,69,71.56,72.74,89.61,109.11,75.64,96.2,98.64,93.49,96.05,103.51,104.73,74.79,91.5,116.84
country/region,Mexico,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,2,0,0,0,-2,0,2,-2,-2,-3,1,3,6,6,1,1,1,2,-1,1,3,-11,-2,-1,1,2,2,0,-11,-7,-13,-17,-23,-31,-37,-31,-35,-37,-37,-39,-40,-45,-35,-35,-37,-47,-56,-57,-62,-54,-53,-52,-58,-71,-66,-65,-54,-54,-51,-51,-55,-59,-62,-55,-58,-58,-59,-61,-62,-65,-58,-58,-55,-47,-61,-59,-63,-54,-56,-56,-56,-57,-56,-59,-57,-55,-55,-53,-53,-55,-60,-52,-53,-53,-54,-56,-56,-60,-53,-54,-54,-53,-52,-53,-57,-48,-50,-50,-50,-52,-52,-56,-50,-50,-48,-48,-48,-48,-52,-43,-42,-43,-44,-46,-45,-50,-46,-46,-45,-45,-47,-47,-50,-42,-37,-38,-39,-42,-45,-49,-40,-40,-41,-41,-42,-44,-48,,
country/region,Mexico,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,-1,0,-1,-2,0,1,0,-2,-1,1,6,8,9,6,3,4,3,0,2,3,-6,0,2,4,6,10,7,5,5,3,1,-3,-7,-13,-14,-16,-16,-17,-17,-14,-19,-15,-15,-13,-12,-11,-11,-19,-15,-18,-13,-16,-30,-26,-29,-20,-19,-13,-15,-18,-23,-28,-25,-28,-27,-28,-28,-27,-31,-28,-28,-21,-10,-22,-21,-28,-22,-25,-23,-22,-22,-17,-24,-26,-25,-23,-20,-16,-16,-24,-19,-21,-19,-20,-20,-18,-24,-19,-22,-22,-19,-14,-12,-19,-13,-17,-17,-17,-16,-14,-21,-18,-20,-16,-16,-13,-10,-17,-9,-11,-11,-13,-11,-7,-14,-17,-18,-15,-15,-13,-11,-17,-12,-7,-6,-7,-8,-10,-17,-11,-13,-13,-14,-11,-11,-18,,
country/region,Mexico,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,3,3,2,2,-1,7,8,6,7,3,0,3,5,7,2,2,2,3,0,4,10,-8,2,2,3,3,6,6,-7,-8,-14,-16,-22,-32,-37,-30,-33,-36,-36,-37,-39,-46,-36,-37,-39,-41,-43,-46,-52,-41,-42,-42,-46,-57,-54,-58,-45,-44,-44,-45,-47,-51,-56,-47,-50,-51,-52,-53,-55,-60,-51,-50,-49,-45,-54,-52,-58,-47,-50,-49,-50,-51,-51,-56,-50,-48,-48,-48,-46,-49,-55,-46,-45,-45,-46,-47,-49,-53,-44,-45,-46,-46,-45,-46,-52,-43,-43,-43,-44,-45,-46,-50,-43,-44,-42,-43,-42,-41,-46,-36,-36,-37,-38,-38,-39,-46,-40,-39,-40,-40,-40,-39,-43,-37,-35,-36,-36,-37,-39,-44,-36,-36,-38,-38,-37,-39,-43,,
country/region,Mexico,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,2,3,3,4,4,7,4,2,1,2,6,5,7,4,2,3,3,3,2,4,-17,3,2,3,5,4,-4,-30,-9,-17,-22,-26,-29,-33,-37,-41,-44,-46,-47,-43,-47,-47,-48,-50,-52,-52,-48,-51,-54,-56,-55,-62,-72,-63,-57,-56,-57,-56,-57,-58,-55,-56,-57,-60,-60,-61,-62,-58,-59,-60,-61,-60,-57,-67,-57,-58,-59,-61,-61,-62,-61,-56,-57,-60,-60,-61,-60,-58,-53,-56,-57,-58,-58,-58,-58,-53,-55,-56,-58,-59,-58,-56,-50,-52,-52,-54,-54,-55,-55,-49,-51,-53,-55,-54,-54,-53,-47,-49,-49,-50,-51,-51,-50,-44,-47,-51,-52,-51,-52,-51,-44,-46,-48,-48,-47,-47,-47,-43,-44,-46,-48,-48,-48,-47,-41,-43,,
country/region,Mexico,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,11,9,8,7,11,4,2,8,6,6,7,12,6,3,10,9,9,8,12,6,3,-16,9,8,8,5,3,1,-54,-3,-10,-14,-14,-7,-10,-29,-34,-36,-37,-34,-18,-20,-38,-41,-44,-46,-43,-27,-27,-49,-52,-53,-64,-72,-49,-31,-49,-50,-50,-51,-47,-29,-26,-47,-50,-50,-51,-47,-31,-28,-48,-50,-50,-49,-63,-33,-25,-47,-51,-49,-50,-46,-28,-14,-47,-48,-48,-48,-44,-26,-20,-44,-46,-46,-47,-42,-22,-18,-43,-44,-44,-44,-40,-17,-11,-38,-41,-41,-41,-37,-16,-10,-37,-39,-39,-40,-35,-12,-6,-35,-37,-38,-39,-34,-11,4,-38,-39,-38,-39,-34,-12,-4,-35,-37,-37,-38,-34,-12,-6,-36,-38,-38,-38,-34,-11,-6,,
country/region,Mexico,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-2,-2,-1,-1,-1,0,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-1,-1,-1,0,0,7,-2,-1,-2,-1,-1,-1,13,2,6,7,9,9,8,12,14,16,16,17,12,11,15,16,18,19,21,16,13,19,20,20,23,30,20,13,20,21,21,22,24,17,13,20,21,22,23,24,18,14,22,17,22,20,28,18,13,21,22,22,23,24,17,11,21,21,22,22,23,16,13,20,21,21,22,22,16,13,20,20,21,21,22,14,12,18,19,19,20,21,14,11,18,18,18,19,19,13,11,16,17,18,18,17,12,8,17,17,18,18,19,12,10,16,15,16,16,17,12,9,15,16,16,17,17,12,9,,
