geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Norway,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,15,19,25,32,56,87,108,147,176,205,400,598,702,996,1090,1221,1333,1463,1550,1746,1914,2118,2385,2621,2863,3084,3369,3755,4015,4284,4445,4641,4863,5147,5370,5550,5687,5865,6086,6086,6211,6314,6409,6525,6603,6623,6740,6896,6937,7036,7078,7156,7191,7338,7401,7463,7499,7527,7599,7660,7710,7738,7783,7809,7847,7904,7955,7996,8034,8070,8099,8105,8132,8157,8175,8196,8219,8237,8249,8257,8267,8281,8309,8332,8346,8352,8364,8383,8401,8411,8422,8437,8440,8446,8455,8477,8504,8522,8531,8547,8561,8576,8594,8608,8620,8628,8631,8647,8660,8692,8708,8726,8742,8745,8751,8772,8788,8788,8832,8846,8855,8862,8879,8896,8902,8921,8926,8930,8936,8947,8950,8965,8974,8977,8981,8984,9001,9011,9015,9025,9028,9028,9034,,,
country/region,Norway,driving,100,98.43,102.34,105.02,122.49,113.46,114.54,98.58,98.9,102.31,105.37,120.93,113.67,114.26,98.53,99.58,101.29,103.96,121.18,114.8,121.29,99.55,97.63,102.9,105.99,126.73,123.15,126.38,104.17,105.06,109.65,113.14,139.76,128.46,120.93,113.44,111.35,119.43,122.75,131.05,123.29,139.77,105.9,105.34,110.26,108.6,122.45,116.55,116.36,100.98,102.48,106.28,112.1,124.82,111.53,118.28,96.35,93.88,86.81,80.56,73.72,59.14,51.2,56.73,54.58,54.07,55.82,58.87,55.9,53.79,59.29,57.57,59.26,62.82,64.12,61.53,58.65,67.54,69.14,70.62,71.62,76.72,64.39,63.56,81.79,82.87,79.99,71.7,68.83,57.14,65.55,76.24,76.83,80.47,81.25,87.04,84.42,86.32,90.86,91.42,92.76,95,95.99,86.21,93.6,89.08,92.22,97.11,110.62,91.74,94.68,105.28,99.73,99.67,101.83,103.64,110.82,100.09,100.17,,,105.49,107.77,112.64,99.34,91.43,108.57,117.11,143.64,127.26,130.69,120.18,143.12,124.09,122.77,125.25,135.76,172.06,138.72,130.2,156.95,136.64,135.66,138.21,144.93,137.26,146.98,143.85,145.65,148.7,156.97,184.41,154.75,168.44,165.35,162.89,168.42,178.81,197.11,166.63,186.01,190.88,186.51,198.51,206.3,225.97,189.48,214.64,209.55,211.89,219.72,224.58,242.93,221.68,246.2,258.62,252.13,256,260.49,276.68,261.1,284.19,282.88,281.02
country/region,Norway,transit,100,103.33,102.63,106.54,118.12,117.65,107.06,106.9,106.04,108.67,108.15,115.52,125.04,112.65,106.31,106.06,103.15,101.91,117.04,129.4,115.77,101.54,107.47,112.5,115.49,121.35,129,114.92,109.8,110.88,110.94,111.25,119.14,121.68,111.92,115.37,112.58,111.39,119.95,119.96,123,114.14,105.86,103.2,107.58,106.18,114.45,119.83,109.7,101.61,100.95,107.91,105.5,110.04,111.71,100.39,93.39,88.36,78.62,56.74,44.42,39.74,32.91,30.71,31.19,29.63,28.04,30.97,30.54,32.88,31.74,30.74,30.96,31.17,32.13,31.12,31.04,33.88,34.08,33.88,31.43,31.38,32.64,32.94,36.26,35.07,36.43,35.65,36.35,31.09,37.23,41.67,41.23,45.35,41.48,43.72,42.25,46.41,47.91,50.36,51.16,49.83,47.37,43.94,48.34,47.27,48.01,52.31,47.18,47.27,48.91,52.53,57.17,55.44,56.87,54.87,56.98,56.9,56.35,,,59.73,59.04,57.02,53.85,58.54,60.28,66.59,65.26,66.35,65.03,60.66,69.42,69.16,71.93,69.91,70.45,77.14,75.03,68.8,80.01,79.24,79.45,81.84,79.76,76.43,78.86,80.43,86.45,84.98,88.18,91.39,92.09,87.88,96.28,94.5,94.46,97.2,99.33,87.8,89.91,96.04,97.34,100.91,99.41,102.35,98.14,88.92,97.34,98.18,103.73,103.05,101.87,100.04,93.56,101.8,105.48,105.74,105.92,106.37,105,102.19,104.97,105.96
country/region,Norway,walking,100,101.67,106.64,112.36,125,151.14,97.13,100.05,105.47,111.33,111.55,128.31,149.82,93.42,93.52,100.93,102.08,105.39,125.36,146.09,98.38,98.95,101.5,105.74,114.21,134.48,147.11,84.24,104.17,110.3,112.89,117,135.62,151,87.75,106.78,108.68,112.33,104.2,129.65,142.7,95.05,99.84,104.47,106.49,107.21,127.08,134.15,84.6,97.44,99.59,103.92,117.17,126.12,133.68,80.99,93.36,89.19,89.43,70.85,61.01,53.76,36.73,50.86,51.59,53.44,55.24,58.9,62.58,51.25,50.51,49.21,52.63,56.75,57.49,60.4,54.9,59.73,60.81,59.26,56.5,65.04,62.01,54.89,74.38,74.17,64.54,67.45,67.97,44.77,56.79,55.46,59.34,72.18,70.56,76.11,79.97,80.64,83.64,90.22,86.79,84.53,74.38,78.86,72.67,64.22,72.91,81.09,74.95,72.16,83.82,78.55,84.29,86.28,91.72,89.41,91.25,95.56,71.22,,,89.94,91.63,93.48,85.28,90.65,81.35,95.74,99.14,93.35,102.03,95.19,80.8,102.34,101.76,106.54,110.01,118.97,122.4,90.59,102.02,113.01,110.45,106.29,109.84,112.97,89.52,111.14,116.13,123.26,131.37,146.1,147.03,108.69,130.15,129.6,137.97,139.98,150.77,141,99.95,133.06,141.37,147.58,150.49,162.12,153.86,101.34,137.91,142.26,158.32,154.36,156.28,169.34,114.34,154.81,161.1,170.48,173.07,173.57,182.76,136.6,171.05,170.28
country/region,Norway,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-5,2,3,6,-1,1,-3,-1,1,1,2,1,1,-4,-10,-2,-1,-3,0,-2,-7,-11,-4,-5,-6,-6,-34,-47,-71,-39,-44,-46,-44,-44,-49,-65,-41,-45,-45,-43,-42,-47,-65,-37,-36,-36,-37,-35,-40,-60,-16,-12,-11,-80,-81,-43,-63,-80,-26,-29,-28,-24,-31,-41,-17,-20,-22,-22,-25,-29,-43,-19,-18,-16,-5,-74,-16,-39,-11,-13,-13,-14,-14,-18,-42,-10,-9,-9,-5,-7,-15,-29,-14,-6,9,-61,-1,-16,-26,0,-2,-1,0,0,-16,-13,-54,7,1,-1,-5,-8,-24,2,3,3,6,8,-6,-4,14,13,13,16,10,-3,-6,20,15,12,14,5,-8,-5,19,18,17,16,6,0,-4,23,18,15,12,7,-2,12,,
country/region,Norway,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,-1,4,-2,-1,-1,9,1,1,2,3,3,-1,2,2,1,1,4,3,0,-2,2,2,9,51,5,-9,-39,-9,-15,-15,-11,-12,-10,-32,-14,-14,-13,-10,-9,-8,-32,-11,-7,-6,-4,-3,-3,-22,9,27,40,-80,-80,-2,-31,-80,7,-3,-2,3,3,,1,5,4,5,2,1,,-1,3,7,39,-78,17,,4,5,6,9,4,5,0,3,9,8,15,12,16,-22,-8,5,41,-70,15,2,9,10,8,11,16,18,2,49,-66,31,13,12,7,6,7,7,8,11,18,15,9,41,19,19,19,24,13,8,32,18,20,15,19,10,5,35,16,13,12,14,4,4,31,16,13,12,12,5,3,49,,
country/region,Norway,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,-34,13,15,49,-4,12,9,0,21,13,23,14,20,2,-30,4,6,9,26,18,29,-37,11,-4,10,-1,3,26,-50,22,10,18,24,31,80,-8,-1,-8,0,29,16,29,-5,37,23,18,-7,13,32,14,89,104,37,166,163,-2,12,70,3,44,53,68,99,88,106,135,130,93,56,95,48,20,48,56,51,119,95,48,51,66,74,70,64,84,2,39,27,52,43,35,21,19,61,92,127,227,92,74,27,106,74,82,98,142,210,172,314,119,97,60,42,47,11,72,104,111,153,175,207,136,181,181,173,187,190,169,51,122,209,205,215,224,241,37,112,99,141,135,96,156,26,130,158,195,213,170,174,97,,
country/region,Norway,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-5,-5,-5,-1,-9,-4,2,7,3,-1,1,0,1,2,-1,0,-2,1,3,2,1,-9,-2,-7,-9,-20,-39,-37,-54,-49,-53,-55,-56,-55,-42,-57,-58,-59,-58,-56,-57,-50,-57,-53,-52,-54,-58,-53,-46,-52,-46,-44,-52,-58,-58,-55,-52,-63,-52,-47,-48,-44,-30,-32,-37,-34,-36,-38,-42,-29,-37,-41,-38,-35,-34,-55,-25,-34,-35,-33,-32,-34,-33,-22,-44,-33,-34,-30,-31,-32,-30,-22,-30,-26,-17,-44,-36,-27,-29,-24,-27,-26,-24,-17,-4,-12,-31,-19,-22,-26,-27,-24,-34,-24,-22,-21,-18,-12,-1,-8,-13,-13,-13,-12,-9,-3,-21,-18,-12,-12,-13,-10,4,-20,-20,-22,-18,-21,-22,0,-24,-23,-23,-21,-21,-21,-1,-8,,
country/region,Norway,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-3,-12,-11,-12,-14,-15,-4,-2,-5,-4,-4,-5,-5,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-1,-3,-11,-36,-23,-27,-48,-51,-52,-52,-52,-33,-34,-52,-53,-52,-52,-50,-33,-34,-51,-51,-50,-50,-49,-31,-32,-58,-59,-64,-85,-85,-36,-34,-86,-47,-47,-46,-44,-21,-20,-43,-42,-42,-41,-41,-19,-19,-38,-37,-37,-38,-82,-16,-17,-36,-35,-34,-34,-32,-11,-15,-32,-29,-27,-27,-26,-10,-6,-27,-25,-25,-81,-49,-9,-8,-26,-23,-23,-23,-23,-3,-3,-80,-22,-21,-22,-21,-2,-4,-22,-21,-21,-22,-22,0,1,-23,-23,-23,-23,-24,-2,-3,-34,-33,-32,-33,-34,-7,-4,-38,-37,-38,-39,-38,-6,-10,-50,-50,-49,-50,-49,-8,-6,,
country/region,Norway,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,2,1,0,2,2,0,-2,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,2,3,5,14,8,11,18,19,20,20,21,9,12,20,20,20,20,21,10,11,18,18,19,20,19,9,11,17,16,18,25,26,9,10,27,17,17,17,16,6,6,13,12,12,13,13,5,4,13,11,12,9,24,4,2,11,11,11,11,10,3,5,11,10,10,8,9,4,1,9,7,3,19,11,3,0,6,7,7,6,2,-3,-3,9,3,5,6,6,2,3,6,4,4,3,0,-4,-6,2,2,2,1,-1,-4,-2,4,2,2,1,0,-6,-2,5,5,4,4,4,-3,1,7,6,5,5,4,-4,-3,,
