geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Spain,confirmed_cases,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,13,15,32,45,84,120,165,222,259,400,500,673,1073,1695,2277,2277,5232,6391,7798,9942,11748,13910,17963,20410,25374,28768,35136,39885,49515,57786,65719,73235,80110,87956,95923,104118,112065,119199,126168,131646,136675,141942,148220,153222,158273,163027,166831,170099,172541,177644,184948,190839,191726,198674,200210,204178,208389,213024,202990,205905,207634,209465,210773,212917,213435,215216,216582,217466,218011,219329,220325,221447,222857,223578,224350,227436,228030,228691,229540,230183,230698,230698,231606,232037,232555,233037,234824,235290,235772,235400,236259,236259,237906,238564,239228,239479,239638,239932,240326,240660,240978,241310,241550,241717,241966,242280,242707,243209,243605,243928,244109,244328,244683,245268,245575,245938,246272,246504,246752,247086,247486,247905,248469,248770,248970,249271,249659,250103,250545,250545,250545,251789,252130,252513,253056,253908,253908,253908,255953,256619,257494,258855,260255,260255,260255,264836,,,
country/region,Spain,driving,100,101.06,103.08,107.43,124.86,123.89,101.5,101.95,102.93,106.88,112.59,127.44,127.66,111.82,105.04,106.33,107.78,112.33,132.37,135.93,120.04,107.89,109.43,110.11,114.99,136.32,139.46,119.97,109.85,111.59,114.33,122.29,150.55,151.96,130.41,114.74,118.75,121.59,126.22,150.25,150.06,131.06,122.17,118.88,119.43,131.03,149.81,145.53,124.66,111.16,110.44,113.99,120.11,140.06,142.84,118.78,102.18,98.95,94.52,80.37,71.42,40.29,23.67,22.6,20.05,18.95,16.94,17.59,12.09,10.93,16.88,16.58,16.26,16.55,16.61,11.9,11.5,15.04,15.06,15.23,15.37,15.54,11.85,11.31,16.55,17.53,17.96,14.04,12.48,13.55,12.69,18.16,20.75,20.82,21.06,20.86,15.25,14.62,21.45,21.85,23.46,25.06,24.36,20.08,20.09,26.01,26.92,27.82,31.67,25.78,30.54,30.64,34.78,35.83,36.04,35.82,35.56,26.86,26.31,,,41.33,39.63,39.38,33.37,33.21,47.87,49.58,50.01,50.92,53.76,46.09,43.45,60.9,62.9,64.21,65.18,70.9,65.85,55.29,66.13,68.97,70.33,69.45,79.05,74.5,60.41,71.96,75.66,79.24,78.89,86.45,86.07,76.06,81.11,83.81,86.62,88.76,98.53,101.01,96.71,102.06,109.85,105.17,112.49,126.95,120.87,119.21,114.34,117.51,123.07,125.42,141.53,138.86,136.64,133.28,134.78,137.65,142.48,163.09,152.21,151.19,145.68,147.74
country/region,Spain,transit,100,98.32,101.88,106.29,120.34,112.86,94.58,103.87,102,106.9,113.27,122.48,117.48,100.02,103.94,106.38,107.91,111.9,126.45,123.1,103.18,107.08,106.72,110.11,114.79,130.29,120.69,100.58,105.11,105.33,109.87,116.83,135.77,126.58,116.03,129.21,137.13,136.61,143.03,157.63,153.86,129.1,130.22,125.4,131.87,144.73,160.26,148.3,133.9,129.45,128.39,134.24,141.99,160.56,155.51,128.11,117.27,105.2,96.82,68.61,47.29,25.78,16.11,12.85,10.69,10.04,9.26,9.06,7.76,8.05,8.69,8.69,8.23,8.29,8.01,7.16,7.79,8.15,8.36,7.89,8.17,7.33,7.04,7.58,8.47,8.72,8.75,8.11,7.61,7.73,8.25,9.76,9.41,9.57,9.44,9.32,8.3,9,10.26,9.54,10.26,10.37,10.1,9.84,11.18,11.52,11.89,12.7,13.33,13.56,14.31,15.4,17.81,18.08,18.29,17.49,17.8,15.51,16.23,,,18.83,17.6,16.95,16.16,18.26,22.16,22.5,22.06,22.38,22.56,20.24,23.64,31.97,32.77,33.45,33.56,35.48,34.16,31.78,37.16,39.07,39.93,39.72,42.74,41.26,38.14,44.85,46.34,48.85,48.8,50.79,48.36,46.22,52.8,53.77,56.25,56.54,58.99,55.26,55.9,67.17,66.9,66.24,69.95,68.34,61.46,62.57,74.61,77.27,79.12,77.4,74.82,67.92,71.11,81.18,83.06,85.23,84.99,86.1,76.24,75.77,89.53,90
country/region,Spain,walking,100,98.35,100.8,107.91,134.63,143.26,94.59,91.8,88.99,100.26,112.84,135.73,150.12,108.39,105.71,108.1,109.17,114.23,144.92,167.1,116.06,113.25,114.17,113.67,120.27,147.92,166.35,112.38,113.58,113.22,118.13,131.71,172.16,192.6,133.31,125.89,129.57,131.74,138.1,165.75,191.28,134.83,130.32,121.11,123.93,136.99,170.82,183.15,125.56,112.98,114.03,120.37,130.01,157.84,178.42,123.06,108.59,104.81,100.74,82.83,66.09,34.15,14.33,11.45,10.66,10.12,9.07,9.82,7.17,5.82,8.91,8.83,8.75,8.72,8.95,7.04,6.27,8.51,8.67,8.67,8.99,9.52,7.42,6.3,9.58,10.2,10.85,8.21,6.99,8.26,6.67,9.63,11.28,11.11,11.54,11.98,9.64,7.83,11.81,11.76,13.93,17.73,16.94,19.26,19.5,18.56,18.77,18.22,30.01,32,41.36,35.69,33.49,33.7,33.48,31.76,33.26,27.12,22.49,,,31.23,27.92,30.3,27.46,26.01,36.39,36.83,36.62,36.57,38.19,32.62,26.92,41.3,43.58,43.21,43.98,47.01,43.7,31.58,43.81,46.2,45.46,45.23,53.44,48.59,33.46,45.97,48.84,51.98,50.53,56.88,55.07,41.12,51.17,53.31,55.6,56.89,62.09,59.36,46.06,60.51,67.05,59.04,68.59,74.31,70.57,54.48,68.68,72.09,75.54,78.89,86.6,84.52,66.32,84.71,87.8,91.34,94.95,102.75,100.17,80.46,99.8,102.84
country/region,Spain,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,-2,0,1,1,2,7,5,-2,0,4,-1,-1,2,-3,-3,0,-1,-2,-1,4,-1,-3,-5,-13,-33,-69,-87,-80,-83,-84,-88,-87,-92,-94,-85,-87,-87,-87,-88,-92,-94,-89,-92,-92,-92,-89,-92,-94,-87,-89,-88,-93,-96,-92,-94,-90,-87,-88,-88,-89,-92,-95,-87,-87,-87,-87,-88,-92,-92,-85,-85,-84,-82,-94,-84,-83,-75,-76,-76,-76,-78,-84,-86,-66,-70,-69,-72,-72,-76,-75,-57,-58,-58,-58,-60,-66,-67,-44,-45,-45,-44,-47,-52,-57,-38,-38,-39,-41,-37,-43,-52,-29,-31,-28,-31,-31,-35,-39,-23,-26,-24,-24,-26,-32,-34,-17,-16,-30,-18,-22,-29,-31,-13,-13,-14,-13,-18,-25,-24,-10,-12,-13,-13,-19,-27,-27,,
country/region,Spain,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,3,1,0,1,1,2,2,10,3,-1,4,8,-7,4,6,1,3,4,2,2,1,7,4,18,17,27,33,-8,-49,-33,-39,-36,-58,-39,-53,-73,-46,-50,-51,-52,-49,-57,-76,-55,-55,-53,-52,-48,-56,-77,-51,-41,-31,-66,-90,-44,-74,-65,-41,-46,-46,-45,-54,-76,-56,-51,-47,-51,-46,-52,-66,-50,-45,-41,-30,-88,-31,-44,-35,-32,-32,-33,-34,-38,-57,-28,-29,-26,-30,-29,-31,-41,-23,-21,-20,-18,-19,-23,-33,-17,-16,-15,-12,-13,-16,-26,-16,-11,-10,-10,-10,-14,-25,-12,-14,-8,-13,-9,-13,-17,-10,-10,-7,-8,-8,-12,-11,-6,2,-29,-1,-4,-11,-9,-6,-4,-3,-1,-3,-10,2,-3,-4,-4,-3,-6,-12,-3,,
country/region,Spain,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,13,9,5,11,15,20,44,33,36,17,11,16,33,19,6,-7,-3,9,2,0,17,19,12,12,17,1,-22,-44,-76,-72,-73,-73,-77,-79,-87,-89,-77,-79,-78,-78,-80,-86,-89,-80,-82,-81,-81,-82,-86,-90,-79,-79,-77,-83,-88,-85,-89,-80,-75,-77,-76,-77,-85,-89,-75,-77,-75,-74,-76,-84,-77,-65,-64,-64,-63,-74,-43,-44,-26,-27,-25,-29,-37,-49,-63,-21,-35,-27,-46,-36,-39,-32,-1,-3,-5,-7,-14,-21,-25,8,9,10,11,2,2,-16,14,11,1,-11,8,4,-21,0,6,12,-3,-3,12,7,20,5,16,16,18,27,19,38,42,42,24,24,33,19,37,35,30,29,31,43,28,45,51,47,46,37,44,24,,
country/region,Spain,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,3,4,2,5,6,14,11,4,3,1,6,2,6,5,-3,1,2,0,0,4,8,0,-1,-9,-16,-32,-52,-71,-71,-74,-76,-80,-80,-84,-87,-81,-81,-82,-82,-83,-86,-88,-84,-84,-84,-84,-84,-86,-89,-83,-83,-82,-88,-92,-84,-89,-85,-79,-81,-80,-81,-84,-89,-80,-80,-80,-80,-79,-83,-82,-76,-75,-75,-74,-86,-63,-64,-62,-61,-61,-63,-64,-64,-72,-57,-60,-58,-64,-64,-59,-58,-51,-51,-52,-53,-53,-50,-55,-44,-44,-45,-44,-46,-37,-49,-42,-40,-42,-44,-40,-35,-49,-40,-40,-38,-42,-40,-32,-39,-36,-37,-35,-36,-36,-30,-35,-31,-28,-40,-32,-32,-29,-34,-30,-29,-29,-29,-29,-26,-30,-27,-26,-27,-27,-29,-27,-31,,
country/region,Spain,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,3,3,3,3,2,2,1,-7,-6,0,1,-11,-1,1,-3,3,3,2,-1,1,1,3,2,-2,-5,-17,-31,-48,-52,-59,-60,-71,-66,-63,-65,-65,-67,-67,-68,-68,-64,-64,-74,-76,-75,-75,-74,-65,-68,-74,-74,-74,-84,-90,-63,-67,-77,-67,-68,-67,-67,-61,-65,-66,-66,-65,-67,-65,-59,-62,-63,-64,-63,-63,-86,-53,-52,-58,-58,-58,-58,-57,-47,-51,-52,-53,-53,-54,-55,-40,-38,-48,-48,-48,-48,-46,-29,-29,-44,-43,-42,-42,-41,-17,-16,-42,-39,-39,-39,-37,-13,-14,-37,-38,-36,-39,-36,-7,-3,-34,-34,-34,-34,-32,-4,0,-35,-34,-47,-33,-32,-6,6,-32,-30,-31,-31,-30,-3,5,-33,-33,-31,-31,-30,-2,6,,
country/region,Spain,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2,-1,0,-1,-1,-2,-2,-3,0,1,0,-2,0,-1,-2,1,0,0,0,0,-1,-2,-1,0,1,3,8,14,17,23,25,26,31,32,26,22,28,29,30,30,33,26,22,31,32,33,33,36,26,23,31,31,30,36,42,26,23,32,29,30,30,33,25,22,28,29,29,30,32,25,21,27,26,28,27,40,21,18,23,23,24,24,27,21,19,20,21,21,22,25,17,14,17,18,18,19,20,13,11,15,15,15,15,16,8,7,14,13,14,14,13,7,8,12,12,11,13,12,5,4,10,11,10,10,9,2,0,7,5,10,7,6,0,-2,6,6,6,6,4,-1,-3,5,5,5,5,4,-1,-3,,
