geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Sweden,confirmed_cases,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,12,14,15,21,35,94,101,161,203,248,355,500,599,814,961,1022,1103,1190,1279,1439,1639,1763,1934,2046,2286,2526,2840,3069,3447,3700,4028,4435,4947,5568,6131,6443,6830,7206,7693,8419,9141,9685,10151,10483,10948,11445,11927,12540,13216,13822,14385,14777,15322,16004,16755,17567,18177,18640,18926,19621,20302,21092,21520,22082,22317,22721,23216,23918,24623,25265,25921,26322,26670,27272,27909,28582,29207,29677,30143,30377,30799,31523,32172,32809,33188,33459,33843,34440,35088,35727,36476,37113,37542,37814,38589,40803,41883,42939,43887,44730,45133,45924,46814,48288,49684,50931,51614,52383,53323,54562,56043,58076,58591,58848,58932,60837,62324,63890,65137,65137,65137,67667,68451,69692,70639,71419,71419,71419,73061,73344,73858,74333,74898,74898,74898,75826,76001,76492,76877,77281,77281,77281,78048,,,
country/region,Sweden,driving,100,100.72,103.7,107.45,111.72,119.02,118.63,103.59,105.71,108.07,108.98,120.11,129.88,120.86,105.32,106.1,108.5,110.73,119.31,128.96,124.8,105.05,106.17,110.49,111.58,121.04,131.85,127.06,106.17,109.44,112.45,115.86,127.85,139.42,131.24,108.78,110.86,116.62,119.94,127.9,140.44,135.95,109.91,113.16,114.81,119.45,124.7,134.96,131.01,106.66,107.93,110.3,113.25,120.88,128.48,124.21,103.79,103.06,101.18,92.71,94.36,95.97,92.1,79.3,77.96,78.77,83.49,84.37,89.08,87.35,76.7,78.65,84.11,87.32,90.68,91.84,88.57,80.65,83.41,84.88,84.57,87.5,86.9,90.01,95.39,96.31,102.94,104.48,90.58,79.24,84.58,94.74,91.83,93.95,94.94,100.77,99.89,99.7,94.34,98.03,101.1,101.83,105.29,105.8,103.91,96.6,98.55,102.37,109.08,96.52,107.87,111.54,101,101.1,104.04,107.5,116.2,117.98,108.7,,,108.47,111.99,117.13,116.38,115.54,111.03,115.82,133.81,138.02,136.9,122.11,129.53,122.38,125.74,126.5,130.73,142.64,142.35,140.01,136.11,134.7,136.24,141.62,148.82,138.1,149.17,139.93,144.65,150.15,153.37,163.4,159.51,167.98,157.17,154.91,165.49,183.17,135.14,133.72,181.7,170.22,176.62,184.24,190.92,200.08,193.12,188.3,179.76,180.49,189.91,192.26,194.3,186.7,193.05,201.57,205.01,211.16,216.27,220.73,219,230.32,231.54,230.09
country/region,Sweden,transit,100,98.91,100.67,102.31,102.76,110.37,111.8,107.03,104.25,106.43,104.09,113.28,121.42,112.38,107.42,107.58,104.87,103.88,109.59,115.41,114.12,108.11,108.69,110.05,109.82,120.22,121.26,112.38,108.16,108.44,107.11,106.42,112.57,118.27,112.72,109.38,111.73,111.12,108.83,112.67,114.66,109.64,103.29,103.16,104.21,104.68,106.51,110.13,102.42,101.12,99.71,98.62,101,108.83,112.09,102.58,97.69,93.21,86.39,76.67,74.84,71.74,68.12,61.39,56.91,55.25,55.6,56.92,59.23,55.55,53.38,53.34,53.46,53.25,54.25,55.07,57.56,53.14,53.02,54.34,51.15,51.85,53.24,55.66,59.93,60.7,58.55,59.83,55.36,48.85,53.02,58.53,60.46,60.02,58.48,59.88,62,63.09,61.4,61.01,62.24,61.12,60.62,65.35,63.54,62.87,60.98,61.58,63.87,62.07,63.88,69.58,64.46,64.57,65.79,67.5,70.9,72.64,68.59,,,64.84,66.52,66.42,69.57,68.54,69.06,66.63,74.22,76.41,75.89,67.5,71.86,74.11,75.39,74.08,74.57,80.55,81.66,79.53,85.71,84.16,82.2,81.96,83.97,81.02,87.27,87.74,89.51,92.04,88.7,95.91,95.47,99.93,97.39,91.49,91.37,89.97,79.4,73.64,89.18,96.57,100.47,105.64,103.1,106.85,99.79,98.92,97.62,93.66,97.95,94.57,93.47,88.19,89.88,92.55,94.87,94.48,101.63,97.6,96,96.25,103.4,100.27
country/region,Sweden,walking,100,100.6,109.04,107.33,121.86,123.88,104.39,111.64,115.29,115.5,110.32,134.48,146.44,97.47,105.08,107.55,112.9,112.2,129.59,139.5,102.43,107.74,108.88,116.1,114.32,126.58,132.69,86.77,100.79,109.4,109.93,113.56,138.59,133.07,85.68,103.01,109.35,116.71,110.84,129.4,117.79,93.14,102.01,103.6,106.05,107.1,123.34,125.17,87.04,102.28,103.52,103.18,107.31,130.14,135.61,91.56,101.54,100.22,97.13,77.25,85.86,89.72,60.48,67.77,63.3,61.53,70.13,69.54,74.99,64.46,62.42,65.43,70.06,72.9,79.15,76.63,64.29,61.77,68.61,70.51,62.42,68.73,74.44,70.93,83.89,77.63,82.36,78.78,70.35,61.91,56.47,62.45,71.63,79.32,77.12,82.08,84.62,78.39,81.22,88.22,89.06,88.55,85.18,85.7,78.72,72.55,73.6,76.49,87.73,65.43,84.16,78.66,76.43,83.4,86.79,88.61,95.95,98.35,72.97,,,79.78,82.02,89.15,87.21,75.88,84.71,86.74,94.37,96.3,104.92,79.46,80.85,94.37,103.14,95.59,100.99,113.73,116.38,98.47,113.72,109.05,111.97,108.05,112.1,94.77,103.11,113.5,119.42,126.07,122.37,129.9,123.57,114.12,122.1,112.72,116.52,107.23,99.23,81.35,92,119.77,132.48,132.36,134.5,140.33,130.56,106.04,123.72,120.07,130.8,130.67,135.39,117.53,95.56,126.08,133.56,133.41,138.19,139,136.9,114.46,141.63,139.58
country/region,Sweden,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-10,-4,0,3,1,5,0,2,2,8,5,7,7,8,-1,1,0,-2,0,2,5,1,-2,-4,-4,-12,-13,-17,-25,-19,-24,-26,-22,-24,-26,-26,-25,-25,-19,-18,-19,-24,-24,-22,-22,-22,-27,-25,-26,-25,-12,-13,-8,-3,-45,-41,-34,-38,-19,-19,-19,-18,-25,-22,-12,-13,-13,-13,-13,-16,-13,-13,-16,-13,-9,-46,-20,-18,-14,-14,-14,-13,-14,-16,-20,-13,-18,-18,-16,-17,-19,-20,-11,-10,5,-21,-10,-19,-15,0,-1,-2,0,-2,-6,2,1,-2,-1,-2,-7,-19,-5,2,3,4,5,-3,-9,-3,6,1,6,15,-57,-46,-4,7,4,1,6,-1,-8,0,12,7,8,7,-1,-9,-8,10,9,6,6,-5,-8,-1,,
country/region,Sweden,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-7,-3,0,1,1,0,-1,0,0,9,2,4,2,4,-2,2,2,-1,3,1,4,-2,0,1,4,11,8,9,-2,3,0,-3,-2,-5,-5,-9,-8,-7,1,-2,-5,-4,-10,-10,-7,-5,-8,-7,-5,-9,-2,2,9,18,-20,-15,-17,-20,-6,-5,-3,-3,-5,-10,-4,-4,-4,-2,-1,-1,-5,-5,-4,2,14,-24,-5,-8,-4,-3,-2,0,-1,-1,-6,-2,-3,-3,-1,-4,-3,-7,-3,1,17,0,-4,-3,-7,5,3,5,6,2,6,11,5,4,4,5,0,-2,0,4,5,6,9,0,3,5,8,8,18,39,-26,-21,1,9,6,7,13,2,2,4,8,6,6,7,-3,-2,-3,8,7,6,6,-4,-2,0,,
country/region,Sweden,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-30,-3,13,26,-1,22,-10,23,24,8,4,10,16,8,-7,10,5,-2,8,24,36,0,8,3,10,-17,-4,59,-15,11,2,1,40,11,66,57,8,22,25,48,43,52,43,8,27,27,-6,6,57,69,92,65,77,81,129,84,54,43,32,63,50,56,83,104,78,129,124,105,50,73,82,17,23,35,44,35,81,94,31,72,85,86,84,146,34,45,33,48,49,47,56,48,61,75,137,268,184,61,63,95,163,86,110,144,186,202,191,182,150,116,75,53,119,125,177,181,166,174,232,246,193,140,154,237,285,227,169,154,271,315,305,302,321,184,180,122,164,175,164,96,78,132,219,209,261,189,200,204,,
country/region,Sweden,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-11,-6,-4,-3,-6,-2,-2,0,-3,-3,-5,-2,-1,5,-6,-3,-4,-5,-4,-1,6,-6,-5,-6,-7,-16,-19,-13,-30,-25,-32,-37,-35,-37,-28,-33,-38,-37,-36,-35,-35,-29,-36,-39,-37,-38,-43,-41,-32,-37,-35,-37,-36,-37,-54,-36,-43,-61,-38,-35,-37,-36,-26,-31,-32,-29,-30,-31,-34,-24,-31,-36,-36,-34,-35,-60,-27,-30,-36,-33,-31,-31,-31,-17,-39,-34,-34,-34,-34,-33,-26,-35,-32,-30,-23,-42,-35,-30,-30,-28,-24,-28,-26,-23,-7,-12,-22,-23,-23,-25,-28,-26,-21,-24,-21,-21,-23,-23,-4,-11,-23,-26,-23,-19,-42,-22,-19,-27,-21,-21,-20,-20,1,-15,-26,-30,-27,-26,-26,-17,-28,-33,-29,-30,-27,-30,-8,-14,,
country/region,Sweden,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-5,-6,-5,-5,-6,-7,-3,-1,-4,-4,-4,-5,-6,0,-2,-2,-2,-2,-2,-2,0,-1,0,0,-1,-4,-10,-6,-10,-17,-21,-27,-28,-28,-13,-15,-27,-28,-28,-28,-29,-15,-18,-29,-29,-29,-30,-31,-16,-18,-36,-36,-37,-44,-80,-24,-24,-82,-31,-31,-31,-32,-12,-13,-27,-26,-25,-26,-27,-10,-11,-27,-26,-25,-33,-79,-12,-10,-26,-24,-24,-24,-25,-5,-11,-25,-24,-23,-24,-26,-7,-6,-24,-23,-25,-76,-57,-7,-5,-25,-21,-21,-21,-23,6,9,-23,-21,-21,-22,-26,-6,3,-23,-22,-23,-25,-29,8,8,-30,-30,-30,-36,-79,-17,2,-38,-36,-35,-36,-38,1,5,-40,-40,-40,-40,-41,-4,-4,-53,-52,-52,-52,-53,-1,0,,
country/region,Sweden,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2,4,6,3,5,8,9,11,11,12,6,5,11,11,11,11,11,6,5,11,11,11,13,13,6,6,11,11,10,12,21,6,6,23,11,11,11,11,5,4,9,8,8,9,10,5,4,10,8,9,9,23,5,3,9,9,9,8,8,2,5,9,9,9,8,9,4,5,8,8,5,17,12,4,2,7,6,7,7,5,0,-2,5,5,6,6,7,4,1,6,5,5,5,5,-1,-3,5,6,5,3,10,0,-3,7,5,4,4,3,-4,-2,7,8,7,7,7,2,2,11,9,9,8,9,0,-1,,
