geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,United States,confirmed_cases,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,24,30,53,73,104,174,222,337,451,519,711,1109,1561,2157,2870,2968,4360,6141,8917,14157,19479,25825,33761,43850,54112,66055,84091,102276,122069,141205,162707,188724,214205,244610,276547,309699,337573,367215,397992,429686,464442,497943,527969,556522,581813,608878,637974,669272,701996,730337,756375,783716,809318,837422,871617,907908,940829,968518,990983,1015518,1043038,1072667,1106829,1136024,1161611,1184086,1208271,1233527,1261409,1288587,1314320,1334084,1352962,1375152,1396110,1423727,1449027,1474128,1493132,1514901,1535350,1559157,1584512,1608653,1630476,1651289,1670280,1689163,1707445,1730260,1754764,1779214,1799124,1816479,1837374,1857332,1878683,1903907,1926639,1944370,1961785,1979912,2000706,2023656,2048986,2074542,2094366,2114026,2137731,2163290,2191099,2222579,2255328,2281767,2312303,2347491,2382426,2422299,2467554,2510259,2549864,2590668,2636414,2687588,2742049,2795361,2841241,2891124,2936077,2996098,3054699,3117946,3185737,3245925,3304942,3364157,3431574,3498902,3576157,3647715,3711413,3773260,3834677,,,
country/region,United States,driving,100,102.97,105.19,108.48,125.51,115.04,90.91,102.57,103.07,103.01,107.9,124.7,120.92,87.32,97.97,101.54,102.2,107.61,126.08,122.32,85.25,98.86,101.99,101.77,107.72,124.07,122.87,91.58,102.93,106.75,109.02,118.36,145.4,132.51,102.27,110.78,109.46,110.85,114.86,135.85,134.35,99.48,106.23,110.27,112.36,118.85,139.8,138.41,101.04,107.73,112.98,113.05,119.74,139.98,137.37,101.64,109.65,111.34,110.97,108.49,117.01,102.87,76.16,84.09,77.04,72.84,70.21,74.33,62.31,46.45,55.73,55.52,55.24,56.81,62.22,52.56,42.96,53.53,53.98,55.49,55.64,60.61,52.22,42.19,53.73,55.27,56.21,56.9,63.87,57.51,37.42,54.98,59.3,63.03,64.11,70.71,65.07,52.71,65.15,65,66.49,68,76.68,72.62,57.06,68.77,71.33,71.86,74.98,88.5,84.34,68.08,78.01,80.55,81.47,85.85,95.56,93.62,70.41,,,91.01,94.41,109.51,104.87,83.6,94.5,99.48,102.44,107.95,125.32,115.84,95.79,92.54,106.47,108.78,111.45,127.18,123.59,97.96,107.63,109.14,111.61,117.88,133.68,131.07,105.4,115.92,118.49,121.12,126.3,146.81,142.73,114.39,122.16,124.89,127.18,132.57,153.57,146.2,108.83,125.21,128.97,132.31,138.16,155.9,149.44,119.6,128.91,131.93,136.75,149.09,149.45,118.79,116.58,129.9,130.49,132.84,138.6,154.14,149.35,121.09,130.17,132.39
country/region,United States,transit,100,97.77,98.84,99.04,108.03,97.41,85.4,92.39,100.27,101.06,103.29,113.06,101.88,81.35,97.56,97.08,97.49,100.72,110.99,103.42,80.2,96.48,97.63,98.26,101.15,110.91,107.27,84.2,98.3,100.64,102.08,106.67,119.06,107.77,91.63,101.73,104.64,105.16,106.16,117.14,110.65,87.27,99.21,100.12,100.52,102.98,116.02,109.92,85.31,98.06,100.26,101.5,103.53,111.5,107.32,84.23,97.1,92.48,89.97,79.08,76.78,64.59,49.93,50.79,43.58,39.63,36.76,35.8,29.31,24.84,28.17,27.91,26.94,27.09,28.07,23.83,22.39,26.51,25.47,25.24,24.67,25.04,22.42,20.92,24.71,24.65,24.51,23.69,24.31,22.65,19.06,23.67,24.44,24.23,24.06,24.89,22.89,22.11,26.13,25.1,25.09,25.08,25.99,24.85,22.47,26.64,27.32,26.84,26.66,29.24,28.11,26.35,30,29.8,29.47,30.12,30.07,28.58,24.77,,,30.69,30.83,33.06,31.28,28.39,32.65,32.74,33.2,33.67,36.12,33.43,31.38,33.08,37.14,36.98,36.37,38.46,37.81,32.76,36.92,37.39,37.37,38.99,40.66,41.16,37.39,43.32,43.35,43.35,42.92,47.34,44.66,40.12,45.4,45.91,45.69,46.18,51.04,46.18,39.74,48.89,49.39,49.41,49.83,52.8,48.26,43.78,50.28,49.75,50.4,53.41,50.86,45.15,43.61,50.51,51.07,51.13,52.96,50.75,50.14,46.71,51.72,52.23
country/region,United States,walking,100,99.59,101.87,100.6,121.36,132.38,100.1,94.79,94.84,97.04,100.83,126.67,139.61,89.9,91.94,93.97,94.44,99.96,125.02,140.8,88.42,92.42,93.82,94.52,97.6,122.23,142.94,92.83,91.94,96.13,99.84,108.3,147.82,158.55,116.26,107.52,100.23,103.21,106.25,136.41,162.45,106.11,99.34,103.03,101.84,107.83,136.34,155.82,102.29,99.2,104.76,104.61,111.67,133.94,155.7,107.77,105.33,103.06,102.34,96.43,105.88,105.24,69.72,69.43,64.05,59.26,56.3,59.59,52.26,39.71,44.31,46.34,46.04,48.25,51.95,44.42,38.29,45.36,45.06,47.41,47.1,50.2,45.77,38.89,46.94,48.7,48.77,46.28,51.97,50.69,34.2,44.06,48.68,50.37,50.64,54.85,52.49,45.86,53.87,51.9,52.86,52.92,58.89,60,45.95,54.93,57.61,56.67,57.81,69.58,71.29,57.64,63.27,64.79,64.32,68.9,73.57,75.32,55.76,,,76.46,78.54,92.87,92.48,72.02,79.45,84.13,86.94,90.55,104.37,101.57,85.35,78.61,91.83,93.44,94.3,109.16,113.18,86.96,94.6,96.94,96.33,100.52,113.19,119.76,91.85,99.64,101.36,102.98,106.25,127.74,131.19,98.53,104.69,108.03,109.04,112.23,135.01,131.23,91.1,107.69,113.44,116.42,121.69,138.08,137.26,103.48,112.78,115.35,118.56,127.19,136.28,118.78,98.93,112.87,115.63,117.17,122.3,134.44,137.7,106.76,115.78,118.24
country/region,United States,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,0,2,1,2,7,7,2,4,7,8,8,12,13,7,11,8,8,5,10,10,6,6,8,6,2,-6,-9,-8,-18,-24,-28,-32,-40,-44,-38,-39,-40,-40,-42,-48,-47,-40,-40,-37,-40,-42,-48,-49,-42,-42,-42,-43,-43,-45,-63,-45,-40,-36,-39,-42,-45,-45,-39,-38,-38,-40,-40,-41,-42,-35,-34,-34,-34,-32,-34,-34,-29,-28,-29,-29,-32,-30,-30,-31,-28,-26,-28,-29,-30,-30,-26,-24,-22,-22,-24,-27,-25,-28,-22,-21,-21,-23,-24,-23,-18,-18,-16,-18,-20,-21,-19,-16,-16,-14,-15,-17,-18,-16,-14,-13,-12,-13,-15,-17,-17,-16,-13,-12,-13,-17,-19,-17,-13,-10,-7,-4,-10,-35,-22,-13,-13,-12,-13,-18,-19,-17,,
country/region,United States,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,-1,0,0,-2,3,3,1,1,2,3,3,7,9,6,10,6,7,3,8,7,6,7,10,23,26,18,12,21,14,8,7,5,-2,-13,-10,-12,-15,-14,-16,-19,-22,-18,-16,-11,-11,-12,-15,-20,-16,-14,-15,-13,-13,-7,-39,-22,-16,-13,-13,-17,-15,-19,-16,-14,-14,-14,-16,-11,-16,-13,-10,-11,-9,-7,-4,-8,-7,-3,-6,-3,-5,7,1,-11,-6,-5,-5,-7,-3,-8,-8,-4,-3,-1,-2,0,-2,-8,-3,-4,-2,-5,-1,-4,-2,0,1,1,-2,1,-2,-2,-1,-1,0,-1,2,-2,-2,1,0,1,0,6,2,-5,0,-1,1,-3,-1,-4,-3,1,4,11,11,-2,-10,-2,0,-1,1,-4,0,-3,,
country/region,United States,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,28,6,8,4,4,23,23,9,9,5,12,10,21,18,10,20,17,21,12,29,40,31,18,26,19,4,3,5,-1,8,6,2,-2,-3,-12,-23,-10,-7,3,-7,-25,-19,-15,-16,-7,-9,-21,-24,-20,-10,-2,-6,-21,-21,-16,-36,-31,-15,-16,-14,-22,-20,-10,-7,-8,-9,-14,-14,2,-11,-4,6,-7,-7,7,28,22,5,5,6,21,-2,9,6,-3,10,18,17,21,32,17,2,15,23,31,31,43,57,60,28,32,26,29,48,47,28,35,33,40,34,51,53,39,36,40,49,57,74,68,45,57,58,59,60,69,59,43,54,57,64,57,62,55,46,50,54,77,86,81,53,48,51,52,59,43,62,64,,
country/region,United States,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,-9,1,1,0,1,5,5,1,2,3,4,5,7,7,2,3,2,2,2,7,5,-1,-3,-2,-6,-10,-10,-13,-22,-26,-30,-36,-37,-36,-44,-47,-46,-47,-48,-49,-49,-51,-50,-49,-48,-51,-51,-50,-54,-52,-51,-51,-54,-54,-49,-56,-55,-50,-49,-50,-51,-47,-50,-49,-49,-48,-50,-50,-42,-48,-48,-45,-46,-47,-43,-35,-40,-44,-43,-43,-42,-43,-35,-37,-44,-41,-40,-42,-40,-34,-39,-43,-40,-38,-37,-36,-30,-33,-48,-37,-37,-37,-36,-26,-30,-36,-36,-35,-35,-34,-25,-28,-34,-34,-33,-33,-30,-20,-23,-32,-31,-31,-31,-28,-20,-23,-32,-30,-30,-29,-28,-20,-22,-31,-30,-27,-24,-30,-30,-23,-30,-29,-30,-30,-31,-21,-23,,
country/region,United States,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,-24,0,1,0,0,4,2,3,2,2,2,2,4,3,3,2,3,3,2,5,2,0,-2,-1,-3,-7,-1,-7,-20,-27,-31,-33,-36,-24,-31,-41,-45,-46,-47,-46,-34,-38,-48,-49,-49,-50,-50,-37,-40,-50,-51,-51,-52,-56,-38,-45,-51,-50,-49,-49,-48,-33,-37,-48,-49,-49,-49,-48,-32,-36,-46,-48,-47,-47,-45,-29,-31,-44,-45,-44,-44,-43,-26,-27,-42,-43,-42,-43,-42,-24,-25,-40,-41,-41,-41,-41,-21,-24,-72,-39,-38,-38,-37,-12,-16,-37,-37,-37,-37,-36,-13,-16,-36,-36,-36,-36,-35,-10,-13,-35,-36,-36,-36,-36,-11,-13,-38,-38,-36,-36,-36,-12,-12,-36,-37,-37,-39,-57,-28,-19,-41,-39,-37,-38,-37,-12,-15,,
country/region,United States,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,5,1,0,1,0,-1,-1,0,0,-1,0,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,3,3,8,11,13,15,16,12,11,17,19,19,20,21,15,12,19,20,20,21,22,15,13,20,21,21,22,24,14,13,21,20,20,21,22,14,11,19,20,20,21,21,12,11,18,12,19,19,18,10,8,16,17,17,17,18,9,7,16,16,16,17,16,9,8,15,15,15,15,15,7,5,20,14,14,14,14,6,5,12,13,13,13,13,5,4,11,12,12,12,11,4,3,11,11,11,11,9,3,2,11,11,11,11,11,4,3,10,11,10,10,14,5,3,11,11,11,11,11,4,3,,
