"","Argentina","Australia","Austria","Belgium","Brazil","Bulgaria","Cambodia","Canada","Chile","Colombia","Croatia","Czech Republic","Denmark","Egypt","Estonia","Finland","France","Germany","Greece","Hong Kong","Hungary","India","Indonesia","Ireland","Israel","Italy","Japan","Latvia","Lithuania","Luxembourg","Malaysia","Mexico","Morocco","Netherlands","New Zealand","Norway","Philippines","Poland","Portugal","Republic of Korea","Romania","Russia","Saudi Arabia","Serbia","Singapore","Slovakia","Slovenia","South Africa","Spain","Sweden","Switzerland","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Vietnam"
"Argentina",0,0.787820006708516,0.64364463379033,0.522766845814226,0.343962307279607,0.685629048454747,-3.00067818048307,0.681508258043092,0.503333177297839,0.625669291398121,0.553376394971676,0.749517776663159,0.144136181703446,0.298488804207946,0.368799404122813,0.565324887574178,0.747391764759815,0.751333981567827,0.535728548612426,-2.9953248019807,0.826550919906958,0.780769171095565,-0.777066443816344,0.55035086152246,0.749252834958766,0.829050281405952,-1.17191689966272,0.285115945728165,0.838755029595496,0.809977463929516,0.671858211921479,0.00598824374896684,0.572569746973098,0.426059111832958,0.8067355102898,0.780097987474665,0.673148002218501,0.701507993605482,0.760521418661849,-2.64624836096458,0.637693231596977,0.104737086550498,0.55703331476163,0.670964660764207,0.177850496108933,0.751118385456503,0.833673063815488,0.784773431989979,0.749179656679953,-0.0683649205575503,0.639575080876226,-3.5132440382668,-1.41028601698789,0.684300698644664,0.493941606957801,0.537154554295556,0.671289254619741,-0.331274539290195,0.764862118524244,-0.977625473236592
"Australia",0.787820006708516,0,0.772570674830772,0.737133699691298,0.508410336898398,0.605967249021353,-2.27429598012864,0.451571581240818,0.820051880984998,0.64056935786473,0.775362471147134,0.816959382830218,0.513534644659654,0.717258899628627,0.645082415268824,0.80722143008484,0.471948349334585,0.627819927862981,0.767533067133708,-2.15740070940595,0.857340353591859,0.83562356854419,-0.0523614679084666,0.593476269051441,0.461502713686083,0.180825870797992,-0.513261968267012,0.72598297722243,0.651801875628018,0.481323835079539,0.638554862591792,0.632753689759946,0.786242000453832,0.82352111226528,0.466143141314629,0.850622420906298,0.827689687179021,0.518346104890761,0.477162850641716,-2.08423091257598,0.815952833014929,0.728316575393534,0.767850792779749,0.375213905494662,0.630338184544145,0.629900430903826,0.668040902722742,0.776178979480506,0.326768218407409,0.29357041175681,0.754761395308503,-2.80901433187008,-0.698885744932724,0.519884485619083,0.740189036655044,0.635157917613758,0.660240283903637,0.402636404650622,0.815650482035848,-0.161743527219376
"Austria",0.64364463379033,0.772570674830772,0,0.359581140185515,0.210543444896343,0.728651188798177,-3.11821925334479,0.749961911717606,0.389915698620908,0.58825106430998,0.303311938093058,0.292085827048239,0.065985655417543,0.15250691182388,0.417870754122457,0.643021322311546,0.514362657171508,0.675256733556575,0.30327103408115,-3.05589519362179,0.329985733762336,0.795813294530614,-0.895273871351142,0.667022888729418,0.462426284728581,0.684686514574651,-1.24570197425022,0.372042214299087,0.500545358917607,0.410127412942454,0.739813981244305,-0.112786693106586,0.65391853400991,0.356635443754601,0.513406996970993,0.615396599828344,0.603469891596839,0.336958480562518,0.664833726143152,-2.71614358975586,0.357018848023645,-0.00807469636694773,0.802151934388472,0.349694018311987,0.247845704464242,0.335211021572635,0.3390617215456,0.778763841485159,0.555911138992226,-0.163853543367474,0.470723190748963,-3.58555884913963,-1.48824122938043,0.471714904696952,0.373653879066618,0.835345334691127,0.770933547084526,-0.430886375962419,0.789718657206407,-1.05019880842561
"Belgium",0.522766845814226,0.737133699691298,0.359581140185515,0,0.404167476092918,0.569168084862304,-2.88844619608948,0.521546707001246,0.317209032569636,0.516077759142044,0.28369716143978,0.426985661200199,0.295115935622734,0.389734241971751,0.550872138710121,0.748915978629719,0.593618303808961,0.716296152045761,0.370133388209844,-2.84231821280893,0.388429061716915,0.661775633573844,-0.671394792852253,0.47989352615746,0.561316446886289,0.779678684250112,-1.03351476321718,0.510590399022611,0.575716543932898,0.548738416759675,0.600462559541101,0.116532538275118,0.481304589691656,0.587576165055191,0.597951543892042,0.513509793103646,0.517145956976346,0.4991128713262,0.677080952036019,-2.50328678574173,0.399071051719609,0.215299881786005,0.600279309155051,0.497753002974741,0.371424569027545,0.484766886563171,0.541801799210991,0.78234774102839,0.673475583749683,0.0656317466362386,0.321746407617787,-3.37640515490937,-1.27185348993084,0.556321729691084,0.604234336308281,0.663865481708763,0.599501085092487,-0.212272750818962,0.608648095649185,-0.835334181675587
"Brazil",0.343962307279607,0.508410336898398,0.210543444896343,0.404167476092918,0,0.786154374282549,-1.67131066590721,0.693405659493257,0.391392922828168,0.0939303860381129,0.339004330753192,0.263274347485403,0.532888266753318,0.843814642145379,0.825288323714857,0.612230169023277,-0.122746617927909,0.68523754863737,0.230018653304656,-1.65149331979207,0.196482518140917,0.730074999811124,0.5481206029028,0.663314965999296,-0.0823052340019956,-0.42983656570213,0.0177160162981623,0.672755621343736,0.00452142235507826,-0.0754246010316458,0.42538962458539,0.748838066699694,0.613031739500585,0.788912406381377,-0.100918110657456,0.583628976865419,0.108211156289993,-0.0257895334614754,-0.0743419192595826,-1.30972557085556,0.164043244681408,0.720664582629302,0.706154607661234,-0.128025861557447,0.666240381296988,0.0687490043437354,0.0749019658737723,-0.0670051331980718,-0.233851823910684,0.654247736347992,0.449640296471444,-2.20419707344122,-0.0703538654772746,-0.0429128487366315,0.790265582859767,0.807164443357361,0.723626605628101,0.8220798484662,0.837849653776132,0.229313563463243
"Bulgaria",0.685629048454747,0.605967249021353,0.728651188798177,0.569168084862304,0.786154374282549,0,-2.40628332998041,0.520035929287431,0.590640833032325,0.797491413076358,0.6651968334711,0.724459356381803,0.691161963376714,0.733929759010495,0.568288969348976,0.457611151381135,0.617048608734732,0.592461516754521,0.697943605348281,-2.36294088482458,0.721460927266006,0.870735877467441,-0.187584943204223,0.573432230964616,0.635971782276402,0.310557654840251,-0.54878965480891,0.669647207581823,0.823067901470175,0.654521160991038,0.605248243260906,0.588196793962018,0.77244117019214,0.834392701018929,0.638128718874775,0.790374589035607,0.829425308843816,0.691815861883665,0.649462432751273,-2.02275472044811,0.799732379178847,0.698323702036542,0.726595931757671,0.493589567893772,0.734269192733353,0.801534589409474,0.847877006987608,0.760619170320004,0.494734645936659,0.503985863401309,0.660385168972082,-2.88781057413934,-0.784304967009764,0.688736982156879,0.858903982175058,0.506485590973907,0.716118744643549,0.272027610062908,0.786214525320891,-0.349374112274377
"Cambodia",-3.00067818048307,-2.27429598012864,-3.11821925334479,-2.88844619608948,-1.67131066590721,-2.40628332998041,0,-2.41084121265182,-2.94866973117119,-3.2344185346155,-2.98118117860887,-3.03360262972126,-1.47800554625309,-1.65420730166944,-1.95878198357763,-2.49124630914759,-3.46220547615036,-2.56057710904478,-3.1005559255452,-1.09354890205366,-2.99297224901198,-2.3316694797857,-0.554830493849848,-2.62001303406858,-3.41961515175832,-3.76554696146645,-1.60485594928202,-1.99189578339522,-3.20965765280534,-3.40378614596563,-2.65554537453615,-1.3345976185581,-2.69821957296465,-1.76948773599649,-3.41729668454033,-2.55555307831557,-2.98155340273865,-3.3613383333348,-3.40804574389332,-0.351540887965162,-3.02775354023811,-1.44302955130516,-2.62304029087235,-3.45538346583928,-2.26542973378995,-3.24799843014697,-3.1700677629726,-2.91388143866102,-3.56881186404317,-1.29140683455102,-2.67449721502937,-1.90900750634855,-0.0619313726260219,-3.38199014986717,-1.82400716557695,-2.52413799133674,-2.49241030753811,-1.04650927085456,-2.43738277433045,-0.550275896855181
"Canada",0.681508258043092,0.451571581240818,0.749961911717606,0.521546707001246,0.693405659493257,0.520035929287431,-2.41084121265182,0,0.580154150969891,0.800016225281563,0.59727821542157,0.752201548974961,0.689612259399394,0.804367638242931,0.759244945634732,0.803746137538017,0.652223240124408,0.735404465571744,0.708158840698967,-2.33391333147906,0.684882553885161,0.576600502087113,-0.188661306255761,0.38782665840537,0.649122533880881,0.343578921778004,-0.521460613135517,0.742340706653861,0.845126025661461,0.668372136224147,0.56224566729675,0.594152391354846,0.509142195009998,0.799664258048264,0.653777149752186,0.573028393119355,0.739253479306279,0.70587663566302,0.665288740009021,-1.9983443128702,0.690356750875921,0.59974626704904,0.458422700755101,0.576474404935315,0.663099582066383,0.811343567509873,0.856586314804105,0.849125197136321,0.512178925235235,0.476161248569038,0.547796497631174,-2.86449546954139,-0.764535432378581,0.706276601452404,0.729716110256544,0.459013911455961,0.402715191823761,0.292478199492927,0.497203662721776,-0.326592795756345
"Chile",0.503333177297839,0.820051880984998,0.389915698620908,0.317209032569636,0.391392922828168,0.590640833032325,-2.94866973117119,0.580154150969891,0,0.460729817669474,0.359061893801504,0.441819155896919,0.256381136776033,0.362188578022324,0.650721277025395,0.827052473323575,0.553869538162731,0.845177151837238,0.280589080347834,-2.84434544911166,0.44929968494575,0.699031778906813,-0.714105766873927,0.584951388111056,0.554759595746814,0.723332482227428,-1.04681186099817,0.572096477722184,0.64192520875014,0.553070609798642,0.514224641829635,0.0481999883082322,0.494043832146324,0.523117601742984,0.561297864893036,0.598019058662868,0.461403797090938,0.472345205096077,0.584795453231181,-2.51425149188169,0.41451396443741,0.188408893782421,0.561121077877276,0.485319590420353,0.49441644454079,0.486239617729378,0.582877845613687,0.744603680986045,0.639929961429097,0.0331849307035054,0.412025273634801,-3.37752680261496,-1.26888517037586,0.473242278356149,0.575575875829434,0.628785996099314,0.694077517462676,-0.231913333956962,0.640636814635428,-0.831211939446686
"Colombia",0.625669291398121,0.64056935786473,0.58825106430998,0.516077759142044,0.0939303860381129,0.797491413076358,-3.2344185346155,0.800016225281563,0.460729817669474,0,0.606586772440578,0.554908160335916,-0.0601542902806007,0.058438843084119,0.395893619345882,0.785656978831957,0.369752168858626,0.690125925665678,0.495283868846665,-3.21517660276796,0.580965059133638,0.779103074659384,-1.01543734948094,0.688751900218966,0.37987400268312,0.581795290683667,-1.40260926858484,0.39346736180623,0.496609116912464,0.395474804389974,0.680467995979586,-0.219882844692996,0.724276592257538,0.232470334113034,0.327414721419189,0.886069023118909,0.41650177982664,0.422060302093622,0.456267928425909,-2.87235986276506,0.60686425885823,-0.130629070498554,0.733952623476965,0.510033135815049,0.460621754199314,0.396327935149141,0.493831733766571,0.517645877711228,0.383062564355556,-0.284250219325486,0.673189153954638,-3.73811151277204,-1.6368121790273,0.298721424091681,0.258450609774303,0.846321290097019,0.825195260771299,-0.566144948022711,0.78331610447603,-1.20551266841446
