geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Australia,confirmed_cases,0,0,0,0,4,5,5,6,9,9,12,12,12,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,27,30,39,52,55,60,63,76,91,107,128,128,200,250,297,377,452,568,681,791,1071,1549,1682,2044,2364,2810,3143,3640,3984,4361,4559,4862,5116,5330,5550,5687,5797,5895,6010,6108,6215,6303,6315,6351,6415,6440,6462,6522,6568,6610,6623,6645,6652,6662,6677,6694,6714,6721,6744,6752,6766,6778,6799,6822,6847,6875,6894,6913,6918,6939,6948,6970,6980,6989,7019,7035,7044,7054,7068,7072,7081,7095,7099,7114,7114,7126,7139,7150,7165,7184,7192,7202,7221,7229,7240,7247,7252,7259,7265,7267,7274,7285,7289,7294,7320,7335,7347,7370,7391,7409,7411,7461,7474,7492,7521,7558,7595,7601,7686,7764,7834,7920,8001,8066,8260,8443,8583,8755,8886,9056,9374,9553,9797,9980,10251,10487,10810,11233,11441,11802,12069,12428,,,
country/region,Australia,driving,100,102.98,104.21,108.63,109.08,89,99.35,103.53,106.8,107.4,115.65,109.66,88.59,85.18,95.91,99.4,99.92,103.04,103.73,85.73,93.39,95.83,98.63,102.4,107.46,106.55,86.33,98.78,100.08,103.28,106.19,116.62,115.36,93.51,98.27,101.79,105.38,107.29,113.37,118.25,97.6,97.5,102.7,104.46,106.23,113.6,117.64,98.24,97.35,99.14,101.63,106.02,113.97,113.49,93.23,91.21,96.44,99.94,100.79,102.79,98.75,78.16,81.59,80.52,78.87,79.24,83.55,78.17,60.74,66.41,62.49,60.19,57.96,59.9,48.25,36.69,51.18,51.92,52.04,51.54,54.23,41.58,33.34,51.75,53.17,55.01,59.24,33.19,36,26.95,31.72,53.14,55.91,56.56,58.77,47.51,36.9,53.34,56.93,58.06,59.69,62.87,47.84,41.89,55.39,59.09,59.46,59.46,63.12,58.4,48.67,58.18,62.51,64.04,66.19,71.34,67.64,50.96,63.56,,,71.12,77.24,79.75,65.88,72.17,73.58,75.83,76.35,81.42,82.51,65.78,74.12,77.1,79.92,82.65,88.37,92.7,73.04,78.07,80.87,84.72,88.62,100.24,104.34,83.85,85.16,86.92,88.07,90.36,98.28,100.97,81.74,86.3,89.68,92.79,94.78,103.06,106.05,85.04,88.15,91.1,94.49,97.77,106.3,109.75,90.76,95.25,97.33,101.44,102.8,110.63,111.93,94.64,100.89,103.53,108.56,104.33,109.63,102.37,85.7,94.02,94.33,98.7
country/region,Australia,transit,100,101.78,100.64,99.58,98.34,86.97,99.87,107.29,109.13,107.03,106.64,100.19,90.61,81.83,101.78,104.81,103.03,101.91,97.77,87.49,98.72,99.03,102.4,100.27,100.82,102.46,84.1,100.46,105.77,105.48,106.71,113.2,111.33,98.78,109.3,111.03,115.59,114.53,116.25,120.68,104.35,115.32,119.81,118.98,115.46,119.34,122.09,107.23,113.58,115.04,112.26,111.17,113.82,112.67,98.27,97.56,105.15,107.82,106.36,101.22,88.82,70.96,76.49,70.68,65.78,62.19,61.79,57.33,43.75,40.71,33.94,30.31,26.9,26.44,23.77,19.57,23.53,22.58,21.67,21.05,21.25,18.75,16.62,21.76,21.2,20.73,21.28,16.63,16.78,13.94,16.51,21.67,21.58,21.98,21.84,20.13,17.64,21.93,22.41,22.71,22.49,23.78,20.96,19.06,22.74,23.8,23.76,22.35,23.58,23.52,21.41,25.1,25.56,26.55,26.43,28.37,27.93,23.76,28.5,,,29.89,31.44,33.85,29.61,32.92,33.36,34.04,33.11,35,36.56,31.04,36.09,37.03,38.29,38.73,40.04,42.98,35.88,39.46,40.43,41.82,42.68,46.1,51.44,41.01,39.83,44.71,44.55,45.98,48.26,53.46,43.97,46.04,47.82,48.13,48.97,52.39,56.43,45.35,47.58,49.46,50.93,52.05,54.91,57.22,48.06,52.81,53.36,54.82,54.9,56.72,56.22,48.35,54.93,55.81,56.27,51.97,51.83,47.57,41.38,47.69,46.72,48.77
country/region,Australia,walking,100,101.31,101.82,104.52,113.73,100.24,98.57,104.38,108.51,103.88,112.4,117.27,103.02,87.4,96.18,100.57,100.25,100.73,108.69,96.55,92.71,95.77,99.1,97.65,97.97,112.07,88.84,93.13,100.34,101.59,104.56,116.84,129.56,110.5,103.76,102.99,107.3,112.78,116.31,133.9,113.52,103.12,106,109.06,109.52,116.49,135.14,126.02,100.94,101.73,101.17,97.93,111.79,126.09,108.98,89.81,96.18,100.4,100.94,102.38,103.92,84.71,75.67,71.19,68.72,66.9,68.29,72.02,54.18,50.99,46.97,45.55,43.82,45.57,41.88,32.84,40.93,42.68,41.98,39.17,42.38,35.83,31.11,42.02,42.71,43.05,47.21,34.06,35.99,31.33,37.05,45.74,47.1,46.3,47.84,45.82,38.71,43.3,47.28,47.66,47.17,51.03,46.68,39.3,45.09,46.07,44.06,41.71,44.69,46.44,42.74,44.28,48.16,48.55,48.99,53.98,53.94,42.87,48.27,,,50.66,54.93,63.26,54.18,53.06,54.45,54.75,52.71,56.25,62.29,49.48,52.74,54.77,56.85,59.12,60.71,73.11,57.03,54.1,56.7,60.29,61.92,68.18,86.54,67.91,58.85,60.79,61.07,65.38,69.2,84.38,67.1,63.27,65.31,66.04,68.21,74.81,91.31,70.09,63.48,66.82,69.72,72.47,78.37,92.77,76.71,71.22,73.57,77.37,78.33,81.67,93.91,79.54,76.91,79.14,83.07,80.99,83.15,85.01,74.36,72.16,69.76,75.13
country/region,Australia,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,-1,-3,-1,0,3,5,3,-1,-3,-1,0,4,6,4,0,-2,0,-2,3,3,3,-3,-2,-1,-1,1,-1,-2,-1,-5,-7,-10,-12,-17,-18,-17,-30,-31,-34,-35,-41,-45,-39,-41,-40,-42,-40,-44,-44,-37,-38,-35,-28,-76,-40,-58,-45,-37,-37,-39,-37,-43,-45,-39,-39,-38,-39,-36,-52,-36,-36,-36,-38,-39,-35,-33,-34,-39,-32,-33,-32,-29,-25,-29,-31,-31,-31,-31,-29,-26,-26,-26,-28,-27,-28,-25,-23,-27,-25,-26,-24,-24,-23,-20,-23,-22,-23,-20,-20,-16,-15,-17,-15,-19,-20,-19,-16,-14,-16,-17,-18,-17,-16,-12,-11,-16,-17,-17,-15,-15,-12,-12,-14,-14,-14,-13,-14,-12,-11,-13,-11,-11,-8,-14,-13,-16,-16,,
country/region,Australia,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,-2,-1,1,4,4,4,1,-1,0,1,6,6,7,5,7,12,9,14,12,8,3,9,8,11,17,20,24,33,35,32,25,20,11,10,17,4,2,2,2,-9,-19,-13,-13,-13,-13,-7,-14,-18,-12,-10,-6,15,-55,-2,-38,-23,-7,-10,-8,-4,-11,-17,-14,-13,-12,-9,-2,-28,-3,-10,-10,-13,-8,-3,-1,-6,-17,-3,-6,-2,5,13,-4,-7,-4,-5,-4,2,3,-3,-4,-3,-3,-3,5,5,-3,-4,-2,-2,-1,5,5,-1,-5,-2,-2,-1,6,3,-4,-3,0,-4,-1,3,3,-1,-2,-1,-2,-1,5,3,-2,-3,-1,1,1,5,3,-2,-1,-2,-2,-1,2,2,-2,-1,3,1,-1,2,-1,-4,,
country/region,Australia,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,9,-6,-13,-6,5,-1,10,9,-10,-8,-5,-2,0,18,20,-1,-14,-15,-19,-6,10,14,5,-11,-2,2,-8,-15,-8,-18,-21,-15,-9,-12,-9,-11,-27,-30,-33,-23,-30,-34,-35,-35,-35,-36,-42,-41,-52,-43,-35,-39,-38,-31,-43,-51,-42,-18,-35,-31,-27,-33,-42,-35,-35,-31,-28,-26,-27,-30,-34,-27,-37,-41,-43,-42,-38,-20,-24,-33,-30,-25,-23,-32,-16,-26,-30,-28,-24,-26,-14,0,-25,-27,-27,-33,-33,-32,-23,-30,-27,-21,-14,-25,-7,-7,-24,-33,-20,-13,-13,2,1,17,-24,-32,-14,-23,-14,-18,-18,-20,-22,-12,-16,-8,-13,-26,-22,-17,-9,-14,-7,-8,-14,-15,-6,-1,-14,-4,6,-8,-11,-4,-1,-11,-17,-7,,
country/region,Australia,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,7,7,8,9,12,8,4,8,10,10,10,14,11,6,6,9,7,6,9,3,0,-9,6,6,6,5,-10,-13,-7,-14,-18,-22,-22,-28,-34,-36,-45,-50,-53,-53,-53,-58,-59,-59,-60,-63,-61,-61,-62,-61,-61,-61,-59,-77,-63,-64,-73,-61,-60,-60,-59,-55,-58,-60,-58,-58,-58,-56,-56,-55,-60,-57,-58,-60,-56,-51,-52,-58,-55,-55,-54,-51,-46,-46,-53,-52,-52,-52,-50,-41,-45,-51,-51,-51,-52,-49,-42,-47,-50,-47,-46,-45,-44,-35,-42,-48,-46,-44,-44,-40,-31,-40,-55,-44,-45,-42,-40,-33,-40,-42,-41,-41,-40,-36,-30,-40,-43,-41,-40,-39,-36,-30,-37,-42,-41,-41,-41,-38,-32,-36,-45,-42,-41,-43,-41,-38,-40,,
country/region,Australia,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-1,17,14,13,13,16,3,-2,17,15,14,14,17,4,-1,10,15,14,13,16,2,-2,-14,13,14,13,14,3,-1,12,5,2,0,0,-4,-12,-6,-19,-23,-27,-26,-27,-33,-32,-36,-37,-38,-36,-33,-36,-37,-39,-39,-40,-82,-41,-43,-78,-42,-41,-41,-39,-30,-34,-35,-37,-37,-37,-35,-43,-32,-39,-34,-34,-34,-31,-27,-29,-41,-31,-31,-31,-28,-23,-24,-27,-28,-27,-28,-27,-22,-24,-24,-25,-25,-26,-23,-19,-23,-22,-20,-20,-20,-19,-14,-18,-24,-18,-18,-18,-17,-14,-18,-52,-18,-17,-16,-15,-8,-14,-14,-16,-16,-16,-15,-8,-13,-16,-18,-16,-16,-15,-9,-12,-19,-20,-20,-21,-20,-10,-14,-26,-27,-26,-27,-26,-12,-15,,
country/region,Australia,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-1,-1,-2,-3,-1,0,-1,-1,-1,-1,-3,-1,0,0,-1,-1,0,-2,0,0,4,-1,-1,-1,-1,2,2,1,3,5,5,6,7,6,8,12,14,16,17,15,13,16,18,19,20,20,17,14,17,19,19,18,33,18,15,27,19,20,20,20,16,14,17,18,18,19,18,17,13,17,16,11,18,18,13,11,17,16,16,16,16,12,9,14,15,15,15,15,9,8,13,14,15,15,14,10,9,12,12,13,13,12,8,8,12,12,12,11,10,6,5,14,10,11,11,10,7,7,9,10,10,10,9,6,6,9,10,10,9,9,6,6,9,10,10,10,9,6,5,10,10,10,11,11,8,6,,
