geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Brazil,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,200,321,372,621,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,4579,5717,6836,8044,9056,10360,11130,12161,14034,16170,18092,19638,20727,22192,23430,25262,28320,30425,33682,36658,38654,40743,43079,45757,50036,54043,59324,63100,67446,73235,79685,87187,92202,97100,101826,108620,115455,126611,135773,146894,156061,162699,169594,178214,190137,203165,220291,233511,241080,255368,271885,291579,310087,330890,347398,363211,374898,391222,411821,438238,465166,498440,514849,526447,555383,584016,614941,645771,672846,691758,707412,739503,772416,802828,828810,850514,867624,888271,923189,955377,978142,1032913,1067579,1083341,1106470,1145906,1188631,1228114,1274974,1313667,1344143,1368195,1402041,1448753,1496858,1539081,1577004,1603055,1623284,1668589,1713160,1755779,1800827,1839850,1864681,1884967,1926824,1966748,2012151,2046328,2074860,2098389,2118646,,,
country/region,Brazil,driving,100,99.71,100.9,101.88,113.69,114.38,91.06,97.54,98.14,97.91,98.51,109.53,111.8,88.93,92.86,95.19,94.85,96.31,109.54,109.56,83.8,92.5,92.97,93.75,96.35,114.55,117.52,86.93,99.25,95.71,98.43,98.92,115.44,123.46,92.31,95.54,99.59,102.06,109.38,141.63,140.3,103.13,102.5,99.46,92.81,91.16,101.9,107.46,77.97,88.51,90.22,92.18,95.49,110.82,118.71,82.64,90.32,92.92,92.58,89.66,103.57,106.68,71.69,70.59,64.88,58.47,52.15,51.7,39.66,27.58,34.89,34.84,35.26,37.57,42.94,41.63,30.76,40.12,41.85,44.28,45.51,50.52,50.88,35.1,45.53,48.59,51.93,58.89,44.88,58.22,36.49,46.79,47.91,49.89,50.47,56.91,56.26,38.14,51.62,45.15,53.67,55.04,59.39,59.43,40.2,51.35,54.57,56.02,64.63,55.37,58.58,42.66,55.5,59.15,61.8,60.7,70.72,73.36,45.9,,,58.19,60.38,68.01,67.84,45.5,58.06,61.72,63.57,64.83,72.87,68.88,46.09,58.72,63.43,64.7,67.12,77.24,78.36,52.6,64.34,68.2,71.21,71.7,84.14,84.4,56.63,71.42,76.01,85.1,78.91,102.09,81.32,57.28,68.78,72.14,73.56,74.73,85.61,87.1,61.25,74.48,77.54,76.84,76.51,86.41,81.13,57.93,71.75,74.24,75.31,79.54,91.88,92.45,63.65,78.69,83.3,85.25,86.92,112.49,98.38,69.78,82.49,87.3
country/region,Brazil,transit,100,102.45,104.28,100.2,97.06,81.01,69.05,100.37,109.18,106.12,102.51,99.99,81.78,70.41,105.37,110.46,108.95,103.38,105.23,84.27,71.2,111.64,113.05,111.42,111.11,116.13,95.44,74.79,120.83,116.59,118.28,113.61,117.96,109.7,92.39,119.12,123.99,121.93,114.4,113.62,96.45,79.83,81.57,78.26,84.99,100.15,104.61,89.78,70.02,111.78,114.5,112.99,113.33,112,93.39,68.94,112.46,117.22,113.69,105.24,99.22,75.46,54.78,71.52,57.15,45.94,36.65,29.95,19.51,17.04,20.74,18.78,19.11,20.33,21.26,18.17,16.61,22.27,22.91,23.23,21.81,21.89,19.08,17.13,24.12,23.47,23.39,23.16,18.19,19.19,15.71,24.36,23.03,23.5,23.4,22.2,19.51,17,22.93,19.84,25.37,24.45,24.37,21.21,18.21,25.24,25.3,25.43,24.75,19.59,20.12,18.01,26.74,27.68,26.87,25.08,24.67,21.61,17.32,,,26.9,26.19,26.84,21.93,17.97,25.94,26.36,24.97,25.05,25.97,21.65,18.33,24.54,28.63,28.46,28.67,28.29,24.25,20.81,29.77,31.1,32.09,32.17,31.13,26.64,22.85,34.57,35.14,36.24,32.93,32.78,27.47,24.08,36.3,36.97,36.18,35.55,35.78,29.97,26.28,38.47,38.94,39.02,38.1,36.65,27.17,25.38,38.51,38.6,38.68,38.78,38.04,32,27.89,42.87,44.46,44.29,44.01,43.4,36.91,30.92,47.75,47.83
country/region,Brazil,walking,100,106.3,104.75,99.05,104.13,101.18,69.84,97.33,105.36,102.28,95.88,104.74,101.07,69.38,98.41,102.94,101.02,100.51,110.22,95.63,65.06,97.15,104.11,103.31,104.21,120.32,114.78,70.93,101.06,106.71,110.43,113.33,126.08,135.5,97.46,109.05,115.3,116.07,121.05,137.47,171.31,153.25,137.77,114.5,82.66,99.98,109.09,106.38,67.92,100.58,107.55,109.92,112.18,122.93,117.49,70.22,106.53,110.43,111.88,105.51,110.67,99.18,58.05,76.8,65.54,54.89,45.14,40.48,29.89,20.98,27.37,27.11,27.96,28.91,32.21,31.1,22.26,31.21,33.58,35.29,35.66,38.21,36.27,25.8,36.09,38.32,40.39,45.27,32.17,42.94,25.18,37.69,37.98,39.29,39.36,42.1,39.17,26.98,39.71,32.11,43.53,44,45,42.06,27.92,40.94,43.22,44.22,48.58,37.63,40.89,28.94,44.27,47.54,48.29,46.56,53.45,53.02,31.95,,,47.06,48.12,51.8,48.88,32.32,48.45,50.96,51.86,52.03,54.51,48.99,31.44,46.25,52.17,52.95,54.48,59.65,55.53,35.88,53.57,55.62,57.24,57.58,64.53,60.29,38.25,59.08,61.51,66.91,58.08,82.03,58.63,37.19,56.65,60.22,61.89,61.45,67.21,63.42,41.68,66.36,66.98,67,64.44,66.82,56.26,38.46,60.38,62.82,62.72,65.95,72.79,69.98,43.95,68.35,73.59,73.06,73.77,85.58,75.14,48.08,70.65,74.59
country/region,Brazil,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,-2,-3,-1,1,2,-3,4,-14,-31,-18,-8,-5,-3,-9,-6,-5,-1,0,6,9,8,1,0,1,-2,0,-2,-8,-11,-19,-25,-36,-45,-63,-72,-65,-71,-69,-69,-67,-70,-71,-62,-60,-58,-59,-60,-63,-67,-56,-53,-52,-49,-76,-59,-67,-54,-56,-54,-56,-55,-61,-67,-53,-71,-53,-56,-55,-59,-65,-54,-53,-52,-48,-71,-57,-65,-50,-50,-49,-48,-46,-47,-59,-49,-51,-51,-52,-52,-55,-63,-50,-51,-50,-51,-52,-56,-66,-53,-50,-48,-48,-47,-50,-60,-45,-46,-44,-45,-42,-45,-56,-39,-42,-36,-54,-33,-46,-57,-40,-41,-40,-41,-41,-44,-54,-40,-40,-43,-43,-43,-50,-57,-42,-39,-38,-38,-37,-40,-51,-35,-34,-34,-36,-34,-40,-50,,
country/region,Brazil,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,-1,-2,7,10,6,7,-7,-29,-11,2,3,5,3,1,2,2,7,11,13,11,5,5,2,4,7,7,7,6,7,5,2,0,-16,-33,-26,-33,-32,-29,-26,-27,-35,-26,-21,-19,-17,-14,-13,-24,-14,-8,-7,11,-38,-5,-25,-19,-20,-17,-14,-11,-15,-23,-11,-37,-15,-17,-14,-14,-22,-19,-16,-15,3,-33,-7,-21,-10,-7,-6,1,7,10,-4,-11,-11,-14,-12,-7,-8,-17,-13,-13,-8,-7,-6,-7,-18,-12,-9,-8,-4,3,2,-9,-3,-4,-3,0,9,8,-5,1,-2,5,-13,14,-2,-12,-4,-4,-4,-3,1,2,-8,-5,-2,-8,-3,1,-3,-12,-6,2,4,8,11,12,-4,7,9,6,8,12,8,-6,,
country/region,Brazil,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-13,-12,-11,-5,2,1,12,32,69,51,-8,-11,-17,-23,-34,-25,-21,-11,-5,-7,-14,-17,-12,-11,-6,-5,-8,-15,-21,-23,-28,-28,-34,-45,-66,-75,-61,-62,-57,-54,-56,-64,-70,-55,-53,-48,-48,-52,-60,-66,-53,-50,-46,-40,-58,-59,-67,-52,-54,-47,-46,-50,-59,-64,-47,-51,-45,-44,-48,-55,-61,-50,-48,-43,-37,-49,-54,-62,-48,-47,-44,-43,-43,-52,-62,-47,-49,-46,-46,-49,-56,-61,-48,-48,-43,-43,-49,-60,-67,-50,-49,-43,-42,-43,-51,-58,-47,-48,-41,-41,-44,-52,-58,-42,-45,-36,-37,-33,-46,-59,-46,-44,-38,-37,-40,-45,-49,-41,-39,-36,-38,-43,-56,-59,-47,-44,-39,-36,-39,-45,-53,-40,-39,-34,-33,-35,-43,-47,,
country/region,Brazil,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,9,9,8,11,12,6,2,-27,-35,-17,1,2,-2,-10,6,6,7,10,13,8,2,12,11,10,10,10,0,-7,-4,-15,-22,-31,-37,-50,-60,-58,-63,-63,-62,-60,-59,-62,-59,-58,-57,-57,-55,-53,-57,-53,-53,-52,-49,-69,-52,-55,-53,-55,-53,-53,-51,-50,-56,-53,-68,-51,-54,-50,-48,-54,-51,-50,-50,-46,-66,-50,-54,-48,-48,-48,-47,-43,-40,-45,-47,-48,-49,-49,-48,-46,-52,-48,-48,-49,-49,-47,-47,-54,-52,-47,-46,-45,-42,-40,-47,-43,-45,-43,-42,-38,-36,-45,-39,-41,-38,-51,-37,-38,-47,-40,-40,-40,-40,-37,-34,-42,-38,-38,-40,-39,-38,-42,-47,-40,-38,-38,-37,-34,-31,-41,-35,-34,-34,-35,-31,-30,-38,,
country/region,Brazil,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,19,15,14,15,13,-4,-3,-45,-61,-18,10,13,5,-1,20,15,16,18,18,7,3,21,17,17,17,18,6,0,14,3,-6,-17,-21,-30,-34,-42,-51,-52,-50,-48,-41,-34,-43,-45,-45,-45,-42,-35,-30,-38,-40,-40,-41,-72,-36,-26,-35,-39,-38,-38,-36,-28,-25,-39,-67,-34,-36,-32,-25,-23,-30,-33,-32,-31,-66,-27,-21,-27,-31,-31,-31,-28,-19,-5,-27,-31,-31,-31,-29,-21,-16,-26,-29,-31,-31,-28,-20,-17,-34,-28,-27,-27,-24,-12,-8,-21,-25,-24,-24,-21,-11,-6,-19,-23,-22,-51,-27,-11,-5,-19,-22,-22,-22,-20,-7,-1,-19,-22,-24,-22,-20,-12,-5,-19,-22,-22,-22,-19,-7,-3,-18,-22,-21,-21,-18,-7,-3,,
country/region,Brazil,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-1,-1,-1,-2,-1,0,1,8,10,6,1,1,3,5,0,-1,-1,-2,-2,0,1,-2,-2,-1,-2,-2,1,3,1,4,7,10,13,16,17,20,22,23,22,23,19,17,20,19,20,20,20,16,15,18,17,18,16,27,16,13,17,18,18,18,19,15,14,17,23,17,18,18,15,14,17,13,17,14,25,15,13,15,16,16,16,16,13,10,16,16,17,16,18,15,14,16,16,17,17,17,15,14,18,16,16,16,16,12,12,14,15,16,15,15,12,12,14,14,13,20,15,12,12,14,14,15,14,14,11,11,14,14,15,14,15,14,13,14,13,13,14,14,11,11,13,13,13,13,13,10,10,,
