geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Canada,confirmed_cases,0,0,0,0,1,1,2,2,2,4,4,4,4,4,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,10,11,11,13,14,20,24,27,30,33,37,49,54,64,77,79,108,117,193,198,252,415,478,657,800,943,1277,1469,2088,2790,3251,4038,4678,5571,6275,7393,8521,9553,11276,12429,12968,15746,16552,17860,19129,20642,22046,23303,24286,25667,27022,28196,30796,32801,34342,35619,37642,39386,41647,43283,44903,46355,48017,49600,51134,52849,54441,56326,57909,60487,61940,63198,64677,66184,67657,68901,70074,71247,72402,73551,74764,75942,77189,78315,79394,80476,81558,82725,83930,85134,86089,87102,88073,88972,89959,90892,91664,92462,93271,93944,94625,95253,95931,96459,97162,97763,98225,98704,99143,99579,100027,100388,100747,101071,101475,101861,102298,102746,103062,103402,103751,104071,104447,104613,104862,105177,105814,106081,106272,106627,106946,107169,107378,107799,108007,108318,108640,108968,109134,109332,109968,110334,110677,111128,111541,111857,112150,112920,,,
country/region,Canada,driving,100,102.91,99.74,105.17,122.34,102.5,84.46,102.63,104.31,107.37,110.29,127.88,116.84,88.06,98.11,102.75,104.73,109,129.2,119.47,88.42,97.41,100.25,103.6,105.72,120.32,118.1,92.45,104.41,107.15,108.19,115.97,140.55,125.71,103.84,95.14,111.82,113.99,119.01,136.41,128.05,98.89,102.34,107.2,104.04,105.22,131.32,125.25,96.88,105.19,110.89,112.29,117.74,128.31,119.48,95.1,102.06,103.97,103.94,100.22,101.24,87.16,68.17,74.1,67.21,63.91,62.16,63.93,53.45,41.73,49.42,48.66,47.57,46.94,52.63,43.08,36.69,45.01,47.15,48.1,47.17,51.71,44.5,36.1,47.06,48.1,50.81,56.31,45.48,47.79,35.19,44.73,52.28,54.67,56.14,61.27,54.89,45.1,58.27,57.54,59.5,62.07,69.4,61.33,49.16,62.59,64.78,66.72,68.45,78.5,68.25,58.95,69.42,74.34,76.92,76.86,84.86,76.51,62.35,,,84.23,85.65,97.27,88.47,72.89,74.31,92.23,97.8,98.06,109.68,99.15,84.03,98.93,101.72,104.91,104.34,115.01,104.54,87.22,104.19,103.65,106.4,113.84,126.58,109.89,94.87,109.32,112.78,114.47,119.84,134.95,121.42,103.68,118.28,123.63,124.96,131.48,148.59,133.33,106.35,126.37,129.18,127.97,140.14,156.72,133.66,119.21,136.33,147.12,129.26,148.6,164.68,146.39,134.23,141.72,141.48,143.13,149.11,166.99,141.05,130.04,141.76,146.65
country/region,Canada,transit,100,100.03,98.01,101.01,105.42,89.65,75.87,98.64,99,100.79,101.45,108.86,91.47,75.15,93.28,95.88,94.14,97.63,104.6,93.75,75.71,93.13,94.86,94.09,96.3,103.76,95.66,78.4,95.79,96.84,96.69,102.9,108.95,92.72,79.97,80.63,97.64,98.13,100.38,110.64,96.4,78.72,93.45,94.4,91.96,94.2,105.38,99.36,79.62,95.54,98.09,100.52,103.64,103.96,94.06,78.53,92.55,91.11,89.78,83.35,76.4,63.75,51.19,50,40.26,35.59,31.53,30.3,26.48,22.26,23.58,21.68,20.81,19.64,20.16,18.09,17.25,19.58,20.05,19.54,18.77,18.88,17.33,16.32,18.84,17.9,18.1,17.74,16.45,16.78,14.93,18.09,18.73,18.73,18.31,18.64,18.19,16.95,20.48,18.99,19.29,19.49,20.44,19.56,18.08,21.78,21.66,21.3,21.97,23.68,22.42,22.67,25.08,25.29,25.24,24.37,25.12,23.18,21.5,,,26.02,24.99,26.34,25.97,23.82,26.21,30.01,30.24,30.23,31.66,30.71,29.21,33.13,34.04,34.27,32.82,34.46,33.01,31.66,36.59,34.25,36.07,37.55,39.32,35.8,35.34,39.7,39.23,39.18,39.2,41.51,38.82,36.89,43.02,43.86,44.21,45.03,47.05,42.97,38.84,48.35,46.03,46.82,50.05,51.1,45.53,43.68,51.04,50.71,48.22,51.8,53.17,49.13,46.48,53.24,52.06,51.76,52.16,53.82,46.26,46,52.57,53.42
country/region,Canada,walking,100,106.29,106.65,108.64,127.43,122.55,90.42,104.92,108.92,112.57,118.17,139.85,136.71,93.37,105.36,111.79,110.13,115.16,138.49,140.12,91.16,102.67,105.91,107.29,108.17,128.56,139.77,93.6,106.26,111.39,112.79,120.1,152.97,152.65,125.23,99.59,114.61,119.86,127.3,152.97,155.76,103.86,109.77,111.42,106.92,107.07,135.19,146.34,102.32,109.77,117.97,123.88,131.76,142.64,147,108.48,113.56,108.1,110.67,106.32,104.32,103,73.82,75.7,65.68,62.44,60.16,59.11,53.11,43.54,45.64,48.44,49.21,46.46,53.57,43.07,38.38,42.36,47.84,49,47.09,48.68,48.35,39.89,51.48,50.34,53.06,52.77,45.36,48.43,40.6,41.76,50.75,50.9,53.45,56.42,56.27,44.6,58.6,51.99,53.94,57.59,63.55,63.76,47.31,61.18,62.65,63.49,62.18,74.84,69.67,65.53,65.69,72.58,75.32,72.43,75.74,68.96,58.27,,,81.49,79.21,86.56,88.81,75.55,75.29,90.98,98.09,97.15,105.96,101.32,86.58,96.9,101.36,102.05,96.86,106.07,100.45,83.93,104.4,99.77,104.19,112,123.31,108.66,96.65,107.61,109.23,108.34,113.11,122.3,117.09,97.54,114.46,121.71,120.6,123.99,136.19,123.98,93.2,120.28,120.2,121.41,133.34,144.03,128.21,108.17,128.99,138.67,128.88,134.54,149.11,142.8,115.92,134.9,134.53,133.52,138.1,152.51,131.35,117.85,133.9,141.33
country/region,Canada,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,-12,-1,1,6,2,8,10,3,2,-2,-8,-1,7,10,3,4,5,7,1,6,9,4,-1,3,7,-5,-11,-12,-12,-27,-33,-36,-44,-49,-51,-45,-49,-53,-54,-55,-59,-59,-54,-51,-52,-53,-55,-57,-63,-51,-52,-51,-44,-70,-54,-74,-55,-50,-50,-49,-53,-54,-60,-46,-50,-50,-49,-52,-51,-57,-45,-46,-46,-47,-47,-49,-51,-42,-42,-41,-42,-45,-44,-44,-41,-41,-38,-38,-41,-40,-41,-48,-31,-28,-30,-34,-33,-32,-26,-28,-26,-28,-32,-32,-30,-23,-27,-27,-25,-29,-29,-26,-21,-24,-22,-21,-25,-25,-22,-18,-18,-19,-17,-21,-22,-17,-16,-17,-23,-13,-20,-21,-17,-9,-2,-34,-9,-15,-19,-13,-9,-12,-12,-11,-18,-20,-12,,
country/region,Canada,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,-15,4,1,4,-1,5,6,2,5,2,-9,1,7,9,3,6,4,5,-1,5,7,4,1,7,27,35,19,11,23,13,7,4,-5,-12,-21,-13,-15,-21,-21,-21,-27,-35,-27,-19,-21,-23,-23,-25,-45,-21,-18,-17,-3,-43,-15,-62,-29,-16,-19,-18,-22,-24,-43,-19,-22,-22,-19,-22,-21,-39,-17,-16,-17,-17,-16,-18,-32,-14,-10,-11,-11,-11,-6,-24,-14,-11,-9,-10,-10,-9,-23,-27,0,1,-2,-5,-4,-14,-4,-3,0,-3,-5,-5,-12,-2,-3,-3,0,-3,-5,-9,-2,-2,-1,0,-2,-3,-7,0,3,2,5,4,3,-2,0,6,-8,7,1,-1,-5,5,21,-16,11,6,-1,-3,5,6,5,6,1,-2,-2,,
country/region,Canada,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,41,63,6,9,14,10,28,36,19,9,1,-6,-5,11,23,1,8,11,18,6,17,50,31,-2,12,11,-16,-8,28,15,7,14,18,-8,11,4,-27,-10,1,-18,-10,-30,-16,-32,-13,-10,-16,-33,-17,-13,2,-1,-3,-15,-24,-22,-4,-25,-11,-14,-6,-22,-3,-13,15,-17,-22,-1,-3,16,-6,14,14,6,-4,10,15,47,5,32,36,32,9,0,20,19,20,46,37,24,62,86,94,57,70,73,63,85,115,64,80,82,64,51,58,69,81,64,68,108,101,88,130,100,90,78,100,89,111,142,104,136,123,139,128,135,149,119,95,122,142,129,117,153,137,133,234,134,151,183,190,156,136,116,136,136,97,169,,
country/region,Canada,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,-28,-1,0,-1,-1,6,5,-1,0,-2,-5,1,6,6,-2,-2,0,-1,-3,3,3,-3,-6,-3,-6,-17,-19,-22,-37,-45,-48,-52,-54,-49,-54,-63,-64,-65,-68,-66,-64,-66,-70,-68,-68,-70,-69,-63,-67,-68,-68,-67,-68,-77,-63,-67,-74,-68,-68,-68,-67,-57,-64,-65,-68,-67,-66,-65,-54,-62,-64,-64,-64,-65,-61,-52,-54,-64,-62,-60,-62,-62,-55,-55,-62,-61,-58,-60,-59,-47,-51,-69,-57,-54,-55,-54,-42,-43,-55,-54,-52,-54,-53,-41,-43,-51,-53,-52,-50,-50,-40,-39,-51,-52,-51,-50,-49,-36,-37,-49,-47,-47,-47,-45,-34,-35,-47,-48,-49,-44,-42,-31,-32,-46,-44,-55,-46,-45,-31,-30,-45,-46,-46,-45,-44,-37,-31,,
country/region,Canada,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,-52,-1,0,1,-3,6,5,3,3,1,-5,0,7,5,-1,0,-1,-2,-1,6,4,2,1,2,2,-6,-1,-5,-27,-35,-40,-43,-45,-32,-35,-51,-55,-59,-59,-59,-44,-44,-60,-60,-61,-61,-60,-45,-46,-60,-61,-61,-62,-81,-47,-51,-69,-60,-60,-60,-59,-40,-42,-58,-58,-58,-58,-57,-39,-41,-56,-57,-57,-57,-55,-36,-35,-54,-54,-54,-54,-53,-32,-30,-52,-51,-51,-51,-52,-30,-29,-79,-49,-49,-49,-46,-21,-21,-48,-46,-46,-45,-44,-14,-13,-43,-43,-43,-43,-42,-13,-12,-42,-41,-42,-41,-40,-8,-7,-41,-40,-41,-40,-40,-6,-2,-42,-42,-49,-40,-39,-8,-4,-42,-41,-67,-44,-47,-8,-6,-42,-42,-41,-40,-40,-7,-5,,
country/region,Canada,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,11,1,0,0,1,-1,-1,0,0,1,4,1,0,-1,1,0,1,1,1,0,0,1,1,1,1,5,5,4,10,14,16,17,20,13,11,20,22,23,25,26,17,14,23,23,24,25,27,17,14,23,24,24,24,33,17,14,26,24,24,25,27,16,14,22,23,24,24,25,14,13,21,16,22,23,23,14,11,20,20,20,21,22,13,10,19,20,19,20,21,10,8,24,18,17,18,18,9,6,16,16,16,17,18,9,7,14,16,16,15,15,8,5,14,14,15,15,14,6,4,13,13,13,13,11,4,1,12,12,15,12,11,5,2,11,10,16,11,12,3,0,10,11,12,11,11,5,1,,
