geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Germany,confirmed_cases,0,0,0,0,0,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,27,46,48,79,130,159,196,262,482,670,799,1040,1176,1457,1908,2078,3675,4585,5795,7272,9257,12327,15320,19848,22213,24873,29056,32986,37323,43938,50871,57695,62095,66885,71808,77872,84794,91159,96092,100123,103374,107663,113296,118181,122171,124908,127854,130072,131359,134753,137698,141397,143342,145184,147065,148291,150648,153129,154999,156513,157770,158758,159912,161539,163009,164077,164967,165664,166152,167007,168162,169430,170588,171324,171879,172576,173171,174098,174478,175233,175752,176369,176551,177778,178473,179021,179710,179986,180328,180600,181200,181524,182196,182922,183189,183410,183594,183879,184121,184472,184924,185450,185750,186109,186506,186522,186691,187226,187267,187518,187682,188252,188604,189817,190299,190670,191272,191768,192480,192871,193371,194036,194458,194693,195042,195418,195893,196370,196780,197198,197523,198064,198343,198699,199001,199332,199709,199919,200180,200456,200890,201450,202045,202426,202735,203325,,,
country/region,Germany,driving,100,101.31,102.82,104.61,114.38,109.65,103.81,100.54,102.9,102.65,102.61,112.68,108.85,102.26,101.93,105.2,102.84,105.23,119.14,115.73,106.1,105.13,107.72,106.59,105.26,120.68,120.85,105.91,105.72,108.42,108.83,112.43,130.41,128,109.63,108,109.42,110.81,108.14,125.52,119.65,99.22,102.49,105.39,104.39,110.47,117.01,115.16,106.11,101.52,104.1,102.87,105.34,115.68,112.85,105.05,99.11,100.16,97.05,87.94,86.47,78.32,72.26,68.97,63.71,59.52,54.87,50.87,37.9,39.75,45.1,45.53,46.48,48.12,49.58,45.98,42.18,50,52.68,53.29,53.15,51.46,47.44,55.02,58.99,60.26,61.92,58.89,51.44,51.05,46.1,53.67,61.19,63.04,65.48,64.69,57.58,63.82,66.95,68.02,69.71,70.28,67.88,62.8,68.59,70.08,69.04,70.61,70.3,62.46,65.91,73.49,75.92,77.39,79.3,81.72,84.77,79.18,78.63,,,84.55,87.25,92.03,87.64,93.4,95.37,97.63,105.56,102.46,102.01,91.77,100.28,100.75,102.28,104.72,109.93,126.42,114.01,110.23,134.41,121.2,114.95,111.66,116.95,112.64,112.92,113.83,115.42,121.66,124.56,134.06,116.11,123.09,117.11,118.08,119.46,121.9,131.22,123.26,127.78,121.89,127.65,128.77,131.7,145.55,128.61,129.62,127.65,130.23,132.5,133.68,147.23,138.84,139.33,133.56,133.96,133.64,137.29,148.69,143.36,148.98,139.44,138.74
country/region,Germany,transit,100,102.85,102.41,105.37,114.32,116.37,102.26,99.42,101.25,100.44,103.03,111.85,117.24,99.33,101.54,101.07,99.92,102.77,113.42,115.02,104.64,104.37,104.7,101.33,101.98,113.45,117.99,100.3,104.99,105.67,106.43,112.26,121.04,125.2,114.91,157.64,140.18,132.15,135.25,145.98,149.75,127.86,129.82,128.68,123.84,128.01,138.23,140.56,123.28,118.97,116.1,114.82,117.3,127.44,134.51,115.27,110.61,106.74,101.51,91.75,82.21,77.72,63.99,57.93,50.68,46.15,39.17,33.88,29.1,30.14,31.37,31,31.36,31.4,31.8,31.88,29.48,32.39,35.14,33.52,33.82,32.02,33.02,39.16,40.67,40.58,39.96,38.54,40.24,36.2,37.88,38.77,41.62,43.22,44.83,43.47,42.91,46.65,47.02,44.89,46.87,47.32,44.47,44.16,49.81,48.72,46.4,45.55,45.07,45.75,44.9,53.31,54.35,54.6,55.35,56.71,57.39,56.13,55.81,,,59.26,60.24,61.23,61.89,66.72,68.3,69.67,69.97,74.63,68.55,64.35,66.62,74.08,75.87,77.79,77.53,80.63,79.95,78.92,93.36,92.7,89.61,84.31,86.59,87.81,83.7,89.42,90.4,88.74,95.02,102.48,90.55,92.71,95.82,96.68,96.02,93.76,96.46,94.71,95.46,102.85,106.91,106.25,110.48,110.65,108.76,99.43,105.92,108.63,108.49,111.01,117.01,114.54,107.83,111.13,111.31,110.39,113.41,116.07,118.2,112.8,118.35,118.97
country/region,Germany,walking,100,104.04,107.18,110.76,124.13,137.91,91.01,99.26,102.36,100.62,104.64,119.37,135.62,89.33,99.07,98.48,99.88,106.28,127.99,139.86,91.42,104.16,105.5,108.79,109.22,128.59,150.13,86.21,91.76,104.04,108.17,112.38,141.37,161.49,98.68,111.55,115.71,109.61,121.49,131.42,149.93,93.4,114.25,106.82,99.85,104.58,123.05,138.07,95.72,102.74,103.29,101.89,102.6,116.04,140.22,93.98,96.92,90.68,96.4,89.79,88.28,95.38,75.8,71.25,61.98,57.99,51.98,45.37,36.4,42.76,42.11,43.85,43.83,45.78,52.26,58.85,33.95,42.5,47.88,50.5,50.82,48.24,59.17,75.42,66.13,66.37,67.94,65.26,73.42,67.61,67.93,54.13,55.07,63.21,69.23,69.5,69.57,75.93,66.52,66.47,68.86,72.15,68.32,72.98,81.52,70.04,59.81,59.04,60.08,59.29,59.26,75.48,67.46,71.69,76.51,79.51,83.97,86.37,67.66,,,70.99,76.74,81.74,90.52,90.51,88.46,92.02,95.48,115.17,99.99,86.18,76.8,88.31,96.16,98.12,100.55,110.61,124.97,115.52,130.53,118.8,107.89,95.61,100.36,115.09,92.43,106.73,105.71,107.56,117.11,147.47,124.84,89.06,104.74,107.81,107.9,110.78,118.48,131.78,112.89,115.69,123.12,122.28,122.41,132.81,135.19,101.98,115.93,122.35,119.96,123.7,141.2,151.61,114.4,122.91,130.49,124.69,127.11,137.16,159.03,129.87,137.68,133.7
country/region,Germany,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,2,2,3,2,2,-1,0,2,-1,-3,-5,3,-1,8,2,0,2,-4,-3,1,12,-1,-7,-1,-7,-9,-17,-12,-7,-21,-34,-45,-50,-69,-71,-57,-59,-58,-59,-59,-66,-77,-54,-53,-52,-54,-57,-63,-58,-43,-44,-42,-40,-80,-56,-63,-81,-45,-45,-53,-55,-65,-59,-44,-47,-46,-47,-50,-57,-52,-43,-48,-46,-34,-82,-46,-57,-32,-36,-33,-33,-36,-40,-50,-34,-31,-31,-29,-29,-35,-36,-15,-17,-6,-55,-19,-35,-42,-16,-18,-15,-16,-15,-23,-19,-45,-6,-11,-20,-20,-25,-31,-8,-12,-5,-36,-8,-26,-33,-10,-11,-10,-12,-13,-20,-8,-6,-6,-6,-11,-14,-23,-18,-3,0,-2,-6,-5,-16,-9,-2,-2,-4,-8,-11,-15,3,,
country/region,Germany,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,2,2,0,-1,2,-2,9,-5,-1,0,3,11,5,18,8,5,2,0,1,0,19,2,-2,2,6,19,9,13,22,11,5,-3,-2,-24,-35,-16,-18,-18,-16,-14,-21,-51,-16,-12,-13,-11,-11,-16,-13,-6,-2,10,14,-92,0,-23,-93,1,-9,-3,-4,-14,-7,-9,-8,-8,-6,-7,-10,3,-13,-10,1,19,-92,3,4,-5,-6,-5,-3,-5,-1,9,-12,-4,-7,-4,-3,-6,16,-3,2,34,-87,1,-9,3,-2,-4,-3,2,6,4,32,-86,15,1,-2,-2,-5,11,-4,-2,16,-54,3,-9,8,-2,0,-3,-2,-1,-5,33,-2,-1,-1,-1,-2,-6,23,1,3,-1,0,1,-5,27,-1,-1,-3,-3,-2,-6,42,,
country/region,Germany,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,9,7,10,6,14,15,26,-24,17,15,0,-3,9,9,21,9,8,14,0,-11,19,31,7,-13,17,4,-3,33,75,40,31,44,15,-14,-31,1,-5,9,11,3,21,33,-49,-13,7,20,6,-13,21,61,49,50,57,37,72,35,59,29,8,46,57,49,35,56,35,45,60,58,38,40,78,57,19,12,-8,17,-18,43,-1,21,49,47,60,61,29,-23,14,13,20,29,53,92,55,63,84,225,68,27,37,33,73,86,65,84,99,143,264,109,91,12,21,44,51,67,59,70,112,147,97,34,63,75,80,67,63,85,123,96,129,130,106,114,110,72,74,92,85,69,99,109,95,73,106,80,74,74,112,142,,
country/region,Germany,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,1,1,-1,3,-1,9,2,-5,-5,-7,-5,-2,1,4,-1,-3,-4,-5,-7,-2,2,-5,-8,-7,-9,-15,-19,-16,-25,-35,-39,-46,-52,-59,-58,-56,-56,-56,-57,-56,-53,-68,-56,-53,-53,-54,-57,-52,-47,-49,-50,-49,-49,-69,-48,-47,-73,-52,-49,-48,-49,-46,-44,-44,-44,-43,-42,-46,-41,-39,-41,-43,-43,-39,-67,-42,-37,-38,-37,-35,-35,-37,-28,-33,-41,-35,-36,-35,-35,-28,-25,-30,-30,-25,-46,-40,-35,-31,-31,-28,-27,-27,-25,-17,-13,-42,-22,-24,-31,-32,-24,-27,-26,-27,-24,-40,-25,-21,-26,-24,-22,-22,-23,-23,-18,-11,-21,-19,-19,-21,-21,-16,-18,-22,-20,-21,-21,-20,-12,-12,-22,-20,-23,-23,-23,-11,-4,,
country/region,Germany,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,-2,-1,-1,-4,-8,-3,-3,-20,-13,-5,-4,-5,-1,1,0,0,0,0,-1,0,1,-1,-1,-1,-2,-4,-3,-5,-18,-25,-30,-33,-36,-31,-34,-41,-43,-43,-44,-44,-33,-39,-43,-43,-43,-43,-44,-31,-30,-44,-45,-45,-47,-86,-29,-26,-88,-45,-44,-43,-43,-22,-22,-36,-35,-35,-35,-36,-19,-18,-33,-33,-33,-34,-84,-20,-18,-30,-29,-28,-28,-31,-8,-3,-28,-26,-26,-26,-26,-5,-1,-26,-25,-26,-81,-51,-8,-4,-27,-23,-23,-24,-25,5,8,-80,-26,-25,-26,-26,1,3,-25,-25,-25,-59,-37,4,5,-23,-21,-21,-22,-23,7,15,-23,-22,-20,-22,-23,3,10,-23,-22,-22,-23,-23,3,7,-26,-25,-25,-26,-26,3,10,,
country/region,Germany,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,1,1,1,2,0,0,4,4,2,2,2,1,0,0,1,1,1,2,1,0,1,3,2,2,4,4,2,6,10,11,14,16,13,10,16,18,18,18,19,12,11,17,17,17,17,19,12,8,15,16,15,15,29,10,6,28,17,16,16,16,10,7,13,14,13,13,14,9,6,12,13,13,12,28,9,6,11,12,11,11,11,5,4,11,11,11,10,10,5,3,8,9,6,18,14,7,3,8,8,7,8,7,2,0,16,6,7,9,9,4,3,7,8,6,16,7,2,2,6,6,6,6,6,2,-1,5,5,5,5,5,1,0,5,6,5,6,5,0,0,5,6,6,6,6,0,-2,,
