geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Ireland,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,18,18,19,21,34,43,43,90,129,129,169,223,292,557,683,785,906,1125,1329,1564,1819,2121,2415,2615,2910,3235,3447,3849,4273,4604,4994,5364,5709,6074,6574,8089,8928,9655,10647,11479,12547,13271,13980,14758,15251,15652,16040,16671,17607,18184,18561,19262,19648,19877,20253,20612,20833,21176,21506,21772,21983,22248,22385,22541,22760,22996,23135,23242,23401,23827,23956,24048,24112,24200,24251,24315,24391,24506,24582,24639,24698,24735,24803,24841,24876,24929,24990,25062,25066,25111,25142,25163,25183,25201,25207,25215,25231,25238,25250,25295,25303,25321,25334,25341,25355,25368,25374,25379,25383,25391,25396,25405,25414,25437,25439,25462,25473,25477,25489,25498,25509,25527,25531,25538,25542,25565,25589,25611,25628,25638,25670,25683,25698,25730,25750,25760,25766,,,
country/region,Ireland,driving,100,113.54,113.02,123.29,127.76,130.2,116.27,115.13,116.94,119.09,120.16,131.57,139.57,119.13,109.41,111.59,117.47,120.01,138.74,141.94,120.11,107.74,114.74,115.79,119.08,138.66,136.41,105.52,108.86,111.78,120.17,122.45,148.33,136.51,123.27,129.51,133.33,137.54,142.65,157.03,141.99,120.65,113.98,114.18,120.71,126.33,141.19,127.32,122.75,121.44,125.08,124.54,126.59,142,142.49,128.59,117.1,109.29,106.08,92.88,89.47,80.93,69.95,61.82,54.96,54.48,56.76,60.7,51.39,59.8,46.17,44.57,43.56,43.93,60.93,32.65,24.21,28.42,28.76,28.86,29.19,31.41,26.47,22.99,29.75,32.72,33.68,32.6,31.38,27.02,19.52,24.78,31.97,32.6,34.27,35.65,29.82,28.07,36.79,36.06,35.8,35.99,37.2,31.58,27.19,34.49,36.28,35.55,36.07,48.99,38.35,31.5,35.51,44.58,44.4,43.86,46.4,41.34,34.52,,,44.86,45.51,49.48,44.13,42.79,53.47,58.14,62.25,59.55,58.3,55.12,53.82,61.16,62.75,65.93,70.62,71.78,63.15,57.97,67.13,74.01,66.46,67.64,74.11,63.35,64.04,80.1,77.91,77.26,79.14,83.78,84.36,83.87,87.47,84.77,86.9,86.71,92.79,90.31,82.43,85.85,90.37,97.18,105.23,104.24,94.06,90.52,100.82,102.41,107.05,112.33,119.32,118.36,114.19,114.96,111.69,116.13,121.8,139.47,143.18,138.91,129.47,128.65
country/region,Ireland,transit,100,101.47,105.76,109.21,116.67,114.31,110.74,110.35,106.75,106.14,111.58,119.46,124.24,107.62,111.68,110.26,111.99,114.4,134.85,129.7,116.05,115.84,111.56,114.14,118.44,132.25,122.7,104.43,116.87,111.57,115.94,119.58,136.75,125.93,120.98,126.48,125.8,129.93,128.82,146.81,127.76,111.69,114.39,112.05,114.07,121.67,136.02,129.29,120.6,119.28,121.31,115.18,118.14,132.79,125.75,118.54,115.72,108.21,100.96,79.53,81.62,65.19,53.11,39.8,32.98,27.02,25.61,24.64,20.7,22.78,20.5,19.33,19.08,17.03,18.47,12.48,11.21,12.6,12.17,11.84,11.59,11.95,9.58,10.95,11.95,11.61,11.78,11.92,11.61,10.26,8.65,10.7,11.88,11.44,12.04,12.05,11.04,11.84,14.25,13.04,13.32,11.76,12.16,11.35,11.03,13.01,13.37,12.61,12.79,15.36,14.15,13.98,16.64,17.3,18.02,16.62,16.69,16.43,14.49,,,16.27,17.53,17.09,16.22,18.56,21.43,23.29,26.25,23.95,19.25,21.52,25.37,25.77,26.24,26.61,31,29.6,31.52,30.31,36.9,35.75,24.71,24.86,26.5,25.27,28.49,34.06,30.55,30.49,31.5,31.03,32.02,34.62,40.58,35.29,34.54,35.7,39.75,38.8,35.37,40.21,39.66,45.16,51.75,44.67,39.34,39.86,45.3,45.83,45.74,47.99,51.99,48.47,48.44,53.15,49.66,50.31,53.32,56.95,55.92,52.18,55.3,54.98
country/region,Ireland,walking,100,114.6,120.48,122.95,150.65,175.73,126.37,127.41,127.55,129.52,130.33,156,190.76,122.35,115.36,116.22,122.18,128.04,175.5,206.81,124.82,117.6,127.82,127.67,132,174.38,197.61,108.3,113.22,109.18,122.11,138.83,189,188.57,142.91,151.15,151.25,148.25,158.63,183.1,187.93,122.82,112.99,111.89,124.55,144.98,176.19,172.66,130.99,129.56,144.34,136.1,141.67,172.4,196.24,141.37,131.54,128.47,112.82,100.76,112.43,105.11,71.27,51.6,43.18,38.47,38.24,38.59,32.55,37.08,31.74,29.7,30.01,29.07,53.96,39.39,25.59,23.71,24.82,24.31,22.83,25.53,25.31,20.34,25.45,30.37,30.79,27.46,30.13,29.79,18.13,25.9,27.7,29.83,29.35,30.7,30.34,33.53,37.78,35.95,33.16,30.47,31.67,33.02,25.01,27.83,28.29,24.11,25.52,37.79,36.32,31.92,34.83,34.46,35.21,31.92,41.12,43.38,26.05,,,31.96,35.33,35.3,38.97,34.61,37.03,45.98,49.9,41.63,37.71,41.28,46.33,44.19,45.21,47.78,54.35,53.92,55.76,51.4,57.18,55.11,41.86,41.26,43.6,41.28,41.15,51.3,46.5,43.43,43.75,48.08,53.53,47.04,57.87,49.49,51.01,49.36,52.57,55.52,44.73,49.64,53.32,57.84,65.03,60.54,52.44,44.39,60.69,64.15,62.01,69.21,70.81,76.02,56.36,70.29,62.34,64.71,72.99,85.52,89.55,72.32,78.87,73.41
country/region,Ireland,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11,-6,8,6,2,8,1,-2,-3,1,-2,-1,4,3,-12,3,4,8,5,4,3,-3,0,-3,3,-3,-3,-19,-32,-36,-26,-59,-46,-48,-53,-59,-59,-49,-51,-60,-60,-63,-80,-83,-73,-73,-75,-74,-74,-78,-81,-68,-66,-69,-68,-73,-76,-90,-77,-68,-69,-84,-85,-87,-88,-83,-83,-83,-82,-83,-85,-87,-81,-81,-83,-73,-74,-77,-77,-74,-68,-69,-70,-70,-74,-77,-67,-66,-68,-68,-70,-74,-75,-60,-59,-59,-60,-64,-66,-66,-55,-55,-57,-56,-58,-63,-64,-58,-52,-56,-56,-56,-60,-60,-40,-43,-47,-48,-50,-51,-52,-37,-38,-41,-41,-43,-46,-48,-38,-37,-38,-38,-42,-47,-48,-26,-24,-28,-26,-32,-35,-36,-20,-23,-27,-24,-28,-33,-32,,
country/region,Ireland,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,-7,1,-2,-3,-1,-3,0,-2,3,3,0,3,5,-3,3,4,5,4,4,7,3,2,3,11,11,33,10,2,7,15,-24,-9,-10,-9,-3,-11,-18,-9,-18,-16,-13,-22,-37,-29,-25,-26,-23,-22,-23,-33,-24,-15,-17,-12,-18,-12,-58,-38,-20,-22,-17,-19,-21,-31,-22,-17,-18,-15,-15,-16,-28,-19,-16,-20,-15,-16,-15,-21,-25,-11,-12,-14,-11,-9,-24,-14,-11,-13,-10,-12,-11,-17,-12,-6,-4,-6,-8,-5,-10,-7,-3,-2,3,3,4,-2,-6,5,-3,-2,-5,-5,-10,-3,-2,-5,-3,-1,3,-5,-1,2,1,-1,2,8,-1,-5,0,0,4,3,3,-7,-1,0,-2,1,1,2,-7,1,1,-3,2,2,5,-2,,
country/region,Ireland,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36,-29,12,12,-5,12,-1,-4,1,3,6,9,15,0,-28,-5,12,29,25,15,10,-1,0,-13,15,-3,-13,1,-15,20,21,67,14,29,16,-12,39,7,10,13,15,0,-59,-59,-37,-22,-31,-38,-35,-46,-59,-9,6,-10,-24,-26,-31,-69,-15,-1,-5,-7,-26,-46,-36,6,10,0,1,-8,-19,-43,13,9,-28,-27,-22,-14,-11,40,18,21,6,21,22,-40,22,29,-8,-53,-63,-64,-69,-54,-36,-17,-40,-60,-61,-31,-28,-15,-14,-12,-24,-24,-22,30,0,-41,-45,-41,-56,-30,8,-14,-29,-24,-24,-6,5,48,23,-1,-9,-11,-6,1,-7,2,43,54,4,-29,-30,3,46,9,45,-1,13,6,61,3,0,42,50,65,44,,
country/region,Ireland,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12,-6,0,0,-2,-1,-1,-1,1,1,0,1,4,4,-9,2,1,2,1,0,0,-4,-4,-6,-3,-9,-14,-30,-34,-35,-45,-62,-52,-54,-57,-59,-53,-61,-62,-63,-65,-66,-75,-78,-76,-74,-75,-76,-76,-74,-79,-74,-71,-72,-73,-76,-70,-82,-80,-71,-71,-66,-68,-65,-66,-65,-63,-63,-64,-64,-58,-67,-63,-62,-67,-67,-66,-56,-59,-69,-60,-59,-63,-61,-52,-68,-61,-59,-58,-55,-59,-49,-54,-51,-43,-43,-50,-56,-47,-36,-45,-41,-40,-41,-42,-30,-32,-44,-36,-45,-47,-53,-51,-44,-40,-44,-46,-50,-48,-33,-32,-35,-36,-37,-44,-43,-29,-30,-44,-41,-34,-33,-39,-34,-39,-38,-36,-38,-34,-39,-24,-29,-34,-39,-38,-33,-31,-13,-19,,
country/region,Ireland,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-1,-8,-7,-9,-12,-13,-1,0,1,3,2,2,1,-3,2,1,3,1,2,1,0,0,0,1,-1,-3,-26,-12,-16,-49,-80,-46,-48,-48,-39,-39,-51,-53,-55,-56,-56,-53,-52,-68,-70,-70,-70,-69,-56,-52,-69,-69,-69,-69,-74,-54,-56,-86,-68,-68,-67,-66,-51,-47,-65,-65,-65,-65,-65,-48,-45,-64,-64,-65,-65,-64,-45,-41,-83,-62,-62,-62,-61,-42,-39,-61,-60,-60,-60,-60,-40,-34,-56,-55,-55,-55,-54,-34,-26,-54,-52,-52,-52,-52,-24,-18,-78,-51,-51,-50,-49,-25,-17,-48,-48,-49,-49,-48,-18,-13,-46,-46,-47,-47,-46,-17,-8,-48,-47,-46,-46,-45,-18,-12,-44,-43,-44,-44,-44,-11,-8,-44,-44,-43,-42,-42,-8,-4,,
country/region,Ireland,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,2,2,3,0,0,0,0,0,0,0,3,0,0,-1,0,0,0,1,0,2,1,2,3,12,9,9,18,29,20,22,23,17,13,21,22,24,25,26,21,19,29,30,31,33,34,22,20,29,28,29,31,34,21,21,34,28,29,31,33,22,19,28,28,28,28,31,19,18,27,24,29,28,31,19,17,32,26,27,28,29,17,17,25,25,26,25,28,17,16,23,21,22,24,27,16,12,21,20,21,21,22,11,10,25,18,21,22,23,15,11,17,18,19,21,21,10,8,16,17,18,19,18,9,8,18,17,16,16,17,10,9,14,14,15,14,15,5,5,12,13,14,13,12,3,3,,
