geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,New Zealand,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,5,5,5,5,5,5,5,6,8,8,12,20,28,39,52,102,102,155,205,283,368,451,514,589,647,708,797,868,950,1039,1106,1160,1210,1239,1283,1312,1330,1349,1366,1386,1401,1409,1422,1431,1440,1445,1451,1456,1461,1470,1469,1472,1474,1476,1479,1485,1487,1487,1486,1488,1489,1490,1492,1494,1497,1497,1497,1497,1498,1498,1499,1499,1499,1503,1503,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1506,1506,1507,1507,1509,1511,1513,1515,1516,1519,1520,1522,1526,1528,1528,1528,1530,1530,1530,1533,1534,1536,1537,1540,1542,1543,1544,1544,1545,1547,1548,1549,1550,1553,1554,1555,,,
country/region,New Zealand,driving,100,102.94,105.58,115.94,107.02,97.92,101.9,103.19,106.85,109.24,128.77,115.17,100.11,103.33,102.37,102.63,103.61,110.78,105.37,91.13,98.12,108.51,119.93,100.48,112.09,107.56,104.48,104.59,110.32,112.65,114.02,135.42,118.38,103.9,107.75,110.15,112.45,115.93,127.27,116.53,105.16,103.24,108.05,110.38,112.87,120.26,111.59,98.86,97.36,101.53,104.21,105.76,117.9,111.65,97.25,97.97,97.82,101,101.58,110.32,103.76,87.15,84,79.91,80.12,76.21,80.46,68.01,55.18,62.7,61.24,47.6,15.98,14.39,11.5,11.1,14.53,15.58,16.47,16.2,16.41,13.63,12.7,16.14,17.09,18.02,19.08,12.05,15.28,11.66,12.05,16.53,16.98,17.32,17.49,14.61,13.15,16.88,18.24,19.53,19.97,21.57,16.95,16.29,17.68,48.2,47.15,44.28,46.83,39.17,28.4,39.73,39.84,42.8,43.14,48.08,45.2,38.1,41.93,,,64.64,73,71.32,61.18,68.79,70.02,72.57,75.25,83.49,80.19,64.58,70.42,74.37,77.08,80.53,103.61,97.35,80.05,77.57,78.27,82.17,81.38,92.73,92.23,76.96,77.04,81.39,84.96,86.75,97.4,99.07,82.44,80.67,84.74,87.76,89.49,102.27,102.87,80.7,82.21,86.61,90.27,93.28,102.85,105.85,86.09,85.02,89.26,92.65,97.14,109.23,114.36,94.21,97.02,102.24,106.63,113.33,124.83,119,103.83,102.77,105.9,110.66
country/region,New Zealand,transit,100,97.91,99.45,100.19,94,88.77,106.3,104.91,104.71,103.93,105.2,101.16,94.26,99.81,113.06,109.23,106.71,112.72,104.59,94.57,110.38,110.14,108.93,102.24,113.16,104.44,105.49,116.46,113.3,114.25,113.76,118.54,115.55,108.84,120.93,120.34,122.23,115.45,119.29,116.72,108.63,118.46,125.23,119.64,115.73,118.41,117.09,105.37,108.93,116.12,111.24,105.67,108.89,108.64,99.25,100.97,108.34,107.31,101.74,101.76,95.62,81.77,80.55,75.95,71.63,67.02,61.22,56.01,44.51,40.1,29.96,21.63,12.49,12.09,11.37,10.56,12,12.31,11.39,12.55,10.43,10.93,10.21,11.89,11.11,11.71,11.08,10.36,12.11,10.43,11.15,9.79,10.74,9.94,10.75,11.24,11.89,10.74,12.75,12.26,11.98,14.28,12.89,14.51,14.3,22.45,22.34,20.75,22.09,19.1,16.05,20.61,19.17,18.5,21.31,21.62,21.15,20.14,24.76,,,36.3,35.28,37.88,34.85,44.52,42.86,42.6,41.53,47.38,49.17,39.2,42.34,44.65,45.14,48.04,51.58,55.31,46.34,46.8,51.8,49.63,49.57,55.64,57.36,49.49,54.08,54.33,55.73,55.58,56.17,68.45,59.36,53.83,57.8,59.57,55.16,60.61,63.56,56.55,55.79,62.26,63.65,60.78,67.12,69.34,58.72,62.35,64.92,62.34,62.54,67.47,64.64,58.97,74.19,74.81,74.5,71.06,75.02,70.87,65.78,77.14,77.05,76.42
country/region,New Zealand,walking,100,100.65,101.9,104.58,101.78,91.61,98.34,103.46,105.69,106.95,110.06,112.21,102.89,94.75,104.44,103.34,104.18,105.46,110.03,94.23,99.42,110.2,110.08,97.64,115.26,109.69,101.32,109.78,111.25,113.32,117.95,127.72,131.05,115.87,116.79,116.44,119.24,119.77,125.97,134.07,126.18,120.35,120.96,121.2,121.24,124.22,126.98,104.86,109.21,106.72,106.18,111.45,117.8,127.14,110.31,95.41,98.57,99.72,101.42,109,109.03,88.34,81.03,76.32,77.25,69.39,70.28,65.76,53.25,48.73,46.54,39.75,24.38,22.45,24.13,24.91,23.54,27.85,27.22,26.67,25.54,27.65,28.27,23.51,24.63,23.89,23.23,27.29,28.19,22.94,19.32,19.67,19.63,21.87,20.85,23.19,23.34,22.37,24.35,25.93,23.51,27.04,27.71,26.83,25.44,42.08,42.31,38.87,40.71,36.47,24.06,31.53,30.04,34.75,35.2,40.57,41.27,35.96,34.1,,,51.69,56.19,58.14,47.34,54.31,55.37,56.94,58.63,64.96,67.5,52.37,48.88,56.23,57.96,63.5,73.25,83.27,69.88,52,59.71,62.55,61.64,71.16,76.97,64.52,58.6,62.48,66.92,68.73,76.24,90.49,77.09,63.03,64.96,68.79,63.79,77.46,90.13,72.96,65.11,69.32,71.92,73.18,81.47,92.43,78.03,62.42,69.58,70.91,74.85,88.21,97.23,85.67,79.85,85.98,86.74,95.31,107.91,109.34,90.67,87.5,88.3,90.62
country/region,New Zealand,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,-2,-1,1,1,4,7,5,-1,-1,0,0,4,6,1,-4,-4,-2,0,4,7,3,-6,-4,-3,-2,2,4,-1,-7,-9,-8,-10,-13,-17,-25,-12,-19,-38,-92,-91,-92,-91,-88,-87,-87,-88,-89,-91,-90,-88,-88,-87,-86,-95,-88,-92,-91,-89,-88,-89,-90,-91,-91,-89,-87,-87,-88,-88,-89,-88,-89,-68,-70,-81,-80,-83,-87,-80,-81,-79,-72,-70,-71,-72,-72,-70,-70,-35,-35,-31,-34,-33,-36,-29,-28,-24,-18,-25,-29,-27,-26,-24,-20,-12,-15,-18,-29,-27,-27,-16,-8,-12,-21,-19,-17,-14,-9,-1,-6,-18,-17,-15,-18,-8,1,-8,-16,-15,-14,-13,-7,-2,-6,-17,-13,-13,-11,-4,1,-4,-9,-7,-9,-4,-1,2,-2,,
country/region,New Zealand,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,-2,2,2,0,0,4,3,-1,1,5,1,4,13,4,-1,0,0,1,2,4,4,-4,-2,-2,-1,0,3,6,5,10,13,22,12,6,-4,29,12,4,-58,-48,-53,-54,-44,-38,-38,-37,-37,-46,-48,-39,-35,-31,-18,-91,-33,-59,-45,-37,-36,-35,-37,-45,-50,-42,-36,-35,-35,-31,-53,-37,-41,-28,-30,-25,-23,-29,-38,-30,-29,-23,-25,-21,-20,-25,-33,-25,-25,-9,-8,-8,-10,-10,-10,-13,-12,-8,-9,-15,-16,-12,-12,-9,-5,-4,-13,-9,-11,-12,-10,-9,-8,-10,-14,-11,-12,-10,-7,-4,-8,-12,-10,-10,-14,-7,-5,-8,-12,-8,-10,-7,-7,-6,-8,-13,-10,-11,-9,-6,-5,-8,-10,-5,-10,-6,-4,-4,-7,,
country/region,New Zealand,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-11,-5,1,0,-3,-5,-12,-10,-1,7,2,-6,-4,-2,-1,-10,-6,-17,-15,-9,2,-6,-18,-11,-14,-15,-12,0,-8,-19,-22,-22,-34,-37,-38,-36,-50,-52,-52,-77,-80,-80,-78,-73,-66,-66,-69,-72,-75,-74,-71,-67,-74,-77,-68,-75,-77,-76,-77,-76,-75,-81,-77,-77,-71,-66,-64,-74,-68,-69,-69,-63,-48,-51,-53,-51,-56,-72,-59,-64,-48,-55,-51,-41,-44,-54,-52,-53,-45,-42,-35,-33,-39,-37,-38,-42,-39,-33,-53,-57,-41,-45,-40,-45,-26,-31,-34,-36,-40,-51,-51,-41,-38,-40,-35,-35,-40,-45,-30,-33,-39,-35,-36,-56,-46,-30,-49,-36,-33,-42,-48,-47,-40,-47,-50,-41,-43,-44,-37,-25,-43,-43,-35,-45,-35,-27,-22,-34,,
country/region,New Zealand,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,15,8,11,11,10,1,2,18,10,12,12,13,3,8,16,8,9,10,9,3,5,12,6,7,7,6,-2,-2,3,-9,-10,-14,-20,-32,-36,-34,-51,-61,-84,-84,-84,-84,-85,-85,-85,-85,-86,-84,-84,-85,-85,-85,-85,-89,-82,-85,-89,-87,-86,-86,-87,-84,-85,-85,-85,-84,-85,-84,-81,-82,-87,-73,-72,-69,-69,-65,-76,-70,-72,-68,-70,-70,-64,-68,-70,-70,-68,-50,-48,-32,-38,-39,-42,-47,-47,-45,-38,-52,-48,-46,-44,-40,-40,-31,-41,-56,-41,-39,-41,-43,-41,-46,-41,-41,-38,-38,-36,-33,-33,-34,-36,-33,-38,-34,-35,-42,-32,-34,-32,-36,-33,-34,-43,-33,-33,-33,-32,-29,-27,-38,-33,-33,-36,-31,-30,-29,-32,,
country/region,New Zealand,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,31,15,14,18,17,4,1,32,15,16,19,19,5,1,34,17,16,20,19,6,1,30,16,16,19,18,6,1,30,13,10,12,9,0,-8,6,-32,-49,-74,-74,-63,-59,-71,-75,-74,-74,-73,-60,-57,-70,-74,-74,-73,-88,-58,-59,-85,-74,-73,-72,-72,-57,-55,-68,-71,-70,-68,-66,-56,-49,-81,-47,-48,-46,-44,-34,-39,-37,-46,-44,-42,-40,-27,-30,-33,-40,-39,-28,-28,-12,-17,-2,-14,-14,-10,-9,-7,-16,-1,-9,-9,-5,-9,-5,-11,-72,-8,-6,-2,-2,-2,-8,9,-3,-3,1,0,1,-4,11,-2,-2,-1,-1,-1,-6,9,-4,-3,0,-1,-4,-7,11,-1,-2,1,0,-4,-10,-4,-15,-15,-12,-14,-5,-10,,
country/region,New Zealand,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-3,-1,-2,-2,-2,2,1,-3,-1,-2,-2,-2,0,1,-2,-1,-1,-1,-1,1,1,-2,0,-1,-1,-1,1,1,-1,1,2,3,5,8,8,6,16,20,35,38,26,22,30,33,34,34,37,25,21,30,33,33,33,42,24,22,34,34,34,34,37,25,21,29,33,33,33,35,24,20,32,22,14,24,25,18,18,20,24,23,23,24,16,14,19,22,21,15,16,8,8,8,11,11,11,11,7,8,9,10,10,9,9,5,5,17,8,9,9,9,7,7,6,7,7,7,7,5,5,4,6,6,8,7,5,6,4,6,6,7,7,6,6,5,6,6,6,6,4,5,6,7,8,7,7,4,4,,
