geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Singapore,confirmed_cases,0,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,33,40,45,47,50,58,67,72,75,77,81,84,84,85,85,89,89,91,93,93,93,102,106,108,110,110,117,130,138,150,150,160,178,178,200,212,226,243,266,313,345,385,432,455,509,558,631,683,732,802,844,879,926,1000,1049,1114,1189,1309,1375,1481,1623,1910,2108,2299,2532,2918,3252,3699,4427,5050,5992,6588,8014,9125,10141,11178,12075,12693,13624,14423,14951,15641,16169,17101,17548,18205,18778,19410,20198,20939,21707,22460,23336,23822,24671,25346,26098,26891,27356,28038,28343,28794,29364,29812,30426,31068,31616,31960,32343,32876,33249,33860,34366,34884,35292,35836,36405,36922,37183,37527,37910,38296,38514,38965,39387,39850,40197,40604,40818,40969,41216,41473,41615,41833,42095,42313,42432,42623,42736,42955,43246,43459,43661,43907,44122,44310,44479,44664,44800,44983,45140,45298,45423,45614,45783,45961,46283,46630,46878,47126,47453,47655,47912,48035,,,
country/region,Singapore,driving,100,101.95,103.48,112.19,124.68,107.62,100.58,104.77,104.16,103.24,97.99,82.12,84.87,85.04,80.35,77.74,79.51,84.99,98.58,89.63,84.3,84.9,87.91,86.66,90.06,96.27,78.64,75.57,77.83,78.98,79.82,84.98,93.03,77.05,73,77.12,77.77,79.39,83.23,92.76,81.13,76.11,78.15,79.54,81.05,83.14,93.76,82.91,77.65,79.17,79.24,81.32,85.11,94.99,81.06,77.08,77.37,79.71,78.92,79.9,90.07,78.2,75.54,73.21,78.27,76.03,76.03,82.4,68.64,63.64,65.53,64.92,65.26,66.16,69.19,59,60.63,62.49,63.1,62.37,63.77,67.51,60.4,67.85,57.88,41.53,38.14,35.87,37.66,34.53,37.34,36.6,37.98,36.77,38.99,40.78,36.59,38.2,36.78,37.47,37.36,38.4,37.86,34.48,35.94,36.99,37.18,38.37,37.49,39.94,36.42,38.38,39.6,40.14,38.84,43.15,44.61,45.58,42.86,,,42.48,44.11,47.99,42.49,42.77,43.19,43.42,43.87,45.83,48.89,44.45,38.78,42.79,44.17,45.21,45.56,49.49,45.17,45.34,51.92,54.1,53.74,54.98,57.58,51.94,54.92,53.76,55.23,53.21,56.84,57.34,53.97,55.11,54.26,54.56,56.49,66.63,77.51,72.72,70.04,70.19,72.21,73.01,77.58,87.62,78.11,76.1,75.52,78.87,76.81,81.69,91.9,81.39,75.71,76.27,77.74,80.61,83.33,92.81,78.62,75.14,75.03,79.15
country/region,Singapore,transit,100,98.45,96.46,105.04,120.4,107.33,93.66,92.37,92.08,91.49,93.31,77.19,77.7,80.27,77.87,73.42,69.6,76.26,90.92,79.48,73.83,77.39,79.2,75.15,76.62,82.71,68.72,62.02,65.32,66.01,67.32,71.54,79.96,67.16,62.47,64.09,65.28,65.97,69.44,79.72,71.6,64.17,64.06,65.47,70.42,71.92,81.48,72.34,67.37,68.05,69.37,69.48,73.18,81.88,71.49,65.74,66.03,68.47,68.05,68.33,79.59,68.72,67.93,65.47,66.84,65.88,65.29,68.99,57.98,51.17,51.62,50.2,48.44,48.45,49.52,41.9,43.9,43.79,45.57,44.39,42.86,42.04,38.73,39.92,31.11,20.82,18.3,15.71,15.42,14.46,15.79,13.99,14.16,12.77,13.18,13.93,12.37,13.76,12.99,12.61,12.12,12.17,12.57,11.74,12.39,13.22,13.11,13.17,12.99,13.27,12.71,14.2,13.72,14.3,13.28,14.91,14.58,13.82,14.49,,,15.11,15.28,16.09,15.17,16.76,16.11,16.29,15.9,16.44,15.75,15.76,15.06,16.76,16.89,16.66,17.07,18.18,16.94,19.88,24.62,24.91,23.73,23.19,23.85,21.84,25.02,24.6,25.03,23.8,25.04,24.16,22.5,25.66,26.36,25.75,27.01,34.59,41.9,38.5,41.62,43.79,44.53,46.98,49.19,55.21,51.47,50.26,49.87,52.3,53.23,53.93,64.03,57.08,54.45,54.43,53.57,55.55,58.49,61.95,56.63,51.83,51.19,55.41
country/region,Singapore,walking,100,104.42,104.79,110.5,133.23,122.37,100.68,98.06,101.62,103.46,104.9,97.21,98.59,94.88,85.01,78.54,72.46,81.35,97.23,92.56,76.7,76.38,80.69,80.86,83.76,96.94,84.66,67.46,65.72,63.56,68.26,73.74,89.89,78.75,64.12,66.4,66.27,69.15,69.64,84.98,78.55,63.35,63.19,66.4,68.18,69.5,85.62,79.27,65.92,65.31,65.96,68.43,69.33,84.43,75.32,62.08,62.11,64.7,63.38,64.32,79.65,71.84,61.54,57.76,61.79,59.05,60.35,70.86,59.69,47.5,45.79,47.03,48.46,47.28,54.72,50,45.79,43.32,47.08,45.28,44.38,52.39,52.34,51.39,42.6,32.36,30.95,34.31,34.88,36.09,32.33,27.87,27.23,25.82,28.2,30,30.72,29.35,27.92,27.71,27.53,25.31,25.87,27.17,25.06,25.66,26.32,26.11,27.22,29.64,29.03,27.62,27.35,28.69,28.99,31.21,33.3,34.56,29.52,,,29.4,30.3,34.17,31.67,30.82,29.73,29.48,30.41,30.78,34,34.8,32.95,32.12,31.78,31.51,32.59,37.16,35.96,33.08,35.09,38.2,36.26,34.55,40.96,40.11,37.33,36.38,37.92,35.17,37.47,38.92,41.82,38.11,36.08,34.89,36.45,42.48,53,50.34,46.85,45.95,49.16,50.26,55.62,66.61,61.16,54.31,52.68,57.82,58.18,59.03,73.26,67,57.5,54.85,54.35,56.01,77.25,75.35,65.29,52.35,51.25,54.28
country/region,Singapore,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14,-19,-12,-13,-14,-14,-11,-11,-14,-12,-10,-12,-12,-8,-8,-11,-8,-8,-11,-12,-8,-10,-11,-11,-11,-13,-13,-10,-11,-14,-10,-8,-11,-13,-11,-13,-18,-16,-13,-16,-18,-20,-23,-28,-21,-20,-23,-25,-21,-24,-23,-15,-51,-59,-57,-63,-61,-64,-60,-58,-60,-61,-60,-65,-66,-65,-64,-66,-68,-70,-68,-70,-67,-66,-67,-67,-68,-67,-69,-66,-65,-64,-66,-67,-65,-65,-66,-61,-63,-64,-63,-62,-65,-62,-62,-62,-63,-63,-61,-66,-62,-61,-61,-63,-62,-60,-62,-61,-55,-57,-59,-56,-56,-60,-56,-56,-58,-58,-57,-59,-60,-56,-56,-57,-56,-36,-36,-37,-35,-37,-36,-35,-32,-29,-34,-31,-31,-32,-32,-28,-25,-29,-29,-30,-31,-27,-25,-27,-30,,
country/region,Singapore,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9,-17,-6,-9,-14,-13,-12,-9,-12,-8,-6,-13,-9,-10,-7,-9,-5,-5,-12,-11,-9,-8,-10,-7,-7,-12,-9,-10,-8,-10,-2,16,-2,-1,-6,-4,-8,-3,3,-1,4,-1,3,-6,-1,1,-9,-5,18,8,-1,12,-6,-21,-12,-13,-21,-31,-21,-14,-22,-19,-17,-22,-28,-20,-20,-25,-26,-29,-27,-35,-24,-22,-29,-24,-17,-22,-32,-21,-18,-19,-14,-19,-19,-29,-23,-15,-22,-20,-17,-16,-27,-15,-14,-20,-17,-14,-10,-28,-9,-18,-20,-21,-16,-14,-22,-18,-11,-17,-20,-7,-9,-18,-11,-11,-20,-14,-11,-14,-19,-11,-15,-20,-15,-3,-4,-13,-4,-8,-11,-6,-2,1,-9,-2,-4,-10,-8,-3,0,-9,-5,-2,-9,-5,15,-2,-8,,
country/region,Singapore,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,-18,-7,-7,-6,-10,-14,-5,-3,-12,-2,-4,-5,-8,-2,-1,-7,-3,-7,-13,-8,-16,-7,-9,-4,-9,-8,-9,-1,4,1,2,-3,-2,-6,-15,-18,-23,-9,-13,-15,-24,-15,-12,-16,-10,-15,-22,-29,-27,-27,-26,-37,-46,-37,-44,-51,-57,-53,-48,-52,-52,-57,-62,-61,-57,-60,-64,-66,-73,-71,-72,-65,-63,-63,-70,-73,-69,-70,-67,-63,-65,-60,-68,-68,-69,-64,-59,-62,-61,-64,-65,-67,-60,-58,-60,-61,-69,-66,-63,-54,-58,-57,-59,-62,-63,-61,-63,-54,-54,-62,-59,-63,-56,-54,-50,-57,-52,-58,-69,-58,-51,-53,-56,-51,-41,-50,-42,-41,-46,-49,-36,-36,-32,-30,-36,-35,-35,-32,-33,-30,-25,-31,-33,-34,-36,-17,-29,-18,,
country/region,Singapore,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17,-22,-14,-15,-15,-12,-12,-16,-19,-14,-13,-14,-9,-11,-13,-16,-12,-13,-12,-9,-10,-15,-16,-14,-13,-13,-9,-12,-15,-18,-16,-16,-19,-19,-21,-23,-31,-24,-23,-25,-25,-27,-33,-40,-29,-29,-31,-33,-32,-36,-40,-32,-54,-63,-63,-75,-66,-70,-66,-65,-66,-66,-65,-66,-69,-68,-69,-69,-70,-71,-70,-72,-70,-69,-69,-67,-74,-67,-69,-68,-67,-66,-72,-66,-64,-67,-66,-64,-64,-64,-64,-62,-67,-64,-63,-63,-62,-64,-61,-67,-72,-63,-62,-61,-62,-61,-64,-62,-51,-52,-52,-52,-56,-60,-52,-52,-53,-51,-52,-57,-60,-52,-52,-52,-49,-40,-39,-43,-41,-42,-40,-38,-37,-32,-39,-38,-39,-38,-37,-35,-32,-38,-41,-38,-38,-34,-48,-35,-39,,
country/region,Singapore,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-7,-4,-5,-5,-5,0,-3,-5,-3,-3,-4,-4,1,0,-3,-2,-1,-2,-2,3,0,-2,-1,-1,-2,-2,1,0,-3,-11,-12,-14,-16,-13,-3,-8,-11,-13,-15,-16,-14,-8,-15,-18,-18,-22,-27,-20,-7,-10,-24,-52,-63,-64,-83,-51,-49,-64,-65,-66,-66,-65,-51,-49,-66,-67,-68,-69,-67,-55,-52,-68,-68,-69,-69,-83,-54,-49,-67,-67,-67,-83,-66,-51,-46,-66,-65,-65,-66,-64,-48,-43,-64,-63,-63,-64,-61,-47,-46,-82,-61,-61,-61,-58,-42,-37,-60,-45,-47,-47,-44,-36,-34,-46,-46,-47,-47,-44,-35,-31,-44,-45,-44,-44,-37,-21,-15,-41,-41,-40,-40,-36,-20,-13,-36,-36,-36,-37,-33,-17,-13,-44,-37,-35,-36,-72,-18,-12,,
country/region,Singapore,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,7,8,7,8,6,6,7,6,7,6,7,5,5,6,6,6,6,7,6,5,6,6,7,6,8,6,6,9,9,11,12,15,11,11,12,12,14,14,18,15,15,16,15,18,19,21,15,14,16,32,39,38,53,32,27,40,40,42,42,47,32,27,41,42,44,44,49,34,28,43,42,43,43,55,33,28,42,42,43,48,48,32,27,42,41,43,41,45,31,27,41,41,42,41,46,31,27,48,40,41,41,45,31,26,40,33,35,35,38,28,24,33,33,35,34,38,28,24,33,33,34,33,31,20,18,28,28,29,28,30,18,17,25,25,25,25,27,17,15,27,24,25,23,39,18,16,,
