geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Slovakia,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,10,16,32,44,54,63,72,105,123,137,178,185,186,204,216,226,269,292,314,336,363,400,426,450,471,485,534,581,682,701,715,728,742,769,835,863,977,1049,1089,1161,1173,1199,1244,1325,1360,1373,1379,1381,1384,1391,1396,1403,1407,1408,1413,1421,1429,1445,1455,1455,1457,1457,1465,1469,1477,1480,1493,1494,1495,1495,1496,1502,1503,1504,1509,1511,1513,1515,1520,1520,1521,1521,1522,1522,1525,1526,1526,1528,1528,1530,1531,1533,1541,1542,1545,1548,1552,1552,1561,1562,1576,1586,1587,1588,1589,1607,1630,1643,1657,1664,1665,1667,1687,1700,1720,1749,1764,1765,1767,1798,1851,1870,1893,1901,1902,1908,1927,1951,1965,1976,1979,1980,,,
country/region,Slovakia,driving,100,101.89,100.42,100.04,109.34,98.69,94.91,95.38,99.44,101.42,102.73,119.31,99.99,96.78,98.29,101.22,100.6,101.16,113.27,96.94,101.62,103.84,104.3,100.71,106.38,117.68,108.21,105.76,100.43,104.5,110.66,110.58,127.24,119.69,112.7,104.5,107.99,111.44,112.03,122.63,107.5,106.68,103.01,105.1,106.02,105.13,112.45,90.88,92.63,98.39,101.52,106.83,107.18,111,91.05,90.48,86.81,83.1,77.78,70.13,58.52,43.65,42.59,42.59,45.02,46.27,48.54,49.77,36,39.63,43.75,46.58,47.58,51.2,56.31,53.08,50.72,52.41,55.05,57.23,58.71,59.76,52.44,59.09,63.27,74.45,43.78,38.23,30.44,31.24,34.41,39.93,68.71,71.72,73.24,74.63,64.27,60.72,70.21,72.28,73.89,78.38,76.76,64.45,76.78,74.29,78.7,73.39,78.5,66.48,70.85,73.32,79.23,80.73,82.15,91.96,88.75,84.66,88.82,,,86.99,86.08,88.8,83.2,89.74,90.95,94.29,99.89,101,102.85,78.99,90.84,90.92,94.35,102.35,99.35,104.59,87.6,83.92,98.33,104.71,107.43,109.01,116.96,110.04,103.49,107.5,109.66,113.17,121.38,131.14,115.18,121.95,118.83,119.04,124.11,124.52,135.7,107.87,115.43,124.01,128.88,129.63,134.12,146.3,127.6,136.68,128.44,137.88,144.32,142.58,162.33,145.12,161.49,146.1,148.43,152.02,157.6,174.79,138.57,159.11,150.78,158.63
country/region,Slovakia,transit,100,90.14,96.37,93.12,97.58,96.28,93.21,92.37,85.49,96.56,94.79,109.21,106.7,103.53,91.07,92,96.19,98.33,107.07,96.93,103.91,102.05,94.88,101.49,103.35,106.51,106.05,102.79,105.02,97.95,101.58,94.6,111.91,110.33,102.23,117.77,114.14,109.86,105.77,112.47,97.3,112.47,95.72,109.49,100.74,101.49,106.05,83.63,84.37,100.19,96.74,92.28,92.28,94.6,87.81,81.4,70.51,63.44,55.63,57.49,36.65,32.65,35.26,30.98,34.33,30.14,36.93,34.05,29.86,28.84,28.56,25.12,32.37,34.33,36.28,35.35,35.53,32.93,32.09,33.77,34.33,32.84,35.07,46.14,39.07,40.19,33.4,45.12,36.74,38.6,42.14,36.84,38.79,48.47,45.58,48.56,48.09,43.91,43.35,47.16,43.16,49.49,45.67,46.79,54.6,50.79,52.28,47.53,42.33,48.93,55.07,46.51,48.19,50.98,45.95,49.95,57.4,53.3,64,,,55.26,45.49,51.35,51.07,66.14,59.81,59.16,63.07,67.35,63.16,47.44,62.7,55.44,65.4,58.23,56.84,61.77,54.42,55.81,60.47,68.84,67.91,66.51,70.23,73.12,80,79.91,74.23,77.67,81.95,79.16,76.65,80.56,85.95,82.42,87.44,76.65,72.65,71.26,80.47,97.49,98.14,92.84,94.6,97.67,89.12,94.51,96,109.3,100.37,107.26,117.86,102.79,109.4,108,104.56,108.09,103.26,110.79,93.4,110.7,112,117.86
country/region,Slovakia,walking,100,102.64,106.86,112.4,126.02,108.33,81.93,100.87,105.31,106.9,114.22,129.07,119.17,86.21,103.51,104.72,109.13,117.4,131.52,128.93,97.41,110.68,106.01,107.9,121.28,141.41,127.89,101.67,114.12,124.69,128.57,139.86,151.25,139.13,110.51,126.22,133.59,124.98,131.81,146.91,132.93,98.54,127.29,139.5,131.45,121.57,123.41,117.47,80.57,106.76,109.65,112.74,119.48,128.21,126.12,92.87,97.45,90.46,80.59,88.23,53.74,42.43,41.43,39.54,41.99,43.83,52.32,49.75,24.62,31.72,35.84,38.65,36.25,44,53.45,54.49,47.23,41.94,42.6,49.26,52.99,54.2,55.42,61.54,58.15,66.32,46.74,53.04,51.92,55.7,62.13,43.67,50.89,66.83,73.05,69.96,74.08,49.02,66.76,68.38,71.97,80.59,73.88,59.2,72.26,69.33,78.14,65.37,72.47,56.53,70.83,59.8,71.7,71.96,70.46,79.62,80.69,84.52,73.81,,,72.21,78.49,71.84,74.65,81.95,89.29,88.57,101.07,93.94,101.07,62.4,67.58,78.84,86.43,95.71,80.5,92.73,83.26,54.57,95.3,100.2,100.8,96.9,96.53,106.25,79.82,96.76,99.25,100.9,108.99,122.31,107.03,92.17,121.1,119.94,123.5,111.49,122.27,84.66,85.85,119.33,138.38,136.05,132.2,141,124.18,106.25,120.91,143.28,148.34,141.99,149.38,145.21,126.03,138.38,157.09,156.29,152.97,157.94,114.27,129.68,156.34,160.62
country/region,Slovakia,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14,8,6,3,5,-2,6,0,5,5,-1,3,-3,10,-4,2,-2,-1,2,-4,-2,5,-1,-7,-13,-12,-38,-69,-74,-65,-71,-70,-69,-71,-82,-80,-69,-69,-70,-69,-68,-72,-82,-61,-62,-62,-60,-62,-68,-77,-51,-61,-71,-70,-92,-79,-86,-92,-67,-65,-61,-63,-71,-85,-59,-62,-61,-60,-62,-69,-75,-55,-56,-59,-48,-86,-59,-78,-50,-55,-48,-35,-75,-38,-61,-35,-43,-47,-41,-49,-39,-55,-27,-32,-24,-22,-27,-34,-61,-24,-28,-24,-26,-27,-29,-72,-10,-21,-19,-19,-23,-16,-41,-11,-15,-15,-6,-10,-11,-39,-1,-6,-6,-8,-11,-17,-20,-4,-2,-2,-2,-9,-12,-4,-1,11,-2,-2,-8,-5,-20,4,3,1,1,-6,-13,8,,
country/region,Slovakia,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,4,3,-1,0,-1,3,2,2,3,-1,4,4,18,0,4,0,1,4,4,8,23,11,9,6,20,11,-24,-35,-15,-27,-24,-24,-26,-36,-42,-25,-26,-28,-26,-21,-20,-89,-22,-25,-24,-21,-18,-19,-88,-6,10,-1,-5,-92,-12,-89,-92,-12,-13,-13,-12,-19,-89,-11,-18,-18,-17,-15,-14,-85,-10,-14,-6,10,-89,4,-88,-5,-13,0,20,-83,20,-82,4,-3,-8,-3,-4,4,-81,2,-4,-2,2,-1,5,-84,3,-5,-4,-1,0,6,-88,9,-3,-1,1,3,8,-80,7,-1,0,6,5,11,-80,12,7,3,2,4,1,-32,4,3,5,5,4,1,-14,7,5,-2,1,3,10,-73,12,6,1,4,2,1,-3,,
country/region,Slovakia,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,25,43,45,29,31,14,30,-22,17,34,6,14,-3,5,-18,13,-3,2,23,-8,-2,18,15,26,-10,19,-23,-29,-18,-26,-12,3,5,-5,-71,-50,-45,-24,-36,-24,-1,-1,-9,-38,-22,-11,-10,-12,-7,26,6,34,4,8,17,-4,32,17,-22,5,28,27,30,-20,25,38,42,40,38,0,55,36,67,12,49,23,34,9,46,16,-3,41,137,90,81,31,14,-10,9,-28,57,89,75,76,58,47,71,15,18,1,13,48,14,28,35,-42,67,49,62,39,2,100,63,24,37,12,52,71,85,61,56,48,53,25,32,-3,5,44,95,86,86,72,93,95,46,126,115,76,85,132,165,130,113,132,118,150,51,104,,
country/region,Slovakia,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,5,3,0,1,-5,10,6,5,7,0,4,-2,11,8,4,-1,-1,3,-5,-2,8,-2,-11,-22,-24,-44,-50,-56,-58,-60,-61,-60,-63,-70,-69,-66,-63,-65,-63,-62,-54,-61,-62,-60,-60,-59,-60,-52,-55,-54,-46,-59,-61,-80,-56,-61,-80,-56,-51,-50,-53,-45,-62,-52,-52,-52,-51,-53,-49,-49,-49,-46,-50,-46,-74,-42,-56,-46,-49,-47,-38,-63,-29,-41,-37,-39,-44,-41,-49,-31,-38,-32,-33,-32,-31,-33,-29,-45,-34,-34,-30,-33,-33,-23,-56,-22,-25,-24,-25,-33,-14,-33,-25,-23,-26,-20,-23,-10,-28,-17,-16,-17,-21,-22,-21,-23,-15,-10,-11,-11,-17,-7,-7,-13,-1,-14,-17,-18,-2,-10,-13,-12,-14,-15,-17,-13,-4,,
country/region,Slovakia,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,-6,-6,-7,-8,-10,3,0,-4,-3,-5,-5,-7,4,1,-3,-2,-4,-3,-5,2,3,-2,-7,-11,-16,-26,-22,-29,-44,-50,-51,-51,-51,-41,-40,-50,-51,-51,-51,-50,-34,-38,-48,-48,-48,-48,-47,-32,-36,-46,-46,-51,-56,-86,-39,-43,-87,-48,-45,-45,-44,-22,-34,-42,-42,-41,-42,-41,-23,-26,-39,-38,-39,-39,-78,-19,-26,-36,-36,-36,-37,-74,-8,-10,-32,-32,-32,-32,-34,0,-8,-28,-28,-28,-30,-29,0,-9,-28,-26,-26,-26,-27,7,-11,-21,-20,-21,-21,-23,11,2,-20,-19,-21,-20,-21,11,3,-19,-18,-19,-20,-21,3,6,-20,-18,-17,-18,-20,7,11,-18,-16,-20,-22,-23,6,1,-25,-25,-24,-25,-27,0,7,,
country/region,Slovakia,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2,0,0,1,0,2,-2,-1,0,-1,1,1,3,-1,1,1,1,1,0,3,1,0,1,2,6,6,13,10,9,19,20,21,21,23,16,13,22,21,23,22,23,10,10,20,19,20,20,22,10,8,16,13,20,21,37,12,10,32,17,18,16,18,6,9,15,15,15,15,17,8,6,14,11,15,12,30,6,7,12,13,14,10,22,1,1,11,12,14,12,16,3,3,9,8,10,10,10,3,4,10,10,9,10,11,2,6,6,6,6,7,9,-2,1,6,5,7,6,5,-2,-1,4,4,5,5,6,1,0,4,2,3,2,4,-3,-5,3,0,2,3,4,-5,-5,2,3,3,2,2,-1,-4,,
