geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Switzerland,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,18,27,42,56,90,114,214,268,337,374,491,652,652,1139,1359,2200,2200,2700,3028,4075,5294,6575,7474,8795,9877,10897,11811,12928,14076,14829,15922,16605,17768,18827,19606,20505,21100,21657,22253,23280,24051,24551,25107,25415,25688,25936,26336,26732,27078,27404,27740,27944,28063,28268,28496,28677,28894,29061,29164,29264,29407,29586,29705,29817,29905,29981,30009,30060,30126,30207,30251,30305,30344,30380,30413,30463,30514,30572,30587,30597,30618,30658,30694,30707,30725,30736,30746,30761,30776,30796,30828,30845,30862,30871,30874,30893,30913,30936,30956,30965,30972,30988,31011,31044,31063,31094,31117,31131,31154,31187,31200,31235,31243,31292,31310,31332,31376,31428,31486,31555,31617,31652,31714,31851,31967,32101,32198,32268,32315,32369,32498,32586,32690,32817,32883,32946,33016,33148,33290,33382,33492,33591,33634,,,
country/region,Switzerland,driving,100,102.35,108.16,106.47,119.06,112.18,107.38,103.55,105.97,109.5,107.2,120.2,118.59,108.43,100.31,102.79,108.48,110.11,122.29,115.4,102.66,101.26,102.5,108.49,108.21,124.6,125.47,112.56,103.05,104.92,108.31,110.1,129.38,137.92,112.08,108.35,107.76,108.75,111.07,127.62,136.17,108.61,106.53,106.25,107.91,106.6,114.6,114.48,101.36,96.21,98.2,102.72,102.4,111.37,108.9,106.95,95.1,95.25,97.44,86.01,84.32,74.03,70.65,67.59,59.59,57.32,55.1,51.83,40.3,38.61,48.87,50.18,50.97,51.57,55.34,52.01,42.65,50.7,56.12,56.89,58.03,59.52,54.62,56.98,60.38,64.19,66.9,64.73,58.77,59.63,51.83,62.12,66.63,70.18,71.22,72.89,67.98,66.18,68.48,70.2,74.07,75.19,76.14,69.71,69.02,75.27,73.68,75.68,73.85,71.82,66.34,75.09,79.94,79.12,84.15,87.03,90.98,84.89,81,,,91.13,89.2,94.85,92.88,97.96,101.07,104.05,116.32,126.79,113.01,92.58,106.42,107.02,109.42,113.54,114.7,124.43,124.13,124,134.34,114.14,113.2,110.52,111.73,106.74,102.51,112.7,115.63,120.31,127.76,131.31,114.38,114.04,120.6,124.68,130.47,127.9,140.88,137.61,137.08,131.42,138.54,141.23,141.17,152.82,145.38,134.78,136.42,141.94,140.28,141.29,155.26,154.49,155.08,143.64,148.57,152.33,152.32,159.38,160.02,163.75,153.4,152.95
country/region,Switzerland,transit,100,102.26,106.79,100.41,105.77,102.94,98.62,103.98,105.3,109.24,104.2,105.31,103.38,94.37,100.71,101.82,106.52,102.47,106.68,101.75,98.59,102.59,106.37,108.07,104.77,106.86,103.3,96.86,103.62,104.72,105.8,104.18,105.83,103.01,101.62,113.43,113.32,111.45,107.04,111.03,109.41,97.7,106.3,105.79,108.14,108.12,104.49,98.68,90.97,96.6,96.76,99.5,97.85,100.1,95.23,87.16,90.4,88.38,84.67,73.36,63.2,56.69,47.61,41.84,33.84,32.12,29.17,26.17,22.24,22.54,24.29,24.12,24.08,23.91,24.44,25.05,22.39,23.59,26.86,26.63,26.33,27.05,25.8,27.86,27.57,28.91,30.46,28.46,29.91,29.12,28.31,31.32,32.24,34.04,33.46,35.43,33.75,35.2,34.66,34.56,37.65,36.13,36.07,34.43,37.92,40.88,38.42,40.82,38.82,37.35,35.63,41.94,46.51,44.18,45.66,47.04,48.28,45.16,44.98,,,51.33,48.93,49.6,50.22,53.13,58.28,57.63,60.93,61.79,60.36,51.53,56.51,63.3,64.81,65.84,65.09,65.78,67,62.27,69.24,71.08,71.01,67.79,66.07,65.23,65.2,73.18,73.98,76.58,77.87,78.26,68.61,69.97,78.11,80.9,82.02,79.87,82.2,82.2,76.72,85.13,88.4,92.63,88.06,89.05,88.19,80.12,88.66,93.12,89.44,89.42,89.99,88.61,87.19,90.89,93.68,94.76,92.94,88.24,87.89,88.83,95.79,96.18
country/region,Switzerland,walking,100,107.83,116.33,115.19,121.72,123.94,85.59,105.55,115.59,119.13,112.6,120.96,127.16,82.82,101.24,100.81,109.78,112,128.14,128.94,80.23,100.05,102.63,110.77,110.69,127.55,131.54,90.65,97.11,103.63,109.24,109.24,128.9,136.98,95.29,105.7,114.05,112,119.18,129.7,142.04,92.9,114.85,108.11,107.05,107.66,124.55,119.52,89.31,89.8,100.73,104.97,95.92,111.56,123.3,87.32,90.24,89.77,101,90,88.42,79.34,70.87,65.25,55.6,57.14,54.05,49.97,41.14,34.36,43.81,45.97,45.61,45.53,53.59,57.67,33.78,41.09,51.1,53.27,54.62,60.12,61.01,62.48,59.32,63.28,67.22,66.23,68,68.16,60.67,64.43,59.93,67.13,68.44,72.89,71.94,67.65,61.7,63.66,69.95,70.87,75.27,72.22,65.37,69.1,58.86,65.03,59.72,59.78,55.61,70.25,74.23,64.94,76.04,83.02,85.82,85.63,68.26,,,73.34,77.18,83.22,91.23,86.25,91.26,95.24,99.94,114.5,118.13,81.6,89.34,95.51,102.16,103.59,103.78,113.4,125.96,112.66,112.53,103.77,100,91.08,99.45,101.27,71.24,97.01,101.12,102.53,116.82,129.48,111.01,80.12,104.62,111.31,110.09,114.39,121.61,134.83,103.39,117,126.34,131.06,129.96,135.13,144.24,93.9,118.88,132.2,127.99,126.68,138.48,142.6,112.73,127.02,136.87,136.71,137.99,130.59,138.27,121.27,134.75,137.91
country/region,Switzerland,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,10,-3,3,-4,2,-1,1,14,6,4,-5,-5,-1,-6,3,-7,-1,-3,-11,-6,-4,6,-8,-10,-7,-11,-13,-25,-27,-17,-57,-62,-65,-67,-78,-82,-68,-69,-70,-70,-69,-73,-81,-71,-84,-84,-84,-79,-82,-76,-76,-72,-72,-70,-87,-77,-78,-86,-73,-74,-72,-72,-76,-74,-70,-71,-70,-70,-70,-74,-73,-59,-64,-64,-62,-71,-66,-68,-55,-60,-59,-53,-54,-56,-61,-35,-33,-39,-36,-35,-33,-37,-26,-25,-16,-58,-18,-35,-32,-17,-17,-19,-20,-19,-20,-19,-48,-15,-21,-24,-20,-17,-42,-16,-16,-15,-21,-13,-20,-31,-14,-12,-17,-15,-15,-16,-13,-12,-10,-12,-9,-11,-13,-17,-8,-3,-9,-8,-8,-14,-8,-5,-3,-9,-10,-14,-15,-6,,
country/region,Switzerland,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,12,-4,1,-4,-1,-1,0,18,3,6,0,1,8,4,8,-1,4,1,-4,1,2,7,-1,-1,2,8,24,12,2,24,1,-4,-10,-4,-26,-49,-20,-19,-19,-18,-13,-19,-51,-22,-2,-5,-3,2,-5,-25,-5,1,9,25,-75,11,-30,-80,-4,-14,-14,-10,-14,-21,-21,-15,-16,-12,-4,-10,-20,-7,-7,-6,-1,-30,-2,,-9,-8,-5,-2,2,2,-9,-6,1,-5,1,2,2,-1,0,8,25,-71,18,-6,-4,3,6,4,8,12,10,14,-65,17,5,2,5,3,-21,-2,1,4,-14,6,0,-12,-1,2,-2,0,1,-2,4,-1,1,1,7,6,1,-1,1,5,3,6,6,0,11,2,6,0,3,1,-1,13,,
country/region,Switzerland,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,30,-3,34,-11,46,26,57,27,74,17,-20,-22,16,-14,29,-24,7,8,-36,-12,-3,47,-17,-26,10,-1,1,-6,66,14,21,22,19,-11,-29,-40,-19,-5,-20,-23,-3,18,-41,-46,1,7,8,8,15,42,21,42,26,22,75,27,33,83,11,30,30,39,33,36,15,17,46,44,40,27,19,29,-25,-4,-42,-25,-34,41,42,-19,19,56,58,67,43,-29,3,-31,-15,-11,27,100,56,69,13,145,54,-39,32,-3,10,9,-5,8,21,82,145,18,-12,-51,-25,-21,-41,-12,-15,-23,24,71,14,-12,9,29,-18,12,14,49,79,52,95,78,67,50,63,41,30,112,55,30,45,96,124,69,128,112,107,74,52,132,,
country/region,Switzerland,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,-2,3,-4,5,1,14,13,7,3,-5,-5,-1,-7,2,-7,-3,-2,-11,-8,-9,3,-8,-10,-6,-11,-15,-26,-16,-30,-42,-45,-51,-56,-62,-66,-59,-58,-59,-61,-58,-53,-68,-62,-53,-52,-53,-54,-51,-48,-51,-50,-51,-50,-61,-47,-49,-61,-52,-49,-51,-50,-46,-46,-51,-50,-46,-47,-46,-44,-47,-40,-47,-43,-49,-56,-48,-38,-38,-46,-39,-38,-38,-32,-33,-38,-33,-38,-36,-35,-27,-21,-28,-25,-21,-31,-29,-40,-18,-26,-23,-22,-25,-23,-16,-3,-29,-19,-23,-32,-29,-27,-40,-24,-24,-24,-25,-17,-22,-32,-21,-17,-23,-20,-21,-13,-8,-17,-11,-12,-12,-14,-8,-14,-17,-8,-13,-16,-15,-6,0,-17,-10,-12,-14,-18,-17,0,,
country/region,Switzerland,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2,-1,-2,-3,-5,-6,-1,0,-3,-4,-4,-5,-4,-2,-1,-1,0,-1,-2,-2,-2,-3,0,-1,-2,-4,-6,-7,-13,-20,-33,-38,-46,-45,-43,-45,-46,-49,-49,-50,-49,-43,-46,-48,-49,-48,-50,-48,-42,-42,-47,-48,-48,-50,-85,-41,-39,-85,-47,-46,-47,-46,-36,-36,-43,-43,-42,-43,-42,-34,-34,-37,-39,-38,-40,-57,-31,-30,-35,-36,-35,-36,-34,-21,-19,-27,-27,-28,-29,-27,-12,-14,-25,-26,-27,-81,-53,-15,-10,-25,-24,-24,-25,-24,-2,-4,-77,-21,-22,-23,-21,-3,-11,-19,-21,-21,-37,-26,-3,-5,-19,-19,-21,-21,-21,-1,-1,-21,-22,-20,-20,-20,-2,-1,-20,-18,-18,-19,-20,-2,-2,-24,-24,-23,-25,-26,-6,-3,,
country/region,Switzerland,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,1,1,1,0,1,-2,-1,0,1,2,2,2,2,1,3,2,1,3,3,3,0,3,4,3,4,5,8,5,10,17,18,21,24,19,15,22,24,23,24,26,17,15,23,23,22,23,25,17,12,21,21,20,21,34,15,11,30,21,20,21,22,15,11,20,20,19,19,21,14,11,16,18,18,19,27,15,9,15,18,16,15,16,9,7,14,14,14,13,14,9,5,11,11,8,20,15,11,4,10,10,9,10,9,4,1,17,7,9,11,11,6,8,8,9,8,11,7,5,5,7,6,8,6,6,1,-1,5,4,3,3,4,-1,1,5,3,3,5,5,-1,-3,5,3,2,3,5,1,-3,,
