geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Taiwan,confirmed_cases,1,1,3,3,4,5,8,8,9,10,10,10,10,11,11,16,16,17,18,18,18,18,18,18,18,20,22,22,23,24,26,26,28,30,31,32,32,34,39,40,41,42,42,44,45,45,45,45,47,48,49,50,53,59,67,77,100,108,135,153,169,195,215,235,252,267,283,298,306,322,329,339,348,355,363,373,376,379,380,382,385,388,393,393,395,395,395,398,420,422,425,426,427,428,429,429,429,429,429,429,429,432,436,438,438,439,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,441,441,441,441,441,441,441,442,442,442,443,443,443,443,443,443,443,443,443,443,443,443,443,443,445,445,445,446,446,446,446,446,446,446,447,447,447,447,447,447,447,448,449,449,449,449,449,449,449,449,451,451,451,451,451,451,451,451,451,451,,,
country/region,Taiwan,driving,100,106.97,113.81,118.64,136.4,135.78,120.37,121.19,123.02,124.95,101.34,122.06,141.94,166.3,173.54,143.52,117.52,113.53,123.3,126.65,114.15,102.95,104.08,107.82,109.21,123.96,132,120.3,109.74,111.48,113.56,114.57,133.29,135.71,109.23,105.89,109.03,111.44,114.37,136.57,137.99,122.26,99.29,90.66,102.39,150.75,162.67,156.81,118.04,97.22,97.47,95.85,102.3,132.44,142.1,113.94,97.36,100.62,101.12,100.7,120.24,136.85,113.09,98.54,94.7,89.88,93.2,124.83,128.51,105.1,91.47,91.74,92.18,95.48,109.76,116.77,101.59,89.92,94.79,118.3,124.58,115.7,116.05,93.62,82.97,86.1,84.81,82.44,101.71,93.5,84.59,78.67,79.4,80.85,86.4,111.72,111.85,89.51,78.02,74.71,75.42,76.23,96.47,98.3,85.1,78.86,82.17,85.96,108.03,122.88,119.22,96.5,83.81,85.23,85.46,91.04,116.29,113.44,96.03,,,87.89,94.38,122.17,118.95,98.45,80.94,81.29,83.91,80.76,102.25,115.56,101.41,86.45,84.03,85.03,91.69,126.8,134.08,106.31,90.72,91.71,93.89,99.3,133.68,131.7,102.23,90.39,94.58,98.37,102.57,140.1,143.21,112.95,101.83,100.85,103.41,106.8,124.89,139.95,118.94,106.98,113.79,154.48,171.39,172.01,156.04,119.72,108.19,105.44,103.56,108.01,136.98,141.61,120.33,110.66,111.41,111.91,118.92,150.03,154,127.45,114.04,119.45
country/region,Taiwan,transit,100,107.64,119.93,124.1,135.24,130.25,120.85,119.26,113.83,101.2,76.72,79.13,85.78,94.16,100.05,93.07,97.97,102.51,103.51,100.96,104.38,98.81,101.76,104.46,104.57,109.45,100.2,104.21,102.07,104.9,107.92,109.11,106.55,105.55,95.1,99.95,104.57,101.05,102.3,110.32,100.03,98.5,84.49,76.64,83.57,104,102.34,95.89,79.84,75,74.34,74.13,77.63,104.58,101.24,79.21,69.69,74.16,70.51,75.81,94.7,96.71,74.6,66.51,64.4,59.86,62.26,84.3,78.51,63.32,57.97,58.1,58.05,60.13,70.19,68.55,59.83,55.2,58.1,68.93,66.68,59.67,58.4,56.26,52.82,53.1,52.5,51.98,65.84,55.66,48.48,46.82,50.3,50.39,56.58,73.77,66.03,52.53,47.52,46.98,48.34,48.84,64.15,58.8,50.85,50.26,51.77,54.48,62.26,75.92,67.81,59.11,54.13,55.41,55.71,59.79,77,65.93,57.63,,,58.82,66.44,83.79,72.99,60.45,53.53,55.6,56.76,58.83,75.84,75.04,64.51,60.08,59.93,61.1,64.25,91.35,84.94,67.21,64.6,66.54,67.2,71.87,99.09,84.74,68.3,65.58,67.08,71.47,75.51,105.16,92.05,70.73,74.11,72.38,74.77,79.38,90.29,96.75,78.51,78.92,81.01,91.36,95.98,93.35,87.93,82.61,82.29,81.97,81,84.2,99.6,94.43,90.82,89.21,92.68,94.43,96.91,107.78,100.68,90.13,97.38,101.4
country/region,Taiwan,walking,100,107.89,118.61,119.74,136.24,138.79,121.14,123.47,120.93,115.06,87.37,84.66,97.08,112.24,124.33,108.2,105.23,110.54,115.08,115.88,107.37,100.38,105.02,112.64,114.99,122.11,123.25,114.43,109.3,113.43,115.6,116.86,128.73,126.31,99.66,104.17,108.98,110.79,111.2,124.68,122.71,108.79,92.1,85.5,92.59,124.14,139.47,126.93,93.01,85.43,85.03,84.92,94.73,130.09,134.43,100.58,85.46,94.2,93.59,96.16,121.92,136.7,103.88,91.48,89.54,83.85,86.68,120.3,120.69,92.74,84.03,84.57,85.75,87.8,103.7,110.03,90.55,80.3,84.86,103.8,113.22,100.51,97.31,82.72,75,79.77,78.15,76.98,97.62,88.81,74.38,68.74,71.72,72.99,77.13,104.38,102.05,76.92,69.61,66.9,67.3,67.45,92.28,92.77,73.48,70.49,71.86,75.29,89.92,108.68,103.93,80.5,73.44,75.52,75.73,82.66,106.01,99.1,76.09,,,78.75,86.85,113.17,108.41,82.4,67.96,69.95,73.92,70.1,95.31,109.26,88.85,75.94,75.26,71.66,79.65,114.78,122.92,89.15,77.39,80.64,82.61,87.68,123.23,121.36,83.78,78.67,83.56,87.34,89.13,131.39,133.12,93.36,90.7,90.4,92.47,96.18,114.16,131.32,102.15,96.36,100.95,119.96,143.48,144.19,128.89,102.17,100.06,99.4,96.54,98.94,130.22,135.96,111.93,107.77,107.37,106.37,114.23,142.15,146.82,114.86,113.18,116.27
country/region,Taiwan,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9,-14,-7,-7,-7,-5,-3,-8,-4,-3,-8,-10,-3,8,-7,-7,-9,-10,-15,-14,-5,-5,-4,-9,-18,-9,-10,-13,-14,-2,-7,-10,-15,-18,-8,-10,-8,-12,-13,-14,-13,-13,-21,-9,-14,-11,-10,-1,-1,-24,-22,-20,-15,-16,-13,-8,-18,-14,-11,-11,-13,-11,-8,-11,-10,-14,-18,-19,-21,-17,-15,-14,-15,-13,-14,-8,3,-10,-9,-12,-11,-14,-10,-5,-5,-5,-10,-15,-11,-10,-5,-12,-3,-17,-23,-14,-24,-28,-13,0,-7,-14,-20,-20,-9,-4,-2,-10,-10,-10,-9,-3,-5,-10,-16,-12,-8,-7,-3,-3,-6,-5,-7,-9,-7,-6,-8,-1,-5,-5,1,7,8,-5,-6,-6,-7,-13,-14,-3,-3,-1,-4,-6,-8,-6,-1,-2,1,,
country/region,Taiwan,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-8,-3,-2,-4,-5,0,1,4,1,0,-3,-1,11,1,2,-1,-1,-7,-3,4,7,7,1,-4,1,-4,-4,-1,7,3,2,2,6,12,8,6,4,3,2,0,0,-6,3,-2,1,2,8,10,-6,-7,-3,5,-1,2,7,0,1,3,3,1,-1,2,2,1,3,-1,-1,-5,1,2,-1,0,2,-1,5,15,4,2,4,8,4,3,9,9,6,9,3,4,0,6,1,7,-3,-7,2,-12,-11,5,10,9,1,-5,-9,3,9,8,6,6,5,3,13,9,2,0,5,8,4,7,8,4,8,7,5,3,6,7,10,8,8,13,15,11,3,3,7,7,3,-3,10,11,12,15,13,5,4,10,9,11,,
country/region,Taiwan,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-21,-14,-3,8,-4,6,3,24,6,4,3,-9,65,31,21,-10,-2,-14,-30,-1,9,26,-3,-29,-4,-15,-21,-28,31,0,-3,-11,-29,-5,4,24,-9,-5,0,-10,-11,-33,17,-13,-6,-10,10,40,-7,-12,-28,-18,-8,-12,-1,-20,-10,-6,-1,1,-5,2,5,19,-6,-12,-16,-32,-24,-9,4,-10,0,3,-4,39,13,18,-6,-3,-7,-13,-3,-4,-1,-10,-14,1,-9,0,-14,13,-21,-34,-17,-38,-47,-36,19,-6,-15,-26,-38,-17,2,19,-10,-6,0,-9,-2,-4,-11,-24,-11,0,-10,-3,2,5,-4,-1,2,-9,-5,-15,16,-3,-2,2,34,65,22,10,-4,-6,-11,-25,-5,-2,13,-1,2,2,-6,1,3,17,,
country/region,Taiwan,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,-22,-17,-15,-12,-15,-12,-17,-15,-14,-12,-11,-4,-14,-16,-11,-14,-15,-16,-18,-9,-18,-16,-14,-18,-12,-15,-12,-25,-13,-13,-15,-15,-21,-12,-23,-22,-19,-19,-17,-20,-17,-34,-24,-20,-17,-6,-26,-31,-33,-28,-21,-22,-21,-23,-17,-32,-33,-21,-20,-18,-20,-15,-24,-25,-21,-23,-23,-26,-21,-31,-31,-22,-20,-18,-15,-16,-25,-21,-19,-19,-17,-18,-9,-20,-19,-17,-19,-15,-18,-11,-25,-21,-20,-23,-18,-23,-21,-28,-17,-16,-19,-19,-22,-11,-17,-15,-17,-17,-14,-16,-8,-16,-19,-18,-16,-13,-15,-9,-13,-15,-14,-14,-13,-16,-14,-13,-15,-14,-12,2,-12,-14,-12,-13,-13,-14,-15,-18,-11,-15,-15,-13,-13,-12,-14,-8,-12,-11,,
country/region,Taiwan,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,-8,-3,2,3,2,0,5,-2,1,11,11,9,-50,-4,0,10,14,14,11,10,11,3,10,11,14,12,9,6,1,10,14,13,11,9,9,0,8,12,12,10,7,3,-1,6,9,7,-50,-55,-23,-9,3,7,8,7,4,4,-5,5,8,8,7,3,5,-4,5,8,8,6,3,4,-5,5,9,8,6,-36,-5,-6,5,9,9,7,4,2,-8,5,8,9,7,2,1,-5,3,6,8,5,-1,-1,-5,4,8,6,4,3,2,-6,5,9,8,7,3,1,-9,3,8,8,6,2,2,-8,3,7,6,5,2,67,-5,1,4,3,-60,-57,-17,-11,-1,3,2,0,-3,0,-8,-3,0,1,-1,-4,-3,-10,,
country/region,Taiwan,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,5,6,5,4,1,5,3,2,4,2,2,-3,12,3,1,2,2,2,0,1,2,2,2,4,1,-2,3,6,2,2,2,2,0,2,3,3,3,3,2,-1,3,7,4,4,3,1,11,16,7,6,5,4,3,0,3,6,7,4,3,3,0,3,4,4,3,4,4,1,5,5,6,4,2,0,-2,9,4,2,3,2,2,-1,2,2,1,3,3,2,-2,1,4,3,4,5,3,1,7,6,2,3,3,4,1,3,2,1,2,2,2,-1,1,2,3,4,2,1,-2,1,1,2,2,2,1,-2,2,-4,2,2,2,-1,8,12,1,1,2,2,2,0,2,1,2,2,2,2,-1,2,1,0,,
