"","cluster"
"Albania",1
"Cambodia",1
"Hong Kong",1
"Iceland",1
"Indonesia",1
"Macao",1
"Republic of Korea",1
"Serbia",1
"Taiwan",1
"Thailand",1
"Vietnam",1
"Argentina",2
"Australia",2
"Bulgaria",2
"Canada",2
"Chile",2
"Estonia",2
"Finland",2
"Germany",2
"India",2
"Ireland",2
"Latvia",2
"Morocco",2
"Norway",2
"Russia",2
"Saudi Arabia",2
"Singapore",2
"Switzerland",2
"United Arab Emirates",2
"United Kingdom",2
"Uruguay",2
"Austria",3
"Belgium",3
"Colombia",3
"Croatia",3
"Czech Republic",3
"France",3
"Greece",3
"Hungary",3
"Israel",3
"Italy",3
"Lithuania",3
"Luxembourg",3
"Malaysia",3
"New Zealand",3
"Philippines",3
"Poland",3
"Portugal",3
"Romania",3
"Slovakia",3
"Slovenia",3
"South Africa",3
"Spain",3
"Turkey",3
"Brazil",4
"Denmark",4
"Egypt",4
"Japan",4
"Mexico",4
"Netherlands",4
"Sweden",4
"Ukraine",4
"United States",4
