"p_lag","q_lag","log_likelihood"
7,9,-214719.116089504
6,4,-235355.138553659
4,8,-239164.157207335
7,1,-256587.750717225
5,7,-274859.19540053
6,3,-304418.487995585
6,1,-309419.641983216
6,10,-2578449.05775075
7,4,-20780974.4753366
5,10,-81249791.2603193
6,8,-299776793.700309
6,7,-301513152.466573
7,3,-475631355.08874
7,5,-609852782.75397
7,2,-1248739432.28175
5,4,-1498950268.55643
7,6,-1528972045.15689
5,9,-10426490325.5451
6,6,-11154677067.4946
7,7,-18213663396.4937
5,2,-18410381185.8381
6,2,-45768569456.8476
5,8,-50210616122.2335
4,10,-143477462396.749
5,3,-149394725139.219
4,6,-211887502949.149
5,1,-244117906591.628
3,8,-361624683447.134
6,5,-589718030886.373
4,1,-675318567399.6
3,9,-5441515878417.49
4,7,-11405823806778.6
4,9,-13452419101956.4
5,6,-23803548580156.6
5,5,-26446189691943.2
4,2,-53669001471314.8
3,10,-239344166423020
3,5,-351244884304698
3,7,-3877238400521108
4,3,-11876067416377436
3,3,-28312843101140904
4,4,-29157926717763940
3,4,-33477363831616320
3,6,-49147214073244784
4,5,-11112924497236791296
3,1,-3.62520192097755e+20
3,2,-3.28808642028846e+24
