"","Albania","Argentina","Australia","Austria","Belgium","Brazil","Bulgaria","Cambodia","Canada","Chile","Colombia","Croatia","Czech Republic","Denmark","Egypt","Estonia","Finland","France","Germany","Greece","Hong Kong","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Japan","Latvia","Lithuania","Luxembourg","Macao","Malaysia","Mexico","Morocco","Netherlands","New Zealand","Norway","Philippines","Poland","Portugal","Republic of Korea","Romania","Russia","Saudi Arabia","Serbia","Singapore","Slovakia","Slovenia","South Africa","Spain","Sweden","Switzerland","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Vietnam"
"Albania",0,0.407483961462428,0.429227445876783,0.391760129261272,0.39523866909043,0.422564476719824,0.366497164501891,0.471283558075523,0.380481075620399,0.405292739589096,0.389387156385926,0.408219267195882,0.412443657690213,0.388290414578008,0.382186494475551,0.378554371945518,0.37841927405651,0.368233993697836,0.399696242089596,0.364856799736195,0.43406044873792,0.417927319935802,0.374253445415563,0.392704442510229,0.413315253630635,0.422228604656739,0.381033660868694,0.397998360666544,0.469356640271234,0.369859557859832,0.378394734412298,0.368022962765486,0.439441412062703,0.375152874001211,0.393780039140247,0.41194847257664,0.42225133562813,0.379195204787061,0.368094936728755,0.399947035087577,0.373722246917891,0.421831187640294,0.457521553195496,0.362657306745919,0.36265102976386,0.425397803347786,0.391691478579002,0.424586911866093,0.374623262465432,0.419446962809953,0.38053796298453,0.409048268842654,0.446629158927964,0.390219828305346,0.546329640992072,0.390842571280603,0.387103042388187,0.384668597376872,0.430515321082644,0.416176640602075,0.403809381786006,0.386939845768107,0.391258725099469
"Argentina",NA,0,0.336971124254092,0.280625111558536,0.285909782661495,0.359765337712276,0.283689574083379,0.507338381830385,0.298697774858982,0.240292087977343,0.301528331975258,0.327859359532987,0.290140655747766,0.431797006326803,0.401213710385097,0.336183965124847,0.344131483443445,0.32086914599624,0.338758682120968,0.294333184037523,0.474169740661568,0.295537987082741,0.388263762581917,0.29114577974616,0.48645177678627,0.257925722756134,0.29828959247844,0.305246185454142,0.536717510368878,0.372355721630843,0.332782312541657,0.328871899092495,0.373295048026972,0.285892168896118,0.396302910089709,0.264577021204525,0.373896910592402,0.317642357710265,0.339255984355475,0.272202660238328,0.315443378900317,0.309146009460953,0.4871643146532,0.280094198146722,0.377405064155598,0.332992924603834,0.397189749446627,0.359123899110088,0.313366489473649,0.322432296697145,0.349412489133158,0.303001792528578,0.496812593870729,0.309476174821874,0.397316181505783,0.479030965250025,0.306224511528875,0.368579369744427,0.320915985725031,0.283581581012953,0.452337289821798,0.271126556440561,0.533196174442374
"Australia",NA,NA,0,0.311727823912419,0.277983048142682,0.357537293126681,0.299001359623229,0.533770067047484,0.253489762079915,0.311761010319805,0.30774700737143,0.392456607655569,0.305904140228377,0.370481370616292,0.399426995223365,0.351099443661583,0.358740498322827,0.359920203911368,0.305871193887079,0.352495571197182,0.427689670736261,0.324141736342778,0.409846553633822,0.304148338382013,0.427857413105122,0.245364804660888,0.373803204526284,0.334625623318415,0.402171066939842,0.372952720598786,0.386179047752487,0.338382165895501,0.478668318367784,0.289424369276144,0.324148505050056,0.281493671014814,0.29197253603023,0.292293582477542,0.355867817342125,0.275937528902243,0.380046985950996,0.357618402948775,0.44405868784162,0.301586768813857,0.368315942627267,0.299391545179177,0.375881228369637,0.295061568459998,0.331730592895387,0.361850312792294,0.333405570011885,0.312997491817728,0.422693853495451,0.291410228460622,0.48560030121729,0.502856713833487,0.350920600640066,0.329408121406329,0.28519256821023,0.25349795476258,0.336505027514688,0.319543485233168,0.452721070216629
"Austria",NA,NA,NA,0,0.219392544927082,0.389547003495614,0.272477258821804,0.548028497957123,0.269002079737483,0.260838805771654,0.275191037183562,0.302639726515279,0.232924702978617,0.399576315096181,0.440311504232225,0.342259294120196,0.315396956370731,0.277280771195781,0.270363889208774,0.228004372699287,0.442249605363947,0.23151253134904,0.383100197353063,0.320100695230768,0.466608988869359,0.274569831044636,0.250030435442172,0.270098967925777,0.467899081860842,0.363423264292305,0.266144660575758,0.259605470353467,0.426426426875686,0.272560219749821,0.411330022220889,0.286852772004269,0.357431546696831,0.270907155204856,0.298124355930497,0.286454576038047,0.252150713910533,0.284782255887721,0.4506847966045,0.247067889955373,0.380711285753227,0.347763409372505,0.355042474528435,0.350703521748338,0.25096114772928,0.265285099120421,0.327813851505461,0.266936843167435,0.458443699606795,0.250235708520535,0.422243896131702,0.478496196020882,0.256286654663144,0.346349108083151,0.327697535066842,0.281898530666627,0.41650468390597,0.298578553419852,0.484412075677983
"Belgium",NA,NA,NA,NA,0,0.34382169882767,0.27827670926542,0.555333674136076,0.246756889819482,0.261978775241917,0.258037112456926,0.294074552856593,0.201960925257303,0.351916917259527,0.436998952891534,0.299288138682895,0.288868754817165,0.24008491427844,0.260899278987693,0.241580446837343,0.423732225945501,0.225456278133803,0.387493759076026,0.323594920450624,0.452649400084718,0.24595611867985,0.255838365607434,0.233153731445018,0.429831839828962,0.339013037116521,0.258064884893174,0.230818580094619,0.424384790756992,0.268180796811196,0.356874864103189,0.291468212347705,0.312668225264516,0.239280905298737,0.282071829146296,0.248456168253209,0.258695524933644,0.27435022900376,0.435414059965755,0.245005492906569,0.377185079554149,0.349583878932339,0.352573244384258,0.310004092958562,0.230113947722606,0.256184038874611,0.322269611477851,0.236860024275002,0.445960337340803,0.233608453462827,0.459893756084028,0.460072980078527,0.260001751220568,0.342207775293996,0.339564873593343,0.250035175964885,0.374585802517657,0.307637500819348,0.486073979047282
"Brazil",NA,NA,NA,NA,NA,0,0.359204123035178,0.581972190496631,0.343466796027768,0.38163197399421,0.424651336692639,0.442844925250587,0.343363221998575,0.263594679461551,0.338735259027519,0.331031351195818,0.412963014388815,0.411933436001824,0.330434952836858,0.418618228671437,0.401936909042683,0.398297558745672,0.404050328113846,0.34732708777605,0.376989513184816,0.299587841104853,0.423881110521076,0.380861217013146,0.378678098320798,0.402379095009597,0.432149302453055,0.396860193131615,0.400391540608546,0.405117790321512,0.253287900409964,0.350401744468941,0.267800026978971,0.394313608884787,0.370406564525504,0.351108817834419,0.438512205080461,0.430366534564077,0.431377106329856,0.413815363822734,0.332244714124041,0.394316905356025,0.399086020086715,0.322902826505332,0.387257019181698,0.42667573633157,0.466136335201346,0.391239831570737,0.388981537425828,0.371478404940225,0.535650408763546,0.428164495901688,0.418080619186494,0.321067001547965,0.374945230082794,0.298041928874863,0.304314804543889,0.303910024985141,0.472680987186131
"Bulgaria",NA,NA,NA,NA,NA,NA,0,0.536565199611511,0.264924741603795,0.300703713239497,0.32228693937944,0.301386251507916,0.267269145724704,0.333147399557182,0.379435408868009,0.26092355410325,0.274835314874252,0.319770273038541,0.331646178666086,0.265969177960203,0.462112157312909,0.270432297874526,0.366673653490768,0.312577669081834,0.459089540909277,0.273970681387852,0.311751891267659,0.315204927899572,0.506258009308039,0.27603519326085,0.302132129774095,0.32420488313326,0.427180592671863,0.272374217296055,0.361966269440217,0.284384505187943,0.333029535819244,0.322938674351025,0.295847776445615,0.309049495106025,0.307928107204114,0.325411747398989,0.477132412864717,0.264241523497991,0.282453582703673,0.335039843340437,0.371981745357343,0.30925029368393,0.283689389634031,0.303448401214429,0.365770502210944,0.326201957630941,0.374192567410134,0.27678044021867,0.472957729048676,0.469596506505609,0.301558090160494,0.302265190549516,0.319089013928123,0.306786807695298,0.364244806941615,0.28311267511758,0.446477439248719
"Cambodia",NA,NA,NA,NA,NA,NA,NA,0,0.48293715638503,0.489927655719744,0.486935781806361,0.567057296458624,0.558048722871183,0.505402287668805,0.495082291663398,0.557259465099532,0.484520483062859,0.481577256839556,0.526298404071971,0.52602988454168,0.552024101960832,0.577221982548049,0.4965552251505,0.518203214635096,0.518836671618808,0.58526066640052,0.514875128760784,0.474009255885513,0.539769245970131,0.519512635857331,0.530540090672573,0.482277024856816,0.569741104447349,0.535534152075401,0.545064972261941,0.541838691438869,0.542660265722532,0.482717981827237,0.506873105592516,0.507839212757782,0.497350657400861,0.497258012838556,0.536301255851828,0.524583184122589,0.534485496091643,0.465078419201259,0.52274942809673,0.552510672442081,0.50643954237956,0.554263191894654,0.508529315778029,0.486475625152117,0.460252390511569,0.492173342538644,0.521056568156987,0.493449971441499,0.497554716101458,0.528688557235659,0.519258141867588,0.557818884991442,0.524665908010383,0.53243214362318,0.45675969856529
"Canada",NA,NA,NA,NA,NA,NA,NA,NA,0,0.283378686904373,0.314996424230275,0.336143363849902,0.26360079131696,0.320219783517234,0.383506412595073,0.309882103745453,0.297087382762808,0.295737031213601,0.252445630367467,0.285426894271804,0.481567003870068,0.286633716562202,0.386821560907793,0.306342338237141,0.478655499851113,0.247016625709164,0.319355590817079,0.292633742882842,0.439297569703384,0.33849448597854,0.311390459324406,0.271500431683508,0.502686420942875,0.293223786156431,0.339622152029079,0.299596342202237,0.273371133106577,0.279549980462307,0.270058023610194,0.289262544665881,0.300189627099295,0.335086778367681,0.487795588890774,0.261468599462996,0.350501964037367,0.266458941663175,0.386266406730537,0.337836055645743,0.268767690492802,0.331322414561608,0.36470318302727,0.302169368366227,0.385508321200146,0.231531526552085,0.461587165863543,0.499111142930361,0.317658650928392,0.321927616414598,0.263642731488218,0.23755260188464,0.349439261264705,0.275075696927999,0.450783439898042
"Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.256449505464178,0.32849486417013,0.278358642929903,0.439277932396486,0.398487491574541,0.353732899287699,0.348125199074465,0.310125676086405,0.318388897825268,0.274973757757259,0.456947552962392,0.267935065782005,0.387595539692455,0.291905729694375,0.477391415669805,0.275432397158144,0.279206239020282,0.28756210815579,0.510246558846704,0.377568615811479,0.30769119567172,0.299469123745282,0.377142483858829,0.271430521745753,0.389869989665494,0.268224387747138,0.36873684777644,0.284437539493047,0.342692063688426,0.245813393916898,0.291141762165757,0.285843413122097,0.464745294126115,0.262109996511549,0.382106142840887,0.329285291761587,0.376691857446587,0.332041789596386,0.29098111653769,0.290914271191993,0.310395036946079,0.278159905425729,0.499129826721848,0.296908021023215,0.400981124360188,0.480942320689408,0.280964302280906,0.369327001071465,0.312071396712419,0.281284067839299,0.438257975553577,0.28504365817169,0.52262106655162
