"","BR.cases","BR.residential","BR.workplaces","BR.transit","BR.grocery"
"BR.cases_lag1",-3.98021291243747e-05,9.84587576904344e-07,2.97890520560246e-06,-3.56224205266397e-06,9.24783913293573e-07
"BR.residential_lag1",0.156560504271813,-0.315339840148862,-0.0233457266145095,0.0103236515612561,1.02123870156788
"BR.workplaces_lag1",-0.0337565826148692,-0.0590444991431212,0.0392762080317225,0.0709439746379674,0.104585388335848
"BR.transit_lag1",0.0915552308716852,-0.0041466392772453,-0.531081541180961,-0.319614466762593,-0.00158065396897715
"BR.grocery_lag1",-0.020125975918346,0.00088334463189163,0.00397858890696941,0.00237433493529246,-0.00551276658838818
"cases*",0.083178191819188,-0.000316158304076775,-2.8472407488416e-05,0.000468169118879797,6.20890213301454e-05
"residential*",-0.735100712295309,0.576491257787737,-0.000859868403143317,-0.0178307531119966,0.00800414701262136
"workplaces*",0.000960509513128885,0.000824520488889366,0.876440053471553,-0.017524595479049,-0.117335796353068
"transit*",-0.246745800427122,0.00210125040673946,-0.229917812818589,0.759895468108132,0.037856176544548
"grocery*",0.149845854326098,0.00134827747822089,-0.0170810965607469,0.0734569238770328,0.749084090813641
"cases*_lag1",-0.01065605707092,8.5252029558556e-07,4.36243531759047e-05,1.46850197331629e-05,0.000689765285940057
"residential*_lag1",-0.309473095973503,0.0116990085976806,0.0564070647418373,0.0213901160875458,0.0234569719251005
"workplaces*_lag1",0.100022603033887,0.00165624703932246,0.15795806077029,0.00139481311851067,0.0421330450380885
"transit*_lag1",-0.254082668486683,0.00412791024105472,0.0664348057952611,0.00604235229474354,0.00198417908378974
"grocery*_lag1",0.0179912386003103,0.00190249310024303,0.000805380326281609,0.0134222396116227,-0.0012578965354995
"cons",-0.00382981268929924,-0.000838137459398012,0.0286732465012615,0.00400572817650689,0.0186835382563864
