"model_name","log_likelihood"
"model10_1","-Inf"
"model10_2","-Inf"
"model10_3","-Inf"
"model10_4","-Inf"
"model10_5","-Inf"
"model10_6","-Inf"
"model10_7","-Inf"
"model10_8","-Inf"
"model11_1","-Inf"
"model11_2","-Inf"
"model11_3","-Inf"
"model11_4","-Inf"
"model11_5","-Inf"
"model11_6","-Inf"
"model11_7","-Inf"
"model11_8","-Inf"
"model12_1","-Inf"
"model12_2","-Inf"
"model12_3","-Inf"
"model12_4","-Inf"
"model12_5","-Inf"
"model12_6","-Inf"
"model12_7","-Inf"
"model12_8","-Inf"
"model13_1","-Inf"
"model13_2","-Inf"
"model13_3","-Inf"
"model13_4","-Inf"
"model13_5","-Inf"
"model13_6","-Inf"
"model13_7","-Inf"
"model13_8","-Inf"
"model14_1","-Inf"
"model14_2","-Inf"
"model14_3","-Inf"
"model14_4","-Inf"
"model14_5","-Inf"
"model14_6","-Inf"
"model14_7","-Inf"
"model14_8","-Inf"
"model15_1","-Inf"
"model15_2","-Inf"
"model15_3","-Inf"
"model15_4","-Inf"
"model15_5","-Inf"
"model15_6","-Inf"
"model15_7","-Inf"
"model15_8","-Inf"
"model3_1","-3.62520192097755e+20"
"model3_10","-239344166423020"
"model3_2","-3.28808642028846e+24"
"model3_3","-28312843101140904"
"model3_4","-33477363831616320"
"model3_5","-351244884304698"
"model3_6","-49147214073244784"
"model3_7","-3877238400521108"
"model3_8","-361624683447.134"
"model3_9","-5441515878417.49"
"model4_1","-675318567399.6"
"model4_10","-143477462396.749"
"model4_2","-53669001471314.8"
"model4_3","-11876067416377436"
"model4_4","-29157926717763940"
"model4_5","-11112924497236791296"
"model4_6","-211887502949.149"
"model4_7","-11405823806778.6"
"model4_8","-239164.157207335"
"model4_9","-13452419101956.4"
"model5_1","-244117906591.628"
"model5_10","-81249791.2603193"
"model5_2","-18410381185.8381"
"model5_3","-149394725139.219"
"model5_4","-1498950268.55643"
"model5_5","-26446189691943.2"
"model5_6","-23803548580156.6"
"model5_7","-274859.19540053"
"model5_8","-50210616122.2335"
"model5_9","-10426490325.5451"
"model6_1","-309419.641983216"
"model6_10","-2578449.05775075"
"model6_2","-45768569456.8476"
"model6_3","-304418.487995585"
"model6_4","-235355.138553659"
"model6_5","-589718030886.373"
"model6_6","-11154677067.4946"
"model6_7","-301513152.466573"
"model6_8","-299776793.700309"
"model6_9","-Inf"
"model7_1","-256587.750717225"
"model7_10","-Inf"
"model7_2","-1248739432.28175"
"model7_3","-475631355.08874"
"model7_4","-20780974.4753366"
"model7_5","-609852782.75397"
"model7_6","-1528972045.15689"
"model7_7","-18213663396.4937"
"model7_8","-Inf"
"model7_9","-214719.116089504"
"model8_1","-Inf"
"model8_2","-Inf"
"model8_3","-Inf"
"model8_4","-Inf"
"model8_5","-Inf"
"model8_6","-Inf"
"model8_7","-Inf"
"model8_8","-Inf"
"model9_1","-Inf"
"model9_2","-Inf"
"model9_3","-Inf"
"model9_4","-Inf"
"model9_5","-Inf"
"model9_6","-Inf"
"model9_7","-Inf"
"model9_8","-Inf"
