county,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion,intersection_count,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg
Autauga County,01001,1539.614693,2.8012437234453547,0.021544288088130196,1.0959061889786856,0.04521436848203964,0.0008537819887872059,0.0011094332446410042,2519.774067263978,375.70028830137426,3879481,1351,0.3130938586326767,2597,0.6018539976825029,346,0.08018539976825029,2963,1.924507484548928,4.7860950173812284,10326,4315,2.8026492729762484,0.0007700665057169359,3.4837075483107936e-05,0.010265349602944025,1282.7944361531233,371.521663280662,1975009.161999999,5316,2.455156431054461
Baldwin County,01003,4117.605847,2.7539286349884886,0.02628420186123957,1.078591579314444,0.03795337248620787,0.00024067735537952386,0.00025355039395319457,2772.858996525498,256.73548338280136,11417540,5689,0.303737319807795,10621,0.5670581954084357,2124,0.11340096102509344,13041,3.167131698509073,4.74874532835024,44472,18730,4.548759812366762,0.00020290174063045309,8.02390199458343e-06,0.01571775499190502,1465.7808205215424,254.31938635597336,6035507.67699996,23732,2.501281366791244
Barbour County,01005,2292.144656,2.7529859278803874,0.02077546961674141,1.0838683408208183,0.05167106420404601,0.0009883976309714793,0.001266546474275237,1843.3750496242617,464.62307774356566,4225282,1061,0.2799472295514512,2368,0.6248021108179419,329,0.08680738786279683,2729,1.190588034161139,4.798944591029024,9094,3790,1.6534733050460668,0.0008792826319926478,3.9675717138587286e-05,0.00725753243897075,947.3864096298124,453.53941019214733,2171546.6960000014,4788,2.5263852242744065
Bibb County,01007,1612.165763,2.7392313451459986,0.021269600342610016,1.1170222405669517,0.04773313368272207,0.0009536841282120703,0.0011625935192544291,2369.5384926742286,409.3975813953507,3820088,1332,0.3324182680309458,2425,0.6051909158971799,245,0.06114299975043674,2675,1.6592586577587556,4.657349638133267,9331,4007,2.485476426781059,0.0008068648009910177,3.761000927713563e-05,0.011467152502411317,1213.5521941362538,407.59318729166614,1956447.2989999976,4800,2.39880209633142
Blount County,01009,1670.079465,2.7597065346330663,0.020371249335665774,1.0911027436057055,0.029073185827015444,0.0008948092170150459,0.0007097516214120354,3192.0373399717387,359.68936056946393,5330956,2333,0.3609778740522977,3713,0.5745010057248956,379,0.05864149775645985,4130,2.4729362204330796,4.586414977564599,14821,6463,3.869875736721306,0.0005732683841920719,2.331565868116149e-05,0.007421901356183793,1624.0824367001055,360.1575789403809,2712346.727000009,7531,2.3345195729537367
Bullock County,01011,1613.059168,2.6862985685071603,0.024065092609748248,1.0710977833532402,0.03828675301067946,0.0010142856774367148,0.0031934947192021543,1158.524725610064,544.1959609784502,1868768,461,0.31424676209952285,895,0.6100886162235856,82,0.05589638718473074,1006,0.6236597019855876,4.681663258350375,3434,1467,0.909452070390514,0.0022801510160249967,0.00010356970240972176,0.0122306348281887,588.4804481022,539.6553621375791,949253.7820000018,1759,2.409679618268575
Butler County,01013,2011.985458,2.8121146355036037,0.01832465502590796,1.0925461195156279,0.0502281580411797,0.0006452110822738711,0.0016493755457492256,2042.8188084846427,555.7973949966178,4110121,824,0.2751252086811352,1948,0.6504173622704508,214,0.07145242070116861,2171,1.0790336437908787,4.938230383973289,7395,2995,1.4885793473761777,0.0011759426238828934,5.048562563890613e-05,0.009195402298850575,1049.1605287735647,560.5140007966019,2110895.7270000027,3766,2.5202003338898162
Calhoun County,01015,1569.244078,2.8820736434107874,0.025125868555421118,1.0811759287993628,0.04252664728682122,0.0007719740290157793,0.0004604792985858945,4212.005948382443,236.93104602645167,6609665,2871,0.26081031976744184,6576,0.5973837209302325,1510,0.13717296511627908,8137,5.185299160326033,5.068495639534884,27897,11008,7.014842467355165,0.0003456200676821785,1.3661399691442287e-05,0.007599383446248701,2190.4340823646044,237.77848035417958,3437325.71200002,14456,2.6169149709302326
Chambers County,01017,1545.009122,2.8694568268119656,0.024380349370206823,1.069257151521246,0.04597160310384694,0.001290352186727024,0.0012527753740996937,2489.170150025827,376.6321210459319,3845790,1060,0.26250619118375434,2574,0.637444279346211,391,0.09683011391778108,2978,1.9274967102750866,5.057454185240218,10211,4038,2.613576801910947,0.0009143009304394388,3.727569869980606e-05,0.01077269611203604,1265.199273043512,376.1293857994987,1954744.4179999947,5197,2.5737989103516594
Cherokee County,01019,1434.228753,2.731597294847677,0.027233483200175282,1.0896229399944508,0.04595272955448682,0.0010170570137166598,0.0009834079983617237,2769.677016090325,353.50631067010664,3972350,1524,0.31876176532106254,2795,0.5846057310186153,291,0.06086592763020288,3257,2.2709069199646703,4.700690232169002,11237,4781,3.3334989205867633,0.0007541426940514454,3.1435666907673454e-05,0.017442377858859125,1406.0408249255092,349.91917039736325,2016584.1790000044,5763,2.390085756117967
